location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NC_37111,2020-01-01,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,6.25,5.81,4.02,10.5,9.6,5.14,8.93,3.35,3.57,24.57,,12.06,6.25,4.91,9.6,5.81,3.8,4.69,4.69,5.14,6.25,4.24,9.16,24.12,6.92,4.91,6.03,,4.91,,7.15,42.43,3.57,5.14,5.36,4.24,6.03,,4.91,5.294444,0.005556,11.361111,0.0,,-3.708333,51.293511
US_NC_37111,2020-01-02,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,4.95,9.25,4.95,8.39,11.4,7.1,4.3,4.3,,20.65,,12.26,3.01,5.59,8.82,4.09,6.67,5.81,3.66,3.44,5.38,3.23,9.9,30.98,8.82,3.66,8.61,5.59,4.3,3.01,7.75,40.88,,7.32,8.18,4.52,4.52,,3.87,3.538889,-0.133333,8.4,0.762,,-0.104167,75.299667
US_NC_37111,2020-01-03,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,4.38,10.84,5.21,10.01,8.97,7.09,6.67,6.05,2.92,20.23,2.92,12.51,,4.59,9.59,,4.38,3.75,2.92,4.38,4.38,3.34,8.34,27.52,7.09,4.8,7.71,3.13,4.38,5.0,7.51,47.12,3.96,5.21,,6.25,4.17,4.8,,8.072222,4.083333,11.427778,12.827,,7.256944,96.71865
US_NC_37111,2020-01-04,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,5.45,9.08,,11.58,9.31,5.45,5.45,5.45,3.18,18.39,3.41,12.72,,5.22,11.13,5.0,5.9,7.95,5.0,,5.45,3.86,5.22,25.43,5.22,3.41,8.63,3.63,4.54,6.81,7.27,44.28,7.04,7.27,5.0,5.0,6.36,,,10.805556,4.966667,15.072222,14.986,,8.576389,85.503113
US_NC_37111,2020-01-05,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,5.77,7.16,3.92,11.54,9.46,7.39,6.23,7.16,4.39,20.08,5.31,12.0,,5.54,11.54,5.31,4.39,,3.69,,5.54,,6.46,25.86,6.69,,7.62,,5.77,5.54,6.0,43.63,,8.77,4.62,7.39,6.23,,,3.655556,-1.144444,11.1,1.27,,-4.243056,55.365736
US_NC_37111,2020-01-06,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,4.85,9.12,5.24,11.64,12.61,6.4,7.37,,3.69,12.61,3.1,9.12,2.72,4.27,10.28,3.3,4.46,3.88,,,4.07,4.85,7.37,29.88,7.57,,8.34,5.04,5.63,4.07,3.88,43.26,4.85,7.18,6.98,4.27,3.3,4.46,4.66,5.05,-1.611111,13.377778,0.0,,-3.791667,52.053339
US_NC_37111,2020-01-07,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,5.7,6.65,4.94,11.02,7.22,4.37,3.99,4.94,3.99,13.88,3.99,8.36,,3.23,10.45,4.94,5.13,,4.18,2.85,3.42,,7.79,22.62,8.17,3.61,7.6,,3.61,4.94,6.65,43.15,3.23,7.03,5.7,3.61,5.51,3.8,2.66,4.638889,-0.172222,11.516667,0.85725,,-1.284722,64.938054
US_NC_37111,2020-01-08,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,4.22,6.9,5.37,9.96,10.16,3.83,6.52,4.22,4.22,16.29,4.22,9.01,,6.13,8.81,5.94,7.09,,4.41,4.98,4.79,3.83,9.39,32.2,4.79,3.64,4.6,4.6,3.83,4.6,5.94,39.28,4.22,11.69,5.17,3.45,5.75,3.83,3.07,6.144444,-1.055556,13.9,1.016,,-5.902778,41.240514
US_NC_37111,2020-01-09,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,4.46,6.6,3.69,7.57,8.93,7.76,6.21,3.69,3.1,17.08,2.72,9.9,,5.43,8.73,3.88,4.27,4.46,3.69,3.1,4.85,,7.76,29.89,4.85,4.27,7.57,4.66,4.46,3.49,5.82,39.39,5.04,13.78,4.27,4.85,2.72,3.69,,4.305556,-3.011111,12.7,0.0,,-3.347222,55.54116
US_NC_37111,2020-01-10,ChIJVZhJBk60UIgRd7v1AlX2MWQ,Q507811,geoId/37111,US,United States of America,NC,North Carolina,37111,McDowell County,US,USA,2,,,,,,,45083,22557,22526,4788,5298,5246,4908,5968,6544,6310,3957,2064,2528721,35.68,-82.05,1156,76.64,,,,,,,4.22,4.6,3.07,10.16,9.78,4.99,6.33,5.95,,16.49,3.07,7.67,,5.75,8.63,3.45,6.14,5.37,,3.64,3.83,,7.48,27.42,5.95,,5.75,,3.45,4.79,7.48,38.55,4.79,8.25,4.79,5.37,3.83,,2.88,8.772222,5.133333,13.427778,0.0,,1.215278,60.249867
