subregion1_name,subregion2_name,date,population,new_deceased,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,state_fips,incidence_rate,normalized_incidence_rate,color
Indiana,Hamilton County,2020-12-31,322933,288.0,288.0,0.0,,18,89.18258586146352,1.0,#FF0000
Indiana,Hamilton County,2021-12-31,322933,251.0,539.0,122995.0,230268.0,18,77.72510087231717,0.7771084337349399,#BF3F00
Indiana,Hamilton County,2022-12-31,322933,122.0,661.0,19217.0,249485.0,18,37.778734288536626,0.0,#00FF00
Virginia,Appomattox County,2020-12-31,15723,7.0,7.0,0.0,,51,44.52076575717102,0.0,#00FF00
Virginia,Appomattox County,2021-12-31,15723,31.0,38.0,4920.0,5108.0,51,197.16339121032883,1.0,#FF0000
Virginia,Appomattox County,2022-12-31,15723,15.0,53.0,48.0,5156.0,51,95.40164090822363,0.33333333333333337,#3FBF00
Arkansas,Phillips County,2020-12-31,18599,25.0,25.0,0.0,,05,134.41582880800044,0.18421052631578955,#00FF00
Arkansas,Phillips County,2021-12-31,18599,56.0,81.0,4408.0,8301.0,05,301.09145652992095,1.0,#FF0000
Arkansas,Phillips County,2022-12-31,18599,18.0,99.0,808.0,9109.0,05,96.77939674176031,0.0,#00FF00
Ohio,Sandusky County,2020-12-31,59093,56.0,56.0,0.0,,39,94.76587751510331,0.11111111111111109,#00FF00
Ohio,Sandusky County,2021-12-31,59093,136.0,192.0,11758.0,29498.0,39,230.1457025366795,1.0,#FF0000
Ohio,Sandusky County,2022-12-31,59093,46.0,238.0,1734.0,31232.0,39,77.8433993874063,0.0,#00FF00
Nebraska,Cuming County,2020-12-31,8947,9.0,9.0,0.0,,31,100.59237733318432,1.0,#FF0000
Nebraska,Cuming County,2021-12-31,8947,6.0,15.0,1848.0,4464.0,31,67.06158488878954,0.6666666666666666,#7F7F00
Nebraska,Cuming County,2022-12-31,8947,0.0,15.0,311.0,4775.0,31,0.0,0.0,#00FF00
South Dakota,Clark County,2020-12-31,3679,2.0,2.0,0.0,,46,54.36259853220984,0.0,#00FF00
South Dakota,Clark County,2021-12-31,3679,4.0,6.0,732.0,1791.0,46,108.72519706441967,1.0,#FF0000
South Dakota,Clark County,2022-12-31,3679,3.0,9.0,149.0,1940.0,46,81.54389779831476,0.5000000000000001,#7F7F00
Illinois,Menard County,2020-12-31,12293,8.0,8.0,0.0,,17,65.07768648824535,0.5000000000000001,#7F7F00
Illinois,Menard County,2021-12-31,12293,11.0,19.0,2814.0,6602.0,17,89.48181892133735,1.0,#FF0000
Illinois,Menard County,2022-12-31,12293,5.0,24.0,461.0,7063.0,17,40.67355405515334,0.0,#00FF00
North Dakota,McIntosh County,2020-12-31,2608,7.0,7.0,0.0,,38,268.40490797546016,1.0,#FF0000
North Dakota,McIntosh County,2021-12-31,2608,2.0,9.0,356.0,1058.0,38,76.68711656441718,0.2857142857142857,#3FBF00
North Dakota,McIntosh County,2022-12-31,2608,0.0,9.0,50.0,1108.0,38,0.0,0.0,#00FF00
North Carolina,Greene County,2020-12-31,20963,27.0,27.0,0.0,,37,128.79835901349998,0.888888888888889,#BF3F00
North Carolina,Greene County,2021-12-31,20963,29.0,56.0,5548.0,10066.0,37,138.33897819968516,1.0,#FF0000
North Carolina,Greene County,2022-12-31,20963,11.0,67.0,3547.0,13613.0,37,52.4734055240185,0.0,#00FF00
Illinois,Massac County,2020-12-31,14291,28.0,28.0,0.0,,17,195.9275068224757,0.782608695652174,#BF3F00
Illinois,Massac County,2021-12-31,14291,33.0,61.0,2290.0,5215.0,17,230.91456161220347,1.0,#FF0000
Illinois,Massac County,2022-12-31,14291,10.0,71.0,569.0,5784.0,17,69.9741095794556,0.0,#00FF00
Vermont,Lamoille County,2020-12-31,25360,1.0,1.0,0.0,,50,3.9432176656151423,0.0,#00FF00
Vermont,Lamoille County,2021-12-31,25360,10.0,11.0,8357.0,15151.0,50,39.43217665615142,1.0,#FF0000
Vermont,Lamoille County,2022-12-31,25360,6.0,17.0,1191.0,16342.0,50,23.659305993690854,0.5555555555555557,#7F7F00
Nebraska,Johnson County,2020-12-31,5169,5.0,5.0,0.0,,31,96.73050880247631,1.0,#FF0000
Nebraska,Johnson County,2021-12-31,5169,5.0,10.0,1087.0,2642.0,31,96.73050880247631,1.0,#FF0000
Nebraska,Johnson County,2022-12-31,5169,0.0,10.0,160.0,2802.0,31,0.0,0.0,#00FF00
North Dakota,Oliver County,2020-12-31,1930,2.0,2.0,0.0,,38,103.62694300518135,1.0,#FF0000
North Dakota,Oliver County,2021-12-31,1930,2.0,4.0,168.0,487.0,38,103.62694300518135,1.0,#FF0000
North Dakota,Oliver County,2022-12-31,1930,1.0,5.0,30.0,517.0,38,51.81347150259067,0.0,#00FF00
Nebraska,Cheyenne County,2020-12-31,9644,10.0,10.0,0.0,,31,103.69141435089175,1.0,#FF0000
Nebraska,Cheyenne County,2021-12-31,9644,9.0,19.0,1559.0,3654.0,31,93.32227291580257,0.7999999999999999,#BF3F00
Nebraska,Cheyenne County,2022-12-31,9644,5.0,24.0,234.0,3888.0,31,51.845707175445874,0.0,#00FF00
Oregon,Josephine County,2020-12-31,86584,22.0,22.0,0.0,,41,25.4088515199113,0.0,#00FF00
Oregon,Josephine County,2021-12-31,86584,244.0,266.0,21022.0,42479.0,41,281.8072623117435,1.0,#FF0000
Oregon,Josephine County,2022-12-31,86584,73.0,339.0,2035.0,44514.0,41,84.31118913425114,0.2297297297297298,#00FF00
Georgia,Berrien County,2020-12-31,19108,31.0,31.0,0.0,,13,162.23571279045427,0.6666666666666667,#7F7F00
Georgia,Berrien County,2021-12-31,19108,41.0,72.0,2281.0,3833.0,13,214.5698136906008,1.0,#FF0000
Georgia,Berrien County,2022-12-31,19108,11.0,83.0,2857.0,6690.0,13,57.56751099016119,0.0,#00FF00
Michigan,Huron County,2020-12-31,31306,42.0,42.0,0.0,,26,134.15958602184887,0.3333333333333335,#3FBF00
Michigan,Huron County,2021-12-31,31306,80.0,122.0,5804.0,16150.0,26,255.54206861304542,1.0,#FF0000
Michigan,Huron County,2022-12-31,31306,23.0,145.0,788.0,16938.0,26,73.46834472625055,0.0,#00FF00
Nebraska,Pawnee County,2020-12-31,2621,1.0,1.0,0.0,,31,38.15337657382678,0.33333333333333337,#3FBF00
Nebraska,Pawnee County,2021-12-31,2621,3.0,4.0,413.0,1103.0,31,114.46012972148034,1.0,#FF0000
Nebraska,Pawnee County,2022-12-31,2621,0.0,4.0,47.0,1150.0,31,0.0,0.0,#00FF00
Kentucky,Simpson County,2020-12-31,18046,11.0,11.0,0.0,,21,60.955336362628834,0.0,#00FF00
Kentucky,Simpson County,2021-12-31,18046,61.0,72.0,4044.0,8890.0,21,338.0250471018508,1.0,#FF0000
Kentucky,Simpson County,2022-12-31,18046,22.0,94.0,703.0,9593.0,21,121.91067272525767,0.22,#00FF00
California,Amador County,2020-12-31,38529,24.0,24.0,0.0,,06,62.29074203846453,0.26666666666666655,#3FBF00
California,Amador County,2021-12-31,38529,46.0,70.0,10661.0,20861.0,06,119.39058890705704,1.0,#FF0000
California,Amador County,2022-12-31,38529,16.0,86.0,824.0,21685.0,06,41.52716135897636,0.0,#00FF00
Kansas,Anderson County,2020-12-31,7833,0.0,0.0,0.0,,20,0.0,0.0,#00FF00
Kansas,Anderson County,2021-12-31,7833,23.0,23.0,1310.0,3212.0,20,293.6295161496234,1.0,#FF0000
Kansas,Anderson County,2022-12-31,7833,6.0,29.0,275.0,3487.0,20,76.59900421294523,0.2608695652173913,#3FBF00
Kentucky,Leslie County,2020-12-31,10310,1.0,1.0,0.0,,21,9.699321047526674,0.0,#00FF00
Kentucky,Leslie County,2021-12-31,10310,36.0,37.0,2110.0,4892.0,21,349.1755577109602,1.0,#FF0000
Kentucky,Leslie County,2022-12-31,10310,12.0,49.0,346.0,5238.0,21,116.39185257032007,0.3142857142857142,#3FBF00
Kentucky,Russell County,2020-12-31,17723,35.0,35.0,0.0,,21,197.48349602211817,1.0,#FF0000
