location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17173,2020-01-01,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,9.23,15.38,,16.4,,30.24,2.472222,-2.766667,9.733333,0.0,,-2.882716,67.976599
US_IL_17173,2020-01-02,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,8.64,11.18,,18.8,,37.1,6.183333,2.683333,10.983333,0.0,,-0.117284,64.351899
US_IL_17173,2020-01-03,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,,14.88,10.26,16.41,,32.31,5.538889,2.466667,8.172222,0.0,,4.444444,91.696339
US_IL_17173,2020-01-04,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,9.96,17.3,7.86,31.46,,31.46,1.405556,-0.333333,3.377778,0.0508,,-0.765432,85.466676
US_IL_17173,2020-01-05,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,9.39,12.52,11.99,17.73,,32.33,1.233333,-4.244444,9.816667,0.1016,,-3.444444,71.020628
US_IL_17173,2020-01-06,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,10.57,11.03,9.65,21.14,7.81,36.31,2.038889,-4.0,7.744444,0.0,,-4.580247,61.54322
US_IL_17173,2020-01-07,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,9.19,11.81,,24.06,,33.68,1.372222,-3.783333,6.911111,0.0508,,-4.135802,66.423815
US_IL_17173,2020-01-08,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,,11.68,,25.08,7.35,24.65,-0.15,-3.522222,3.605556,0.0508,,-7.728395,56.384865
US_IL_17173,2020-01-09,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,,10.09,10.89,24.21,,31.07,4.961111,-1.383333,11.788889,0.042333,,-3.055556,55.870593
US_IL_17173,2020-01-10,ChIJp5sPPtt9c4gRVvA_ht2b_rY,Q373953,geoId/17173,US,United States of America,IL,Illinois,17173,Shelby County,US,USA,2,,,,,,,21774,10823,10951,2463,2564,2320,2373,2440,3169,3094,2035,1316,1800584,39.39,-88.81,1989,80.183333,,,,9.5,12.52,6.47,23.74,7.34,27.62,11.188889,8.788889,14.316667,16.85925,,9.67284,89.854325
