location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ID_16053,2020-01-01,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,7.31,,,,14.61,,,19.97,,12.66,41.4,11.69,,-0.277778,-4.987654,3.882716,2.794,,-1.611111,83.48958
US_ID_16053,2020-01-02,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,,11.09,,,20.79,10.62,,25.87,7.39,,36.03,,,-0.450617,-3.617284,3.222222,2.850444,,-3.206349,77.873968
US_ID_16053,2020-01-03,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,9.95,,,,12.21,10.85,,31.2,,,28.49,8.59,,-0.481481,-4.092593,4.975309,0.056444,,-3.880952,71.594611
US_ID_16053,2020-01-04,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,8.13,10.04,,,11.95,7.65,,22.47,,,35.37,,,-1.45679,-6.049383,5.62963,0.03175,,-4.52381,74.897986
US_ID_16053,2020-01-05,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,,,9.45,8.97,15.59,7.56,,16.53,,8.97,36.84,,8.97,-3.932099,-7.5,2.771605,0.310444,,-6.547619,79.793907
US_ID_16053,2020-01-06,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,7.24,13.2,,,12.35,6.81,,24.27,8.09,8.52,31.93,11.5,6.81,-3.111111,-7.734568,1.030864,1.49225,,-6.685185,74.60477
US_ID_16053,2020-01-07,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,9.65,6.18,5.41,,13.51,5.41,8.49,15.45,6.18,,32.82,,6.56,0.858025,-5.882716,5.987654,0.141111,30.48,-2.896825,71.877244
US_ID_16053,2020-01-08,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,,,5.64,,10.54,6.4,,24.84,,,30.86,12.42,,0.253086,-3.462963,5.888889,0.084667,,-3.412698,71.858584
US_ID_16053,2020-01-09,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,7.18,9.07,,,10.96,,,26.45,,6.04,30.98,7.93,5.67,-2.117284,-4.574074,2.882716,1.100667,,-3.928571,85.10747
US_ID_16053,2020-01-10,ChIJe3b7Xlxoq1QRRHZra-CeBqw,Q494536,geoId/16053,US,United States of America,ID,Idaho,16053,Jerome County,US,USA,2,,,,,,,23768,12125,11643,4143,3758,3076,3197,2571,2796,2250,1314,663,1742094,42.69,-114.26,1559,78.46,,,,,,5.12,8.41,,,7.68,8.78,,20.49,,,34.76,8.05,,-6.623457,-11.987654,-1.320988,1.128889,30.48,-10.063492,75.300114
