location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29209,2020-01-01,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,,7.26,15.61,8.35,5.45,6.9,20.69,7.99,,7.62,,,,6.53,8.35,,30.85,7.26,8.35,5.81,6.9,42.47,,7.99,8.71,,,4.894444,-0.844444,12.711111,0.0762,,-6.244444,44.706771
US_MO_29209,2020-01-02,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,7.33,8.88,10.04,5.79,6.95,8.88,17.37,10.42,,9.27,,5.41,7.33,,,11.2,28.57,8.49,9.27,,6.18,55.21,,9.65,11.2,8.11,,8.755556,5.277778,12.777778,0.0,,4.188889,73.097576
US_MO_29209,2020-01-03,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,6.29,7.86,12.57,,,8.64,15.71,12.96,,15.71,,6.68,8.64,5.89,5.89,7.86,25.14,7.86,10.21,,6.29,44.78,,7.46,5.89,7.86,,7.477778,3.827778,10.466667,0.0,,5.805556,89.246933
US_MO_29209,2020-01-04,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,6.4,9.6,8.8,,7.6,6.4,17.19,13.2,,12.8,,,7.2,,,8.8,23.99,9.2,5.6,6.8,6.4,35.99,,,,6.8,7.2,3.15,-1.066667,7.516667,0.0,,-5.3,54.088205
US_MO_29209,2020-01-05,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,7.44,,10.75,7.86,6.62,10.34,14.47,7.86,6.62,11.16,6.2,6.2,6.62,,8.68,,28.12,,8.27,7.44,,47.97,,7.03,,6.62,7.03,5.422222,-1.311111,13.916667,0.0,,-5.066667,47.051534
US_MO_29209,2020-01-06,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,6.88,7.69,12.55,12.95,9.31,10.12,19.43,10.93,6.88,11.33,,6.47,6.07,,6.88,8.5,21.04,6.47,6.07,6.47,8.09,33.19,,7.69,7.69,,6.47,4.527778,-2.15,11.988889,0.0,,-3.655556,55.481369
US_MO_29209,2020-01-07,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,,6.66,17.4,,5.18,5.92,17.03,7.03,,11.11,8.14,,,,,11.11,24.8,8.52,,,5.92,42.57,,8.14,5.18,,,5.244444,-0.65,11.727778,0.0,,-4.872222,48.216879
US_MO_29209,2020-01-08,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,,5.76,9.22,8.07,6.15,5.76,21.51,9.99,7.3,17.67,,,7.3,,,,31.88,6.15,5.76,5.76,5.38,37.64,,14.21,6.53,8.84,7.3,8.022222,1.561111,16.927778,0.0,,-6.216667,36.267256
US_MO_29209,2020-01-09,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,5.23,5.61,10.09,10.09,8.6,5.23,17.94,7.1,,11.96,,,5.61,,,9.72,29.53,7.1,6.36,5.23,8.97,46.36,,11.21,8.6,5.61,6.73,11.855556,10.172222,13.833333,0.0,,3.85,58.191087
US_MO_29209,2020-01-10,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,6.8,6.08,8.59,10.38,,6.08,13.6,8.94,5.72,12.16,7.16,7.51,,7.87,,11.81,22.9,5.72,9.3,,9.3,39.0,,7.87,,,,14.8,12.005556,17.811111,9.948333,,14.183333,96.143448
US_MO_29209,2020-01-11,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,5.55,7.53,7.13,5.95,,7.53,17.04,6.74,,11.89,,5.95,5.55,,6.34,,24.57,5.95,8.32,5.95,6.74,45.19,,8.32,,7.93,,1.944444,-4.25,13.522222,58.123667,,1.561728,96.175147
US_MO_29209,2020-01-12,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,,,9.45,9.45,,,16.84,10.27,5.75,10.27,,6.98,11.09,7.8,7.8,10.68,29.57,6.57,7.39,,11.09,30.8,,9.04,6.57,,,-1.844444,-4.905556,4.527778,5.6642,,-3.355556,89.778695
US_MO_29209,2020-01-13,ChIJAQbAA-ARz4cRJDUB1ZHj-a8,Q496453,geoId/29209,US,United States of America,MO,Missouri,29209,Stone County,US,USA,2,,,,,,,31642,15477,16165,2665,3152,2556,2625,3295,4673,6256,4504,1916,1180538,36.74,-93.47,1323,77.65,,,,,,,,18.26,10.65,6.47,7.23,13.7,9.51,,10.27,,,,,7.23,,30.06,9.89,9.89,,6.85,43.37,5.33,10.65,,9.13,,2.561111,-2.372222,10.611111,2.413,30.48,0.3,85.525675
