location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26043,2020-01-01,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,8.16,5.78,8.84,13.94,6.8,5.78,14.96,10.54,5.44,5.44,,,7.14,8.5,,23.12,7.82,8.5,5.1,7.48,37.4,5.44,5.44,6.8,,-7.425926,-12.722222,-1.962963,0.41275,-10.342593,82.997247
US_MI_26043,2020-01-02,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,4.86,7.9,11.54,5.16,7.59,6.07,13.06,10.63,4.86,9.41,4.86,7.29,,,8.5,28.24,6.68,7.29,5.16,,37.96,4.25,8.81,6.99,5.47,0.444444,-2.364198,3.765432,0.09525,-1.87037,84.868593
US_MI_26043,2020-01-03,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,,7.76,9.0,7.45,5.59,9.62,13.03,8.07,,7.45,4.96,,,5.28,5.59,29.79,8.07,6.83,,4.96,39.72,8.07,7.76,4.96,,-0.567901,-2.376543,2.339506,1.241778,-4.342593,76.072045
US_MI_26043,2020-01-04,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,6.26,5.92,11.48,5.22,4.87,6.96,16.01,9.74,6.96,8.7,,4.87,,5.92,,26.1,5.92,11.13,,,43.49,,6.96,5.57,5.92,-2.802469,-3.833333,-0.864198,0.0,-6.064815,79.086045
US_MI_26043,2020-01-05,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,,6.77,5.42,8.8,,,16.59,12.53,7.11,6.09,,5.42,5.08,,9.14,29.12,9.48,9.82,,,39.96,,4.74,7.45,,-2.845679,-5.716049,-0.185185,0.127,-5.675926,82.453869
US_MI_26043,2020-01-06,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,,7.96,8.78,7.13,7.13,4.39,12.89,7.13,4.39,8.51,6.86,5.49,5.76,,6.31,26.34,7.68,7.96,,,38.96,4.39,13.72,5.76,,-2.104938,-5.376543,0.759259,1.17475,-8.416667,62.672472
US_MI_26043,2020-01-07,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,5.37,7.52,9.13,11.01,8.59,4.83,13.43,9.4,5.1,11.81,4.03,,4.3,,7.25,21.75,6.71,5.37,4.3,,41.88,4.56,6.17,8.86,,-2.04321,-6.166667,0.5,0.0,-8.324074,61.950249
US_MI_26043,2020-01-08,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,5.79,7.1,9.74,7.37,5.79,8.68,14.21,7.89,7.1,9.74,7.37,4.74,,,5.26,22.89,3.95,3.68,4.21,5.26,36.31,,6.05,5.0,,-10.864198,-14.135802,-6.024691,0.22225,-17.046296,62.264369
US_MI_26043,2020-01-09,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,,5.59,8.78,6.38,4.79,9.31,14.9,6.92,5.59,13.57,5.85,4.79,,5.05,4.26,25.0,,5.85,4.52,6.38,36.71,5.32,5.85,6.12,5.05,-5.635802,-13.265432,1.777778,1.0795,-8.638889,77.638817
US_MI_26043,2020-01-10,ChIJQ7puWS47Uk0RnXgZt7IlBn8,Q491126,geoId/26043,US,United States of America,MI,Michigan,26043,Dickinson County,US,USA,2,,,,,,,25424,12664,12760,2709,2886,2578,2817,2752,4012,3860,2221,1589,1798737,46.0,-87.87,2013,79.9,,,,,,,7.75,9.63,5.88,4.28,,8.29,6.68,7.49,7.22,3.74,,,,6.42,20.06,5.08,4.55,,,32.09,,6.68,4.28,4.55,0.604938,-2.691358,3.154321,0.92075,-2.351852,80.816841
