location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13207,2020-01-11,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,6.25,8.09,8.82,11.02,,5.14,9.92,7.72,,11.02,,,,8.09,7.35,27.19,8.45,8.45,5.51,5.51,39.69,8.45,12.49,6.25,5.14,18.805556,14.633333,21.788889,2.3876,16.855556,88.528964
US_GA_13207,2020-01-12,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,7.16,9.42,,6.78,8.67,,15.07,5.28,7.16,7.91,,,,5.28,8.67,22.61,7.91,7.54,,6.78,47.47,,6.41,7.91,5.28,16.416667,10.277778,21.533333,27.0764,13.872222,85.05673
US_GA_13207,2020-01-13,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,4.88,11.72,9.12,13.67,11.07,,9.12,6.18,,11.72,5.21,,,6.18,11.39,27.34,4.56,9.77,7.81,,40.69,5.53,8.46,6.84,,17.516667,15.183333,19.872222,11.1252,16.516667,93.98927
US_GA_13207,2020-01-14,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,,6.89,10.88,10.88,6.53,5.8,12.69,6.89,,16.68,,,6.16,,9.79,24.29,6.16,9.06,,7.61,42.78,,7.61,7.61,,17.505556,15.211111,19.983333,21.6916,16.907407,95.345281
US_GA_13207,2020-01-15,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,6.71,8.12,8.82,7.06,7.76,8.82,9.53,8.12,10.23,8.47,,,,,6.71,20.82,7.41,7.06,,6.0,46.59,5.29,4.94,7.06,,17.166667,13.383333,22.861111,9.440333,15.679012,90.240904
US_GA_13207,2020-01-16,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,,6.33,9.95,4.83,5.43,7.24,12.06,8.44,5.13,7.54,5.73,5.13,,5.73,8.14,23.82,6.63,9.35,4.83,5.43,44.63,,6.33,5.43,4.83,18.072222,14.494444,22.005556,8.128,13.083333,72.764493
US_GA_13207,2020-01-17,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,,8.79,7.88,6.36,6.36,6.06,9.09,5.45,,7.27,,6.97,4.54,5.76,7.27,20.6,,4.24,4.24,,34.84,,4.85,7.27,,11.305556,7.244444,17.666667,0.0,-2.077778,39.275216
US_GA_13207,2020-01-18,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,8.86,12.71,12.71,6.54,,10.01,10.39,,7.32,,,,,,7.32,26.95,,5.39,,7.32,41.19,,5.78,,10.01,8.977778,6.044444,14.505556,0.127,0.911111,57.072798
US_GA_13207,2020-01-19,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,8.88,14.68,11.59,5.79,,9.66,16.99,9.27,,14.29,6.18,,6.95,6.57,11.97,20.86,5.79,6.57,6.18,7.72,39.78,8.88,14.29,,,10.811111,5.655556,14.755556,8.085667,4.422222,64.833017
US_GA_13207,2020-01-20,ChIJ8cEB9m8Z9IgRNMAGAoNVKL4,Q493024,geoId/13207,US,United States of America,GA,Georgia,13207,Monroe County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27163,13476,13687,2891,3386,3238,3071,3498,4016,3784,2175,1104,1027988,33.01,-83.91,1030,77.04,,,,,,,6.32,8.18,14.87,,6.32,7.43,17.84,6.69,5.2,8.55,,5.58,8.55,6.69,8.92,27.87,5.2,9.29,,11.52,40.51,,8.55,7.06,,2.188889,-2.133333,8.188889,0.5588,-6.988889,50.753709
