location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13111,2020-01-01,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.37,11.59,11.01,7.24,4.63,4.92,,17.96,10.72,5.21,7.24,5.79,8.69,6.37,5.21,,7.82,19.98,7.82,6.37,,4.92,4.34,42.86,4.34,8.11,4.05,4.92,6.95,5.066667,-0.772222,12.277778,0.0,,-3.694444,53.549949
US_GA_13111,2020-01-02,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,4.13,9.43,14.15,6.78,7.66,7.66,,21.22,13.26,,9.43,,4.72,7.37,5.01,,7.07,27.71,5.6,4.72,5.01,,7.37,48.05,7.07,9.73,7.96,5.31,,5.744444,0.9,10.161111,5.334,,1.922222,76.732469
US_GA_13111,2020-01-03,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,11.99,11.69,8.39,6.3,4.8,4.5,23.09,17.09,6.0,7.79,4.5,4.8,6.89,,,7.79,26.38,,8.99,,,10.19,44.97,,4.8,5.1,,6.3,11.838889,6.383333,15.472222,30.879143,,11.138889,95.564759
US_GA_13111,2020-01-04,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.12,9.35,9.99,5.8,8.06,,,18.69,10.31,5.16,10.31,7.73,,,,,6.45,23.2,6.77,7.09,5.16,4.51,7.73,41.89,5.48,5.16,5.16,8.38,,11.644444,4.372222,14.144444,12.234333,,8.555556,81.582931
US_GA_13111,2020-01-05,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.08,8.95,10.02,7.87,,5.37,,22.19,15.75,,5.01,6.08,6.8,5.01,6.08,,7.87,25.41,8.23,9.3,,,,50.1,5.37,,9.66,6.8,5.37,4.116667,-0.433333,11.866667,0.254,,-2.772222,60.95576
US_GA_13111,2020-01-06,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,5.48,9.49,12.05,10.59,5.84,10.22,,14.24,13.14,7.67,9.13,6.94,5.84,,5.84,,6.94,25.92,5.84,10.95,6.21,5.48,8.03,52.56,10.95,7.3,,,6.21,5.466667,-1.594444,15.25,0.0,,-0.661111,64.950696
US_GA_13111,2020-01-07,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,5.97,10.07,13.43,11.56,7.09,,,17.53,10.82,,10.44,8.21,5.97,,5.59,,7.46,31.7,8.21,6.71,8.95,5.22,5.97,45.87,7.83,5.97,10.44,7.09,,8.683333,1.827778,13.316667,2.455333,,1.644444,61.650443
US_GA_13111,2020-01-08,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,10.63,12.0,5.83,9.26,6.17,,17.15,10.63,,11.66,5.83,7.2,4.8,6.86,7.89,6.86,29.84,7.89,4.8,,6.86,8.23,40.47,,10.97,,5.49,4.8,5.583333,-2.022222,15.072222,0.0254,,-3.311111,53.173233
US_GA_13111,2020-01-09,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,11.24,11.9,,5.29,4.63,,15.86,11.24,,9.25,5.29,8.59,,5.62,6.94,9.59,40.98,7.93,6.61,,6.61,4.96,39.0,,11.57,,5.95,4.96,6.088889,-1.988889,16.0,0.0,,-1.522222,58.51579
US_GA_13111,2020-01-10,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,6.61,11.33,10.39,5.67,7.24,,14.16,8.5,6.92,8.18,8.18,5.98,5.67,,,7.87,27.07,,5.98,,,4.72,43.43,,,,5.04,9.13,13.566667,9.466667,18.155556,0.0,,5.944444,60.218435
