location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05009,2020-01-01,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,5.16,5.16,5.67,11.35,6.71,,4.38,,14.44,5.93,9.29,3.87,6.19,6.19,4.64,4.13,,,4.64,3.61,7.74,21.66,,8.25,5.42,4.64,7.22,41.01,,8.51,5.16,,3.87,4.705556,-1.45,12.35,0.0762,,-6.05,46.576678
US_AR_05009,2020-01-02,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,6.01,6.01,5.09,6.94,5.09,6.94,4.86,3.7,12.95,,10.64,3.24,6.24,10.87,4.39,5.78,4.39,5.55,4.16,,9.25,25.21,7.86,5.55,5.78,4.39,6.94,42.55,5.78,4.86,6.47,4.16,6.71,9.194444,6.511111,12.522222,0.0,,4.538889,72.734629
US_AR_05009,2020-01-03,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,5.15,7.49,3.27,14.74,5.15,4.91,6.08,,12.16,,9.12,,5.38,8.65,4.91,5.85,,3.51,3.74,3.27,8.19,26.43,6.08,8.42,6.55,,5.38,39.77,4.91,9.12,5.38,4.45,3.74,8.466667,5.088889,10.705556,0.0,,6.85,89.637226
US_AR_05009,2020-01-04,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,4.28,7.05,4.28,9.06,6.54,8.81,5.79,,12.84,3.77,8.3,,,9.31,4.28,5.29,4.53,4.03,,9.06,6.54,21.64,4.03,5.79,,4.78,,34.23,3.77,7.8,,7.55,3.77,3.777778,-0.533333,8.227778,0.0,,-4.655556,54.24525
US_AR_05009,2020-01-05,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,6.85,9.64,,9.39,6.34,6.34,4.06,8.37,17.76,,10.4,4.06,7.61,10.91,5.58,,,3.55,,4.31,4.31,23.09,3.81,6.6,,,4.31,31.46,,5.84,6.34,3.55,3.55,5.45,-1.822222,14.861111,0.0,,-4.322222,50.053892
US_AR_05009,2020-01-06,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,7.06,6.05,,10.89,10.08,4.24,6.05,3.83,11.9,,7.46,,5.85,8.07,3.02,3.43,5.24,6.25,3.43,3.23,7.46,21.58,7.46,6.86,5.04,4.84,7.46,37.91,3.63,9.07,5.04,4.03,5.65,4.711111,-2.294444,12.4,0.0,,-3.033333,57.576763
US_AR_05009,2020-01-07,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,4.95,4.95,5.94,13.65,10.49,5.14,7.92,4.75,9.89,2.77,4.35,3.17,5.54,10.29,4.75,3.17,4.16,,,3.56,10.69,18.8,7.32,6.33,6.53,3.56,12.47,33.24,4.35,6.13,4.95,7.52,4.75,5.316667,-0.727778,12.344444,0.0,,-4.522222,49.368089
US_AR_05009,2020-01-08,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,2.8,6.39,4.79,10.19,8.99,6.19,3.79,3.6,11.58,,7.39,,6.19,10.79,,5.99,3.99,5.19,,3.4,6.79,21.77,3.99,5.99,4.59,3.4,13.58,33.35,5.59,6.39,7.59,4.39,2.8,7.805556,0.761111,17.294444,0.0,,-5.533333,39.449371
US_AR_05009,2020-01-09,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,4.99,6.33,3.65,9.98,10.17,5.37,5.95,3.26,14.78,2.88,9.79,2.69,7.1,10.36,,4.61,4.8,3.26,3.65,4.99,6.33,27.64,6.72,6.91,4.41,5.57,4.61,35.5,4.03,10.94,5.57,4.22,4.22,11.538889,9.211111,13.566667,0.0,,4.044444,60.284939
US_AR_05009,2020-01-10,ChIJKzPHROoqzIcRtNDFXNCe1ao,Q61010,geoId/05009,US,United States of America,AR,Arkansas,05009,Boone County,US,USA,2,,,,,,,37459,18470,18989,4640,4654,4354,4241,4412,5105,4722,3428,1903,1818401,36.306111,-93.093889,1559,76.485714,,,,,3.15,4.45,2.78,8.16,5.38,3.9,3.9,,8.9,,5.57,2.97,3.34,10.02,5.01,2.97,3.9,4.27,2.6,4.08,7.98,24.11,4.45,6.12,2.6,3.34,5.19,33.76,,6.49,4.27,4.64,3.71,15.2,12.172222,17.866667,12.107333,,14.483333,95.561776
