location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21161,2020-01-01,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,10.09,17.15,11.1,26.23,,33.29,,3.755556,1.194444,8.772222,0.0,,-2.265432,65.013508
US_KY_21161,2020-01-02,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,12.95,15.72,10.64,30.06,7.86,36.53,,5.25,0.661111,10.633333,0.036286,,-1.185185,63.861699
US_KY_21161,2020-01-03,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,9.13,7.76,24.65,,26.02,10.04,50.66,,10.355556,6.861111,11.755556,11.756571,,9.753086,96.429018
US_KY_21161,2020-01-04,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,,11.53,11.53,20.66,,38.92,,6.477778,1.811111,11.277778,11.139714,,5.080247,91.072388
US_KY_21161,2020-01-05,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,7.62,7.62,12.2,7.62,25.41,7.62,35.57,,2.477778,-1.016667,8.166667,1.439333,,-2.41358,70.31191
US_KY_21161,2020-01-06,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,7.14,9.12,17.45,9.12,22.21,6.74,26.17,6.74,3.638889,-1.772222,8.3,0.0,,-2.691358,63.706125
US_KY_21161,2020-01-07,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,8.79,14.52,7.64,21.77,,37.44,,2.705556,-2.311111,9.177778,0.0,,-4.339506,60.494436
US_KY_21161,2020-01-08,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,8.41,13.76,8.03,6.88,29.43,9.17,34.79,12.62,3.083333,-1.05,8.305556,0.0,,-6.759259,48.927077
US_KY_21161,2020-01-09,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,5.87,9.0,12.52,,30.51,11.34,30.12,14.08,3.161111,-3.3,14.338889,0.0,,-6.469136,50.45928
US_KY_21161,2020-01-10,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,6.09,10.27,13.7,8.75,22.45,7.23,28.91,8.37,12.872222,8.833333,17.272222,1.27,,4.907407,59.412023
