location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47003,2020-01-01,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,4.57,7.3,7.08,13.01,10.96,7.53,5.93,,,20.32,5.02,13.01,4.11,4.79,10.5,4.11,5.02,8.22,5.25,4.11,5.25,3.65,5.71,26.48,5.48,,5.71,5.02,4.34,4.79,5.02,39.03,,6.85,5.25,6.16,4.57,3.88,3.65,4.016667,-1.927778,11.288889,0.0254,,-3.740741,56.982286
US_TN_47003,2020-01-02,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,5.31,7.44,,12.54,9.77,4.04,6.37,5.31,,23.8,,13.6,3.61,6.37,8.5,5.52,4.25,6.16,2.97,6.16,5.95,3.19,6.8,29.53,,4.25,8.71,,6.59,5.52,5.52,45.89,3.82,7.22,4.67,3.19,5.74,,4.25,8.816667,5.816667,11.155556,0.084667,,2.802469,65.249775
US_TN_47003,2020-01-03,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,4.54,9.95,4.98,13.42,4.98,8.87,6.49,4.11,,23.15,5.41,13.42,,3.46,9.3,6.71,7.14,6.49,5.19,5.41,5.63,6.49,4.76,30.3,8.87,,6.71,3.25,4.76,3.9,6.49,45.01,3.9,6.28,3.46,5.41,4.11,,4.54,12.244444,10.094444,14.838889,22.182667,,11.845679,97.11568
US_TN_47003,2020-01-04,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,5.48,10.3,3.07,12.28,6.14,5.04,5.04,6.8,,23.9,5.26,11.4,3.95,6.8,8.11,3.95,6.14,5.04,6.36,4.17,3.73,4.61,8.11,25.65,4.38,3.73,8.11,3.29,,4.17,10.3,40.56,4.61,5.26,5.7,3.73,4.61,3.29,,9.144444,3.188889,14.155556,3.668889,,6.246914,83.258664
US_TN_47003,2020-01-05,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,8.18,10.45,3.86,9.99,5.0,6.13,5.0,3.18,5.22,21.12,5.0,12.49,5.22,4.77,9.54,4.54,6.13,7.49,4.54,7.72,5.68,,3.63,27.93,6.81,,8.18,,3.86,4.54,4.77,40.42,3.63,8.86,6.81,5.0,4.77,,,3.405556,-2.722222,12.161111,0.2032,,-1.851852,68.365312
US_TN_47003,2020-01-06,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,6.39,8.52,,13.42,8.09,8.3,7.88,5.75,3.41,21.51,4.9,9.37,4.9,6.18,12.35,4.05,5.54,4.68,6.81,4.26,4.05,3.19,7.24,34.5,7.88,7.67,6.81,2.98,8.73,5.11,5.11,45.78,4.05,8.52,7.03,5.32,7.24,3.62,4.05,5.65,-1.616667,14.094444,0.1778,,0.271605,68.149325
US_TN_47003,2020-01-07,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,5.97,5.38,,14.54,9.16,6.97,7.96,5.18,,19.12,3.78,13.34,4.18,4.38,14.14,4.98,6.77,4.58,8.16,4.18,7.57,,5.58,29.07,9.16,4.78,8.16,5.97,5.38,6.17,4.78,43.01,3.38,8.16,5.97,4.38,7.37,2.99,4.38,8.572222,3.188889,12.166667,0.338667,,1.0,59.578529
US_TN_47003,2020-01-08,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,3.37,5.56,2.98,8.93,8.33,9.13,6.35,4.96,4.17,18.65,4.17,10.91,3.97,3.57,9.33,4.56,4.56,4.76,2.78,2.78,5.75,,7.54,33.14,6.35,3.37,7.74,,3.77,4.96,5.75,41.47,3.37,17.66,4.96,3.17,5.36,,,5.438889,-1.788889,14.888889,0.2032,,-3.074074,54.329905
US_TN_47003,2020-01-09,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,5.73,4.94,4.15,10.67,9.68,4.15,3.36,4.94,,15.21,3.95,7.31,3.56,3.16,9.68,4.35,4.15,5.33,6.72,3.95,4.54,3.36,8.89,33.19,6.92,4.54,8.69,,5.14,3.95,6.52,39.12,3.36,11.06,5.33,5.14,5.33,,,6.494444,-0.855556,16.044444,0.0508,,-2.197531,53.381511
US_TN_47003,2020-01-10,ChIJUb_CzAnoY4gRl7XF9rhmDJM,Q495052,geoId/47003,US,United States of America,TN,Tennessee,47003,Bedford County,US,USA,2,,,,,,,48211,23690,24521,6634,6774,6370,5987,6187,6368,5136,3259,1496,1848165,35.51,-86.46,1230,76.333333,,,,,,5.9,7.28,4.92,10.42,5.11,6.69,6.1,4.33,,16.13,4.92,9.05,4.72,5.51,8.85,4.52,4.52,5.31,3.74,,4.72,2.75,6.29,26.94,5.7,2.95,5.31,2.75,5.11,3.74,2.95,45.43,2.75,7.28,6.69,3.54,4.33,,,15.544444,13.422222,18.177778,0.084667,,8.055556,60.938728
