location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13277,2020-01-01,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,7.9,8.86,4.55,10.77,7.66,4.55,,5.51,4.79,5.27,3.83,5.51,22.98,4.31,12.69,4.55,5.51,,10.77,6.22,3.83,5.99,3.59,,6.46,9.1,3.83,5.99,33.04,5.03,5.03,7.42,,,5.75,,5.03,42.85,4.31,6.7,,6.46,,7.18,3.83,,6.22,3.35,7.983333,1.366667,16.327778,0.0,0.561728,58.883646
US_GA_13277,2020-01-02,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,7.04,10.76,5.38,12.01,9.73,8.07,,5.59,4.55,5.59,4.35,4.55,19.87,5.59,15.94,4.76,8.28,4.14,11.18,6.21,5.17,8.28,6.21,7.04,3.52,7.04,4.14,12.21,34.15,7.04,5.17,6.21,,6.42,7.66,3.31,8.49,45.95,5.59,8.9,3.52,7.66,8.07,6.0,4.76,4.76,3.1,4.97,13.255556,5.094444,23.611111,0.0254,6.17284,62.085
US_GA_13277,2020-01-03,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,5.5,8.76,4.48,13.24,8.15,4.69,3.87,3.46,7.33,4.69,2.85,,19.15,6.32,11.41,,4.28,4.48,11.21,3.67,3.67,6.32,5.09,4.08,4.89,4.69,3.87,8.96,30.15,7.33,3.06,7.33,3.06,3.67,4.28,3.87,7.13,44.82,6.52,9.98,4.69,6.52,4.08,7.95,3.06,5.09,,,21.927778,18.711111,26.138889,0.435429,18.611111,82.109994
US_GA_13277,2020-01-04,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,3.24,8.1,4.4,10.65,8.79,5.79,,,6.25,,3.47,,15.97,6.71,9.72,,3.47,,6.48,,3.93,5.79,4.17,8.56,6.02,3.93,,5.55,23.14,,,8.33,3.47,5.32,5.09,,8.33,38.19,6.02,8.56,,5.55,,5.32,,,3.47,,18.888889,14.166667,24.266667,25.146,15.666667,80.553012
US_GA_13277,2020-01-05,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,5.13,8.62,5.13,9.32,3.26,5.83,4.2,3.5,5.59,3.26,3.26,4.2,17.95,6.29,11.19,3.73,5.83,,4.89,8.62,4.2,5.36,7.46,7.92,4.66,7.69,5.83,8.62,27.27,7.69,4.2,10.25,,3.26,7.22,,6.76,42.88,5.36,7.22,4.2,8.62,,8.16,4.43,,5.13,,8.627778,1.983333,14.755556,0.8128,-0.796296,51.34507
US_GA_13277,2020-01-06,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,5.04,6.59,7.75,3.29,11.63,7.95,6.2,2.71,4.26,8.92,6.01,5.04,3.88,19.58,5.23,10.86,3.88,4.85,,9.89,6.98,3.68,6.78,4.85,5.04,3.1,5.43,3.88,11.63,28.69,7.56,3.29,8.72,5.23,5.04,4.26,4.46,6.4,45.16,6.01,8.14,4.65,8.72,2.91,5.82,3.88,4.46,3.49,,8.583333,1.566667,19.683333,0.0,3.012346,67.30378
US_GA_13277,2020-01-07,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,3.89,5.13,6.54,3.54,12.74,7.08,6.01,,5.84,6.37,3.01,3.36,2.83,12.91,4.42,9.38,2.48,4.25,,9.73,4.25,4.25,3.36,3.89,3.18,5.13,6.19,3.71,13.97,28.66,6.9,2.65,9.9,4.07,7.61,6.37,3.54,7.25,38.74,4.95,6.37,,5.13,6.54,6.54,4.95,4.6,4.25,2.48,11.016667,4.061111,18.883333,0.0,5.932099,70.754196
US_GA_13277,2020-01-08,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,3.61,4.81,7.39,4.12,13.92,8.08,7.39,2.58,2.41,6.53,3.78,4.47,2.92,17.01,4.3,13.23,3.78,3.09,,12.37,4.98,4.12,4.98,5.5,4.12,4.3,4.47,4.47,10.83,35.92,7.22,4.47,8.59,4.12,6.19,5.67,3.27,7.22,39.52,7.05,18.39,4.47,5.84,7.22,7.39,4.3,,2.92,,8.411111,-0.2,18.022222,0.0,-0.734568,52.062669
US_GA_13277,2020-01-09,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,7.26,7.44,3.01,12.93,9.56,5.84,3.54,5.13,,4.96,,4.43,17.89,3.72,10.45,2.66,4.07,2.83,12.57,4.6,3.19,6.38,3.01,3.9,3.54,4.43,3.01,9.38,40.73,9.92,2.83,8.32,,3.9,5.31,3.54,6.2,39.67,6.2,15.23,5.13,5.13,7.61,5.13,3.19,,3.54,,8.755556,0.077778,21.661111,0.0,3.104938,66.899822
US_GA_13277,2020-01-10,ChIJA_4UOS_-8YgR6vaCJJR-SlU,Q498346,geoId/13277,US,United States of America,GA,Georgia,13277,Tift County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40431,19586,20845,5523,6004,5748,5147,4730,4920,4266,2641,1452,1073787,31.46,-83.53,696,75.922222,,,,,,,3.3,7.51,5.31,10.99,9.52,8.61,,5.31,5.31,4.95,,4.58,12.64,3.11,9.52,3.66,6.23,3.11,11.36,3.11,3.85,3.48,6.41,4.21,4.95,4.58,4.03,10.81,26.19,10.07,4.03,7.14,3.11,4.95,5.49,3.85,7.33,38.64,2.93,6.04,4.4,6.23,5.68,5.86,,2.56,4.58,4.4,17.677778,12.855556,25.138889,0.0,12.771605,72.51096
