location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48147,2020-01-01,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,,9.96,11.81,9.96,,7.38,16.98,10.7,6.64,5.54,7.01,6.64,32.11,5.54,5.17,,42.07,7.38,6.64,6.623457,2.623457,11.895062,0.0,-2.098765,54.108182
US_TX_48147,2020-01-02,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,6.08,8.58,12.87,9.29,,6.43,15.37,11.79,9.29,7.15,6.79,12.87,26.09,6.79,12.87,6.43,42.53,8.94,6.43,12.191358,10.166667,15.734568,0.0,7.351852,72.366366
US_TX_48147,2020-01-03,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,,8.82,11.76,7.72,5.51,6.25,22.42,13.97,5.88,6.98,,11.03,26.46,10.29,8.82,,35.65,6.25,11.03,10.759259,6.851852,15.098765,0.0,7.123457,78.4149
US_TX_48147,2020-01-04,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,6.65,7.43,8.22,7.43,6.26,5.48,19.18,7.83,8.61,7.83,6.26,9.78,22.31,,10.57,7.43,39.13,,,7.419753,1.283951,14.506173,0.0,-0.87037,55.891259
US_TX_48147,2020-01-05,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,7.71,10.41,13.89,5.4,,,25.46,11.19,5.79,,7.33,6.94,28.93,,6.56,7.71,33.94,10.03,5.4,9.722222,3.37037,19.598765,0.0,-0.246914,50.207774
US_TX_48147,2020-01-06,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,,7.55,14.37,9.7,,7.91,18.33,8.62,13.3,5.39,9.7,5.75,29.11,6.11,9.34,7.91,39.89,6.83,6.11,8.876543,1.67284,17.654321,0.0,0.851852,57.370588
US_TX_48147,2020-01-07,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,,7.53,13.74,12.43,4.91,8.18,13.74,7.85,11.78,5.89,5.24,8.18,18.65,9.16,,,38.6,7.2,,8.839506,0.722222,17.611111,0.0,-2.962963,43.630814
US_TX_48147,2020-01-08,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,4.82,6.74,9.31,7.06,,4.82,13.8,10.27,8.67,,,12.2,29.21,7.38,8.67,9.31,37.24,12.52,5.78,8.740741,0.95679,17.82716,0.0,-4.030864,40.81661
US_TX_48147,2020-01-09,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,,5.86,17.28,8.02,6.17,7.71,14.2,10.8,12.65,9.88,,5.55,37.65,9.88,8.02,5.55,42.59,22.53,7.1,14.37037,11.598765,18.58642,0.254,9.54321,72.8342
US_TX_48147,2020-01-10,ChIJqdc3pm-QS4YRZjMBVKqdqYo,Q111593,geoId/48147,US,United States of America,TX,Texas,48147,Fannin County,US,USA,2,,,,,,,34550,18378,16172,3781,4262,4368,4259,4341,4855,4288,2836,1560,1634509,33.59,-96.11,2329,76.677778,,,,,,6.41,8.36,6.69,4.74,4.18,10.03,9.47,5.85,,,8.92,20.9,5.02,5.02,5.02,34.0,8.64,4.18,18.932099,16.530864,21.425926,0.9144,17.055556,89.027852
