location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NM_35028,2020-01-01,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,,,,15.37,12.39,,,11.4,16.86,,7.44,10.41,,6.94,8.93,,,9.42,28.76,,8.93,,6.94,6.94,40.66,,9.42,,,,-4.438889,-13.444444,4.988889,0.0,,-12.302469,53.667245
US_NM_35028,2020-01-02,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,,11.35,7.22,18.23,15.13,5.5,8.6,4.82,23.04,12.73,5.16,7.91,5.16,7.91,5.16,5.85,7.22,11.35,37.49,,5.5,4.82,,7.22,46.09,5.5,8.25,8.6,4.82,,-3.744444,-9.322222,2.483333,0.09525,,-8.061728,71.461498
US_NM_35028,2020-01-03,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,,8.21,7.09,13.07,7.84,,,7.47,24.27,8.59,,10.08,,,6.35,7.84,,9.33,24.64,11.2,10.08,,,9.33,45.55,,6.35,5.97,,5.23,-6.377778,-13.905556,3.588889,0.3302,,-11.067901,67.11694
US_NM_35028,2020-01-04,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,,,8.09,10.95,,,9.52,8.57,25.7,11.42,,8.09,,8.09,7.62,,,7.62,32.37,,7.62,,,10.95,57.59,,6.66,,,7.62,-2.094444,-11.522222,9.117284,0.1016,,-9.796296,55.116116
US_NM_35028,2020-01-05,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,8.31,11.07,,10.61,6.46,10.15,,,21.69,14.3,6.92,9.23,7.38,,6.46,,,,23.53,6.46,7.38,,,6.92,39.68,,8.77,,,,1.5,-8.961111,11.555556,0.0,,-8.67284,47.372732
US_NM_35028,2020-01-06,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,4.12,10.9,,17.67,9.43,6.78,5.6,6.18,21.8,12.66,5.6,13.55,4.71,,5.01,,7.66,8.54,28.28,5.89,5.6,,7.07,10.31,41.53,6.48,6.48,5.3,7.66,4.12,0.861111,-6.016667,7.922222,0.0,,-10.462963,42.539254
US_NM_35028,2020-01-07,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,,8.56,5.52,17.12,7.73,7.18,7.45,4.42,22.09,11.04,4.42,10.77,3.87,3.87,3.87,4.42,4.14,6.07,28.71,8.01,5.8,7.73,4.97,6.9,35.62,4.14,6.07,5.8,5.52,3.87,-2.233333,-10.183333,7.9,0.0,,-13.228395,42.381544
US_NM_35028,2020-01-08,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,5.38,5.1,,12.46,9.06,4.53,8.78,5.38,20.39,11.04,5.66,9.06,,5.38,6.8,4.53,,7.65,31.43,7.93,3.96,,3.96,8.49,41.63,,13.88,5.66,4.25,,-2.322222,-10.577778,8.311111,0.0,,-12.148148,46.379148
US_NM_35028,2020-01-09,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,4.12,9.88,6.32,10.98,9.34,4.94,5.22,,15.93,7.96,3.84,8.79,5.77,6.59,4.67,,6.04,7.69,32.68,7.96,4.67,5.22,5.22,4.39,35.7,4.12,10.16,5.22,4.94,,0.472222,-7.488889,7.055556,0.0,,-11.703704,39.252459
US_NM_35028,2020-01-10,ChIJF8D-ZnagIocRjlWg9BxeH6k,Q484296,geoId/35028,US,United States of America,NM,New Mexico,35028,Los Alamos County,US,USA,2,,,,,,,18742,9520,9222,2156,2499,1857,2376,2238,2944,2439,1408,825,1344294,35.87,-106.31,283,83.166667,,,,,6.88,,13.13,8.44,6.88,5.0,,18.45,6.88,,11.26,,6.57,,6.88,5.63,9.38,28.76,5.94,6.88,,,9.07,40.02,,8.13,,,5.32,-1.977778,-7.75,3.116667,0.338667,,-6.987654,66.689714
