location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19101,2020-01-11,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,,15.56,18.34,9.45,23.9,12.23,31.12,,-2.466667,-4.788889,0.7,12.1412,-3.566667,92.374764
US_IA_19101,2020-01-12,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,15.96,9.35,,21.46,12.11,26.96,,32.46,,-4.177778,-6.027778,-2.105556,0.550333,-5.722222,89.235563
US_IA_19101,2020-01-13,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,10.12,7.92,11.44,9.68,26.83,,37.83,10.12,-0.938889,-2.711111,0.722222,0.217714,-2.027778,91.548322
US_IA_19101,2020-01-14,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,8.56,9.91,9.46,8.11,9.46,22.52,9.01,36.03,,1.961111,-0.961111,4.033333,0.254,0.677778,91.355543
US_IA_19101,2020-01-15,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,6.72,10.74,7.61,9.4,9.4,24.18,9.4,25.07,8.06,-0.544444,-2.65,1.494444,0.3048,-1.17284,94.815878
US_IA_19101,2020-01-16,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,7.05,9.26,13.67,14.11,9.26,15.87,7.93,34.38,8.38,-10.683333,-15.355556,-2.527778,0.0,-14.544444,73.389558
US_IA_19101,2020-01-17,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,9.03,13.99,9.03,9.93,6.77,20.76,7.22,34.75,6.77,-7.438889,-11.5,-2.4,0.2032,-9.766667,83.62483
US_IA_19101,2020-01-18,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,10.57,8.35,10.57,9.46,20.59,,32.28,8.9,-3.0,-12.216667,1.683333,5.0292,-4.766667,87.704292
US_IA_19101,2020-01-19,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,10.6,8.37,11.71,10.6,19.53,8.93,45.19,,-15.388889,-17.805556,-11.933333,0.2032,-19.544444,70.639694
US_IA_19101,2020-01-20,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,12.19,10.23,,17.06,10.23,25.83,,35.58,7.31,-12.432099,-13.709877,-9.259259,0.0,-15.166667,80.207866
