location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48073,2020-01-01,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,6.48,7.4,5.09,12.26,6.25,3.93,,6.25,18.97,,10.18,3.24,3.93,8.1,3.7,,5.55,,3.47,4.86,6.01,26.83,6.94,6.94,5.32,3.93,6.25,34.92,,8.56,4.86,4.39,5.78,6.030864,1.04321,11.549383,0.0,-0.506944,64.035406
US_TX_48073,2020-01-02,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,8.25,10.85,4.34,12.81,6.29,4.99,6.29,4.99,20.19,5.43,12.37,,3.26,8.03,5.86,3.26,8.25,4.56,4.99,,10.64,28.43,7.81,7.16,,,6.95,42.98,5.64,9.33,4.12,4.99,6.51,12.17284,10.203704,15.135802,3.259667,9.611111,84.783809
US_TX_48073,2020-01-03,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,3.77,9.09,4.21,7.54,7.32,4.21,4.21,6.21,15.52,4.21,10.2,,,8.64,5.1,3.77,3.77,3.55,3.77,3.77,8.64,26.38,4.43,6.87,3.33,5.54,3.33,36.58,,6.43,3.99,3.1,3.77,12.5,9.0,15.191358,4.445,11.222222,91.857234
US_TX_48073,2020-01-04,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,4.8,9.6,,9.84,7.92,4.8,4.56,,15.36,4.56,7.92,,4.56,7.2,,5.28,6.0,3.36,4.56,3.6,6.0,23.75,,6.96,,3.84,4.08,37.43,,5.52,6.72,3.6,5.52,8.296296,0.765432,16.17284,0.0,1.798611,64.061227
US_TX_48073,2020-01-05,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,5.12,8.67,5.12,8.67,7.56,7.12,5.78,8.23,12.68,,6.45,,5.34,4.45,6.0,5.56,4.89,3.78,5.56,8.45,7.12,23.13,6.0,5.12,,,5.78,29.8,,8.67,5.34,4.89,3.34,10.62963,3.419753,22.271605,0.0,2.131944,56.882909
US_TX_48073,2020-01-06,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,4.17,7.9,3.29,11.85,7.46,8.55,5.7,7.68,17.11,3.29,8.78,,4.17,8.99,3.95,3.51,5.26,,6.14,5.26,8.99,22.59,5.26,5.7,,5.04,5.04,33.34,,6.58,9.43,4.83,3.73,11.987654,4.154321,20.987654,0.0,4.354167,60.326282
US_TX_48073,2020-01-07,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,2.98,7.46,3.84,12.58,5.76,5.33,6.82,4.48,12.79,,8.31,3.62,4.05,10.02,3.41,6.61,6.82,3.2,5.54,3.84,7.89,27.08,9.59,8.1,3.2,3.84,4.05,40.3,3.41,8.74,5.76,2.98,6.18,10.783951,1.895062,17.876543,0.0,-1.319444,43.223434
US_TX_48073,2020-01-08,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,5.13,6.57,3.28,11.49,5.33,5.95,3.9,2.87,11.08,,8.82,,,6.97,3.08,5.13,3.49,4.1,5.54,3.28,6.16,32.62,6.57,6.57,,5.95,7.18,31.39,6.16,12.72,5.33,3.28,,7.907407,-0.055556,18.37037,0.0,-2.131944,50.445585
US_TX_48073,2020-01-09,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,3.75,7.11,2.96,7.89,6.32,4.14,5.33,2.76,13.22,3.95,8.88,3.95,,9.67,5.13,4.54,6.12,3.35,3.55,3.35,9.87,34.14,5.33,6.51,3.35,4.34,4.54,32.76,5.72,10.86,5.33,5.13,,15.617284,12.080247,21.104938,0.0,11.736111,78.394083
US_TX_48073,2020-01-10,ChIJrWw1l9sZSIYRE8vLZzPzXWA,Q108842,geoId/48073,US,United States of America,TX,Texas,48073,Cherokee County,US,USA,2,,,,,,,52116,26584,25532,7370,7560,6444,5872,6360,6367,6056,3924,2163,1839605,31.84,-95.17,2750,76.45,,,,,,6.67,3.33,9.45,5.56,3.71,3.71,3.89,9.08,2.78,6.3,3.52,,7.23,3.15,2.59,4.82,,5.37,4.45,4.45,21.5,3.71,5.56,4.26,3.15,4.82,31.13,3.15,7.78,4.26,3.52,5.19,20.246914,18.864198,22.17284,0.338667,17.430556,84.224842
