location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17025,2020-01-01,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,16.48,24.73,31.32,3.444444,-2.0,10.872222,0.0,-2.355556,66.558943
US_IL_17025,2020-01-02,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,34.07,36.45,7.088889,3.588889,11.744444,0.254,0.666667,64.568322
US_IL_17025,2020-01-03,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,30.02,44.62,7.933333,4.766667,9.155556,4.934857,7.238889,95.601328
US_IL_17025,2020-01-04,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,22.85,19.34,41.31,2.822222,0.8,4.905556,0.725714,0.766667,86.620366
US_IL_17025,2020-01-05,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,31.8,52.43,2.083333,-3.405556,11.305556,0.4318,-2.422222,72.616543
US_IL_17025,2020-01-06,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,17.36,36.72,3.405556,-3.233333,8.944444,0.1778,-3.488889,61.279895
US_IL_17025,2020-01-07,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,34.96,41.43,1.627778,-4.255556,8.333333,0.0254,-3.65,68.476027
US_IL_17025,2020-01-08,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,31.56,40.57,1.977778,-1.988889,6.061111,0.0,-6.494444,53.896834
US_IL_17025,2020-01-09,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,22.56,40.62,6.077778,0.255556,13.45,0.0508,-3.155556,52.200789
US_IL_17025,2020-01-10,ChIJ0cfX2nrec4gRb61075cZ1ww,Q110417,geoId/17025,US,United States of America,IL,Illinois,17025,Clay County,US,USA,2,,,,,,,13270,6564,6706,1636,1611,1519,1481,1508,1905,1769,1117,724,1801518,38.76,-88.49,1217,76.125,,,,24.69,32.92,11.916667,8.761111,14.2,20.92325,9.505556,85.380748
