location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01053,2020-01-01,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,,8.71,9.11,9.5,10.29,,21.38,13.46,9.5,,,,22.17,7.13,7.52,7.52,44.34,,5.94,8.222222,2.794444,15.405556,0.0,1.5,62.308805
US_AL_01053,2020-01-02,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,6.43,8.13,10.16,6.1,5.76,7.45,17.95,13.89,7.45,,10.84,7.79,36.24,,8.81,8.13,47.41,6.1,,16.955556,11.805556,22.2,2.2098,13.32716,77.596469
US_AL_01053,2020-01-03,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,,9.29,14.27,6.97,5.31,7.3,19.9,11.94,11.61,4.98,,9.95,27.2,7.3,8.29,,45.45,7.3,5.31,21.755556,16.672222,25.372222,10.357556,20.567901,92.510549
US_AL_01053,2020-01-04,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,,9.66,16.62,6.57,9.28,,19.33,8.89,8.89,5.8,,11.98,27.06,7.73,8.12,5.41,32.86,8.89,,15.805556,12.477778,18.027778,13.349111,10.993827,72.660576
US_AL_01053,2020-01-05,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,,13.27,13.67,8.44,6.03,,18.49,10.05,7.24,,,6.83,30.15,7.64,10.05,7.24,42.61,5.63,8.04,8.266667,0.994444,16.272222,0.0762,0.333333,56.712068
US_AL_01053,2020-01-06,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,7.2,10.29,9.6,9.6,6.86,5.49,17.14,7.2,11.66,5.49,,10.29,30.86,,12.0,6.17,43.55,6.51,6.51,9.911111,2.588889,20.233333,0.0,5.45679,72.790418
US_AL_01053,2020-01-07,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,6.22,5.88,10.72,11.76,6.57,5.88,11.06,7.26,9.34,7.26,,13.48,29.04,5.88,7.26,,46.68,5.88,5.19,13.094444,7.266667,18.555556,0.0,6.074074,61.523993
US_AL_01053,2020-01-08,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,,9.3,14.12,8.96,8.27,,17.22,7.58,11.71,,5.17,12.74,33.75,6.89,6.89,7.92,41.33,12.74,8.61,8.105556,-0.744444,18.461111,0.0,-1.080247,51.740192
US_AL_01053,2020-01-09,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,5.53,7.61,11.41,7.26,7.96,,15.56,10.03,12.11,5.19,5.53,10.38,32.86,6.23,8.3,,50.5,11.41,,10.972222,3.361111,20.677778,0.0,4.851852,64.766516
US_AL_01053,2020-01-10,ChIJzY1jedVekIgRMfynHUnNNPY,Q487744,geoId/01053,US,United States of America,AL,Alabama,01053,Escambia County,US,USA,2,,,,,,,36993,18749,18244,4576,4486,4798,4628,4717,4976,4350,2961,1501,1848773,31.126667,-87.162222,2468,73.525,,,,,5.75,8.79,8.45,7.44,8.12,6.09,14.54,8.12,10.82,9.47,,9.13,30.77,5.41,8.12,7.1,43.28,9.13,,18.844444,16.122222,22.522222,0.0,14.333333,74.699735
