location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_WA_53049,2020-01-30,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,,8.11,7.33,,,34.35,11.19,6.17,9.65,27.4,,,40.52,8.88,5.79,6.537037,3.203704,10.296296,11.486444,5.62963,94.559021
US_WA_53049,2020-01-31,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,5.68,6.44,,,,28.03,9.09,,7.2,30.68,5.3,,31.82,,,10.888889,5.216049,12.858025,13.55725,10.101852,93.974127
US_WA_53049,2020-02-01,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,9.57,12.62,8.7,9.57,,20.88,10.01,,,26.97,,,38.72,6.96,,10.419753,6.722222,12.820988,17.2085,8.731481,87.611465
US_WA_53049,2020-02-02,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,8.08,11.22,,7.18,,13.92,13.02,,,29.19,,,38.62,8.98,8.08,3.469136,0.444444,10.092593,5.7785,1.138889,87.966395
US_WA_53049,2020-02-03,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,7.13,11.49,9.11,6.34,,15.05,14.65,,,17.82,,,32.87,,,2.981481,0.203704,6.864198,0.92075,0.527778,88.030064
US_WA_53049,2020-02-04,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,5.8,6.96,6.18,8.12,,13.14,15.84,8.12,8.12,30.53,6.57,,36.71,7.73,8.89,1.709877,-1.135802,6.796296,0.028222,-0.342593,91.70285
US_WA_53049,2020-02-05,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,,10.86,11.63,6.21,,12.8,12.41,,12.41,29.47,,6.59,36.45,,,7.080247,0.95679,9.67284,13.11275,5.611111,94.841224
US_WA_53049,2020-02-06,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,7.98,9.12,7.22,6.08,,12.92,7.22,,6.08,26.6,,,36.86,,,9.382716,8.117284,10.746914,7.6835,8.981481,97.144046
US_WA_53049,2020-02-07,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,7.45,6.67,7.45,7.84,,13.33,9.02,,7.45,27.45,,,35.69,7.06,5.49,9.722222,8.87037,10.716049,11.65225,9.287037,96.12411
US_WA_53049,2020-02-08,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,6.85,,6.42,8.99,,18.84,10.7,,7.71,30.82,7.28,,38.53,,,7.58642,5.962963,9.845679,6.985,4.712963,82.893093
US_WA_53049,2020-02-09,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,9.13,9.13,6.52,6.96,,15.22,10.43,,9.13,30.87,,,38.26,8.26,,4.074074,0.061728,9.407407,0.92075,2.101852,90.218589
US_WA_53049,2020-02-10,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,,7.92,,5.28,8.3,14.33,13.58,,7.54,24.89,,,35.07,,,5.04321,0.728395,9.561728,0.0,2.768519,87.614289
US_WA_53049,2020-02-11,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,5.79,13.38,10.13,,5.79,9.4,15.55,6.15,9.4,19.17,7.59,6.87,34.72,6.87,,4.58642,1.08642,9.580247,0.0,2.388889,89.443559
US_WA_53049,2020-02-12,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,,11.14,6.91,,,11.52,12.29,,7.3,25.35,6.14,7.3,41.87,,5.76,6.679012,2.290123,9.333333,0.620889,5.564815,92.791688
US_WA_53049,2020-02-13,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,7.18,8.31,7.93,,,10.95,12.09,,7.93,27.19,10.95,5.67,40.41,,,5.234568,2.074074,8.969136,0.28575,3.712963,92.698245
US_WA_53049,2020-02-14,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,,,,,,5.96,,7.55,5.96,8.35,11.92,9.94,,11.53,22.26,7.95,6.36,38.95,,,6.209877,2.882716,8.703704,2.3495,3.787037,87.171311
US_WA_53049,2020-02-15,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,24,15,4,-5,,5.43,10.46,6.98,6.59,6.59,17.44,5.43,,8.14,22.48,7.36,6.59,43.02,5.43,,6.765432,4.882716,8.728395,2.19075,4.990741,90.421107
US_WA_53049,2020-02-16,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,70,33,94,0,,7.25,12.6,11.45,9.16,,14.12,11.45,,,20.23,,7.25,36.65,6.87,6.87,5.845679,3.141975,8.691358,6.31825,3.953704,90.502293
US_WA_53049,2020-02-17,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,43,5,,-26,,8.83,9.63,6.82,7.62,,12.84,9.23,,,23.27,,6.82,32.9,7.62,9.23,5.240741,1.265432,9.438272,2.159,2.25,84.667708
US_WA_53049,2020-02-18,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,13,12,,4,,7.28,9.01,9.01,4.85,,13.18,7.63,6.24,9.36,26.0,7.28,5.2,41.6,4.85,8.32,3.32716,-0.771605,9.345679,0.677333,0.342593,83.481052
US_WA_53049,2020-02-19,ChIJWc9_wKTAk1QRTwvYQ6yxyX8,Q483990,geoId/53049,US,United States of America,WA,Washington,53049,Pacific County,US,USA,2,,,,,,,,,,,,,,,,,,,,21742,10880,10862,1911,1976,1881,2070,2081,3024,4484,2947,1368,1153390,46.56,-123.78,3169,77.5,16,8,,4,,,8.01,5.46,5.1,5.83,14.57,8.01,6.19,6.19,28.77,12.75,,42.98,5.46,6.19,4.388889,-1.234568,12.641975,0.0,-1.796296,68.071976
