location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51117,2020-01-01,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,8.04,9.64,6.43,6.03,,16.87,7.63,8.44,,7.63,27.32,7.23,10.45,,39.77,,8.04,5.95,-0.233333,12.116667,0.0,,-1.45,59.263422
US_VA_51117,2020-01-02,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,10.49,7.87,8.62,,5.25,17.24,11.62,7.5,6.75,8.25,26.99,6.0,11.24,5.62,38.98,,5.62,5.311111,-0.966667,14.916667,0.0,,-0.777778,65.086139
US_VA_51117,2020-01-03,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,6.27,11.44,7.75,7.01,7.01,16.6,11.07,6.64,,9.22,24.35,7.38,7.38,,36.9,7.75,8.49,8.633333,1.938889,13.916667,5.406571,,6.955556,89.327689
US_VA_51117,2020-01-04,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,10.56,11.34,14.47,8.99,8.21,15.64,13.69,9.78,,5.87,26.98,7.04,9.38,5.87,47.71,,,13.366667,8.683333,16.366667,11.756571,,12.55,94.828053
US_VA_51117,2020-01-05,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,7.27,7.68,8.48,6.87,,18.18,9.29,6.87,,8.89,30.3,6.87,,6.87,44.44,9.29,,6.311111,1.211111,13.627778,2.229556,,-1.494444,57.623013
US_VA_51117,2020-01-06,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,7.07,7.44,10.05,8.56,5.58,12.65,11.91,14.88,,7.07,30.89,,6.33,6.7,40.56,8.56,5.95,4.816667,-1.038889,13.372222,0.0,,-2.333333,60.205199
US_VA_51117,2020-01-07,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,9.17,9.54,6.24,7.34,5.5,19.44,9.54,8.8,6.6,7.34,26.77,7.7,10.27,,38.15,6.24,7.34,1.6,-2.805556,9.6,2.104571,,-1.138889,82.27707
US_VA_51117,2020-01-08,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,6.49,18.38,11.89,5.77,5.05,16.22,12.61,9.73,,10.45,33.52,5.05,7.57,,47.21,11.89,5.05,3.977778,-2.811111,12.305556,2.7178,,-3.016667,60.552574
US_VA_51117,2020-01-09,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,10.11,9.39,6.86,5.06,9.03,15.89,7.95,11.56,5.78,11.2,33.59,6.86,5.78,5.06,42.98,10.11,5.78,1.783333,-3.605556,10.266667,0.0,,-5.461111,59.298375
US_VA_51117,2020-01-10,ChIJD0v_SJh1sokR9tdVbAdxsiU,Q510885,geoId/51117,US,United States of America,VA,Virginia,51117,Mecklenburg County,US,USA,2,,,,,,,30693,14954,15739,2969,3348,3180,2948,3307,4651,5012,3417,1861,2534191,36.68,-78.37,1759,76.375,,,,,,,7.49,11.06,7.49,,6.78,12.49,12.49,11.77,,13.2,27.47,13.2,8.21,,39.6,7.85,6.78,5.783333,-1.45,15.777778,0.0,,1.755556,75.433859
