location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48289,2020-01-01,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,13.06,45.28,47.02,8.444444,4.024691,12.858025,0.0,,-0.354167,53.803499
US_TX_48289,2020-01-02,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,,22.96,41.95,12.876543,10.919753,15.753086,2.032,,10.229167,83.845242
US_TX_48289,2020-01-03,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,,27.14,27.14,12.17284,7.814815,15.932099,1.61925,,10.270833,88.409963
US_TX_48289,2020-01-04,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,14.71,20.77,51.06,9.617284,1.734568,18.487654,0.0,,1.805556,58.074346
US_TX_48289,2020-01-05,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,,31.34,38.96,12.487654,5.648148,23.061728,0.0,,2.472222,50.569546
US_TX_48289,2020-01-06,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,14.5,26.58,24.16,12.944444,4.666667,21.691358,0.0,,5.097222,58.976982
US_TX_48289,2020-01-07,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,17.75,16.27,51.02,11.364198,2.395062,18.648148,0.0,,-0.409722,44.154255
US_TX_48289,2020-01-08,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,,26.84,47.33,9.493827,1.944444,19.154321,0.0,,-1.166667,47.770942
US_TX_48289,2020-01-09,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,13.99,34.64,36.63,16.814815,13.290123,22.030864,0.09525,,13.208333,79.098269
US_TX_48289,2020-01-10,ChIJZzXjov4iRoYRE6xUu4jz8MI,Q27021,geoId/48289,US,United States of America,TX,Texas,48289,Leon County,US,USA,2,,,,,,,17235,8593,8642,2163,2116,1661,1763,1733,2370,2517,1969,943,1839082,31.3,-96.0,2798,81.933333,,,,,,13.56,20.96,32.67,20.740741,19.438272,22.530864,0.653143,,18.173611,85.229407
