location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26009,2020-01-11,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,7.65,7.65,11.68,7.25,,12.89,6.85,7.65,,,8.05,19.73,8.05,8.05,,39.06,,,-2.15,-6.494444,4.161111,4.021667,78.74,-4.958333,81.800553
US_MI_26009,2020-01-12,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.6,11.06,,,,14.34,,,9.01,,,20.07,,8.6,,37.28,6.14,6.14,-9.688889,-14.761111,-2.983333,2.582333,99.06,-13.701389,73.280456
US_MI_26009,2020-01-13,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,9.61,12.01,12.35,,6.86,10.98,9.27,9.27,,,,25.05,,,5.49,35.34,6.86,5.15,-5.405556,-8.961111,-1.616667,1.481667,129.54,-7.229167,86.191643
US_MI_26009,2020-01-14,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,7.51,11.8,8.58,8.58,,16.8,9.65,7.87,5.72,,6.08,22.17,5.72,,5.0,35.4,6.79,,-0.561111,-4.322222,1.477778,0.381,78.74,-2.104167,89.166218
US_MI_26009,2020-01-15,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,8.01,7.65,6.92,,10.93,5.46,8.01,,,,23.31,,,5.46,33.14,,6.19,0.288889,-1.361111,1.516667,0.296333,78.74,-3.145833,77.998373
US_MI_26009,2020-01-16,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,6.74,,7.8,5.68,16.67,8.51,9.58,4.97,,,18.45,7.8,,5.32,36.54,,6.74,-3.25,-7.205556,0.005556,0.677333,129.54,-5.715278,83.366019
US_MI_26009,2020-01-17,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.11,5.84,5.84,5.47,7.29,10.94,,,,,6.2,20.06,5.47,,,34.28,,,-7.155556,-8.527778,-3.977778,1.27,99.06,-11.541667,70.685813
US_MI_26009,2020-01-18,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,5.19,7.04,7.41,,10.38,5.56,10.01,,6.3,5.56,20.76,,,,40.4,8.15,,-4.411111,-7.277778,-1.222222,0.381,200.66,-6.430556,85.077138
US_MI_26009,2020-01-19,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,7.13,9.39,8.26,,7.13,,11.64,,7.88,,,6.38,17.65,7.51,,5.63,46.56,7.51,5.63,-5.616667,-9.988889,-1.5,7.704667,248.92,-9.069444,77.23715
US_MI_26009,2020-01-20,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,8.8,6.09,9.14,7.45,10.15,,15.23,8.46,9.48,,6.77,4.74,22.68,6.43,4.74,,40.28,,,-8.022222,-14.05,-3.533333,0.465667,248.92,-12.298611,73.580812
US_MI_26009,2020-01-21,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.43,8.43,6.23,,5.5,16.86,8.8,8.06,5.87,,,23.82,6.23,,8.06,40.69,13.2,6.6,-4.711111,-9.555556,-1.394444,0.0,231.14,-8.854167,73.442368
US_MI_26009,2020-01-22,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,7.21,7.57,,,,12.97,9.37,7.57,5.04,,5.04,23.06,7.57,6.49,,32.78,8.65,6.49,-0.833333,-3.805556,2.983333,0.0,180.34,-4.534722,74.99576
US_MI_26009,2020-01-23,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.23,,7.52,9.31,,16.83,7.52,10.38,6.8,,6.8,27.21,5.01,5.01,,35.44,9.67,,-0.072222,-2.005556,2.55,0.084667,180.34,-3.430556,77.451314
US_MI_26009,2020-01-24,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,6.4,9.03,6.78,6.78,,,16.56,5.27,10.16,,,,28.61,8.28,9.03,,33.12,6.02,,0.605556,-1.427778,2.794444,1.989667,180.34,-1.173611,87.550105
US_MI_26009,2020-01-25,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,6.49,6.9,,6.49,,21.5,6.08,6.9,,,8.11,22.31,6.08,,7.3,43.0,,,1.327778,-0.2,3.083333,1.905,129.54,0.416667,93.535272
