location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28133,2020-01-01,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,8.29,13.81,,24.31,8.29,35.36,,5.9,1.588889,11.783333,0.0,,-0.522222,63.603596
US_MS_28133,2020-01-02,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,11.57,12.53,8.19,28.91,12.05,44.82,,10.722222,8.355556,14.011111,3.156857,,7.638889,81.305438
US_MS_28133,2020-01-03,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,9.22,12.8,9.22,30.22,,34.32,9.22,14.261111,12.261111,16.772222,36.757429,,13.372222,94.51795
US_MS_28133,2020-01-04,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,,18.69,,26.87,,25.12,,9.5,4.333333,14.483333,1.61925,,4.094444,69.337284
US_MS_28133,2020-01-05,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,8.28,13.8,11.04,19.88,,36.44,10.49,7.211111,0.655556,18.116667,0.0,,1.483333,67.51972
US_MS_28133,2020-01-06,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,,14.1,,32.23,,41.8,,9.927778,3.833333,17.188889,0.0,,5.955556,76.77945
US_MS_28133,2020-01-07,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,12.15,12.62,11.22,23.83,,28.04,,9.016667,3.4,14.661111,0.0,,1.511111,59.914169
US_MS_28133,2020-01-08,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,12.7,14.29,9.53,31.75,10.05,31.22,15.87,7.283333,0.233333,17.2,0.0,,-0.788889,56.708453
US_MS_28133,2020-01-09,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,7.7,19.0,12.84,31.83,10.78,37.48,12.32,11.138889,5.255556,18.472222,0.0,,3.65,60.142775
US_MS_28133,2020-01-10,ChIJbUwE4oeqK4YR_SKzrKplNsY,Q484659,geoId/28133,US,United States of America,MS,Mississippi,28133,Sunflower County,US,USA,2,,,,,,,26142,13903,12239,3202,3466,4287,3698,3298,3297,2717,1371,806,1833656,33.61,-90.6,1832,73.6,,,,,8.71,10.55,6.88,17.43,6.88,33.03,,17.266667,15.316667,19.955556,0.471714,,14.227778,82.475883
