location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72065,2020-01-01,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,26.402778,23.4375,29.152778,0.254,23.597222,83.670152
US_PR_72065,2020-01-02,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,26.541667,24.604167,28.5625,0.03175,22.847222,80.56337
US_PR_72065,2020-01-03,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.625,23.506944,28.0,1.27,22.888889,85.016628
US_PR_72065,2020-01-04,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.763889,22.951389,28.291667,2.503714,20.361111,70.056074
US_PR_72065,2020-01-05,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,24.972222,22.298611,27.6875,0.0508,21.319444,80.075484
US_PR_72065,2020-01-06,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,24.777778,22.729167,27.222222,1.7272,22.305556,86.167376
US_PR_72065,2020-01-07,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.951389,22.965278,28.534722,0.3175,21.277778,74.193983
US_PR_72065,2020-01-08,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.861111,23.340278,28.576389,0.108857,22.125,78.811858
US_PR_72065,2020-01-09,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,26.375,23.805556,29.048611,0.762,22.0,75.158407
US_PR_72065,2020-01-10,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,26.513889,23.590278,29.159722,2.455333,21.347222,72.830959
US_PR_72065,2020-01-11,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,26.347222,23.833333,29.201389,0.653143,20.486111,69.120312
US_PR_72065,2020-01-12,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.923611,23.201389,28.604167,0.592667,21.736111,77.472911
US_PR_72065,2020-01-13,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.868056,23.381944,28.347222,3.217333,20.902778,73.43204
US_PR_72065,2020-01-14,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.388889,22.729167,27.888889,0.92075,20.305556,72.543937
US_PR_72065,2020-01-15,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.284722,22.444444,28.25,2.249714,21.5,79.972547
US_PR_72065,2020-01-16,ChIJ03W8YFDdAowRQ4MHCLfKm9I,Q2412723,geoId/72065,US,United States of America,PR,Puerto Rico,72065,Hatillo Municipio,US,USA,2,,,,,38486,4468455,18.486389,-66.825556,28,152,,,,,25.513889,22.0,28.451389,1.524,19.555556,68.584013
