location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IN_18165,2020-01-01,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,14.84,31.91,40.07,1.944444,-2.722222,8.344444,0.0,-2.080247,74.34929
US_IN_18165,2020-01-02,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,25.55,51.85,44.34,6.055556,1.011111,11.083333,0.0,0.388889,66.559744
US_IN_18165,2020-01-03,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,26.97,32.22,44.2,5.955556,2.944444,8.927778,1.580444,5.487654,95.284487
US_IN_18165,2020-01-04,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,23.61,26.47,43.63,1.805556,0.155556,4.894444,0.435429,0.203704,88.572423
US_IN_18165,2020-01-05,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,20.91,17.3,43.98,1.038889,-4.455556,8.85,0.0762,-2.808642,75.147687
US_IN_18165,2020-01-06,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,17.13,37.11,42.81,1.555556,-4.588889,7.566667,0.0,-3.438272,68.885262
US_IN_18165,2020-01-07,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,20.46,19.09,43.64,0.822222,-4.433333,7.177778,0.0508,-3.5,72.433036
US_IN_18165,2020-01-08,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,10.95,24.64,28.07,54.08,-0.95,-4.744444,4.294444,0.0508,-7.12963,62.344102
US_IN_18165,2020-01-09,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,14.47,21.36,39.27,3.027778,-3.427778,11.688889,0.042333,-4.611111,57.013156
US_IN_18165,2020-01-10,ChIJf7cNitdTbYgRhOluUCvxi5k,Q502933,geoId/18165,US,United States of America,IN,Indiana,18165,Vermillion County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15503,7723,7780,1739,2049,1733,1719,1929,2138,2141,1319,736,1804401,39.85,-87.46,673,77.42,,,,,,15.47,20.18,34.3,10.25,6.255556,14.011111,14.3256,8.728395,90.136567
