location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22113,2020-01-01,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,5.4,9.35,6.44,11.01,5.19,3.12,,6.44,3.95,,3.53,23.27,3.95,11.63,4.36,4.57,5.4,4.36,,6.86,3.74,3.74,,3.74,3.74,8.52,26.39,6.44,,10.39,4.16,3.32,5.19,5.82,46.74,3.95,8.1,5.4,3.95,5.82,3.74,,10.407407,6.722222,14.382716,0.0,3.579365,62.82864
US_LA_22113,2020-01-02,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,5.7,8.85,,11.41,9.24,4.92,3.54,5.31,6.1,3.54,3.74,21.24,3.54,11.6,3.93,4.92,8.65,5.9,3.54,6.88,6.1,4.92,4.92,3.74,3.54,5.31,27.93,5.9,,9.64,3.93,6.69,,7.08,40.12,5.51,9.24,7.28,5.11,6.49,4.92,3.15,17.141975,11.709877,21.993827,10.16,15.246032,88.949056
US_LA_22113,2020-01-03,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,7.52,9.15,4.88,14.23,9.96,7.32,3.86,6.91,5.89,3.66,4.88,20.53,3.66,12.6,,4.68,11.79,3.25,3.05,3.86,5.29,5.49,4.47,5.49,3.05,9.15,26.63,5.49,2.85,8.54,4.47,5.49,3.05,5.69,45.74,6.1,10.16,4.47,5.69,7.32,,4.27,16.08642,13.944444,21.135802,21.844,15.055556,93.528875
US_LA_22113,2020-01-04,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,4.64,9.08,3.59,11.82,6.54,5.7,,6.97,4.01,,3.8,19.0,6.33,11.4,,,7.6,5.07,3.38,4.22,7.6,3.59,5.49,6.12,,6.33,32.09,4.22,4.43,10.56,,,3.8,3.17,42.01,4.86,10.56,5.7,,4.01,4.43,,13.216049,8.734568,17.111111,7.986889,8.150794,71.497748
US_LA_22113,2020-01-05,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,5.41,12.89,,10.81,9.15,5.2,3.12,7.28,,5.41,3.53,17.46,3.95,10.39,4.78,6.03,8.31,5.41,4.57,5.82,4.37,3.74,4.37,4.57,5.82,7.28,24.74,5.82,3.95,8.94,5.41,4.37,4.57,5.61,43.03,4.57,8.94,5.82,3.74,4.16,3.53,3.33,11.222222,5.58642,18.123457,0.0,6.111111,71.272254
US_LA_22113,2020-01-06,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,6.49,5.47,4.05,10.95,6.28,5.07,5.47,6.89,3.85,4.05,5.68,18.45,4.87,11.76,,5.27,7.09,6.28,5.07,6.28,4.26,7.09,5.68,5.47,5.27,13.79,28.99,5.47,4.26,8.31,3.65,7.7,6.28,7.3,47.44,4.87,7.3,4.87,3.65,5.47,4.26,3.24,14.753086,10.123457,20.777778,0.0,10.642857,77.813618
US_LA_22113,2020-01-07,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,,9.14,,11.01,8.72,6.23,,8.51,4.15,,5.4,17.23,6.02,10.18,6.44,4.36,11.63,5.19,3.94,3.12,5.61,3.74,4.98,,4.36,9.14,26.79,7.27,,7.27,,7.68,3.32,8.93,51.7,2.91,6.02,6.44,5.81,4.15,3.12,3.32,14.246914,9.765432,18.117284,0.0,5.857143,57.689868
US_LA_22113,2020-01-08,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,5.02,9.82,5.02,12.75,8.15,4.39,7.11,6.27,6.69,4.39,3.76,14.0,4.6,9.82,3.13,3.34,7.94,4.39,,5.43,3.55,4.81,4.18,4.18,2.93,8.36,39.5,4.39,4.81,12.96,4.81,5.22,3.97,7.53,45.57,5.43,22.36,6.27,5.64,6.06,,,10.228395,3.777778,17.888889,0.0,2.206349,57.468148
US_LA_22113,2020-01-09,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,3.73,7.47,4.36,13.28,5.81,7.67,4.77,4.36,4.77,,4.77,17.01,4.77,10.58,,4.56,8.71,5.19,5.39,6.01,4.98,3.73,4.36,6.64,,11.62,30.08,6.84,3.11,14.94,,4.77,4.15,5.19,40.24,7.26,14.52,6.22,4.56,6.01,,4.56,16.080247,11.382716,22.123457,0.0,11.81746,75.34336
US_LA_22113,2020-01-10,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,6.32,8.43,4.22,13.7,9.48,7.59,4.0,9.27,4.43,3.58,2.95,12.01,4.64,8.85,4.64,4.43,9.06,4.43,3.37,3.16,3.79,6.32,3.37,6.11,4.0,10.12,30.98,5.69,3.16,5.9,4.43,5.9,5.69,5.48,41.73,4.0,9.06,7.17,4.43,5.9,4.64,4.0,19.950617,17.808642,23.469136,0.0,18.142857,88.340177
US_LA_22113,2020-01-11,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,4.59,6.25,3.96,7.92,5.42,4.38,3.54,3.96,3.34,,3.13,11.05,6.46,7.09,6.46,5.21,9.18,3.75,3.96,6.88,6.46,3.34,5.0,5.0,4.38,7.71,25.86,8.34,,8.13,,,5.21,5.42,37.32,3.75,9.18,5.63,,,,2.92,19.660494,13.907407,22.802469,2.413,17.428571,86.975637
US_LA_22113,2020-01-12,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,3.68,9.19,6.33,11.44,6.74,7.15,3.06,10.62,7.15,,4.08,11.44,3.27,8.78,3.27,6.33,6.94,5.31,6.13,5.31,4.7,4.49,5.92,4.08,4.29,7.55,25.73,5.31,,7.76,2.86,,4.49,4.9,39.41,4.49,10.62,7.76,4.49,5.31,,3.27,10.197531,6.555556,16.691358,13.038667,7.15873,81.511529
US_LA_22113,2020-01-13,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,8.88,10.61,4.63,12.73,5.59,6.37,4.44,7.53,4.44,,4.25,13.51,3.67,8.88,4.82,4.44,9.26,5.4,3.67,5.59,,,4.63,5.4,2.89,10.42,23.15,7.14,4.05,8.3,3.67,5.79,4.25,6.37,46.88,3.47,6.37,6.37,4.05,5.4,,3.28,14.901235,12.006173,18.104938,1.0795,13.785714,92.924929
US_LA_22113,2020-01-14,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,4.26,8.92,3.04,11.96,6.89,8.72,3.65,7.3,7.09,4.66,5.88,15.41,4.87,9.32,3.65,4.66,10.34,5.68,,7.3,3.85,5.88,6.28,5.68,4.26,11.55,28.58,6.89,3.85,7.7,,,7.7,6.08,46.22,,9.32,4.26,7.3,5.27,3.24,4.05,20.358025,16.919753,24.197531,2.652889,19.690476,94.962461
US_LA_22113,2020-01-15,ChIJ6T11TFlFI4YRMErZY0uw4FE,Q507609,geoId/22113,US,United States of America,LA,Louisiana,22113,Vermilion Parish,US,USA,2,,,,,,,59936,29008,30928,8323,8517,7295,7763,7084,8292,6636,3746,2280,1838162,29.81,-92.31,3984,76.45,,,,,5.81,8.51,5.4,14.74,8.3,7.26,6.64,6.23,4.77,,,15.36,4.36,6.64,,5.19,9.55,6.64,3.53,4.36,3.94,6.43,,4.57,4.36,12.66,28.02,6.43,,12.45,4.77,4.98,6.43,4.98,50.23,6.02,9.13,6.02,4.57,4.15,,3.11,20.611111,18.864198,24.209877,0.0,19.547619,92.846055
