location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13177,2020-01-01,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,,10.4,7.8,10.69,4.91,4.62,16.18,11.27,4.62,,4.62,6.07,4.04,6.64,22.25,7.51,6.64,6.64,36.69,7.22,4.04,7.802469,1.283951,15.969136,0.0,0.246032,57.991504
US_GA_13177,2020-01-02,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,7.07,7.07,10.31,5.6,4.42,5.3,18.56,10.02,4.12,9.43,5.6,,6.48,6.19,25.34,6.48,,5.6,40.66,6.48,,13.006173,6.345679,23.024691,0.036286,6.420635,64.645231
US_GA_13177,2020-01-03,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,8.75,10.79,7.88,9.92,5.25,7.58,15.17,11.67,,9.33,,6.12,5.25,7.29,21.29,7.29,6.12,4.08,36.17,6.71,5.54,22.555556,19.154321,26.790123,1.5748,19.365079,82.665022
US_GA_13177,2020-01-04,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,5.57,6.15,11.72,9.38,,,12.3,7.91,,4.98,4.1,,6.74,4.39,23.73,7.62,7.62,7.03,36.33,10.84,4.39,17.481481,13.240741,22.95679,29.972,14.15873,80.673677
US_GA_13177,2020-01-05,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,8.06,10.65,11.81,8.35,5.76,6.33,15.84,7.49,,8.93,,4.32,5.76,6.05,17.85,5.47,5.76,4.9,34.27,6.91,4.9,8.240741,1.487654,14.740741,0.931333,-0.603175,53.697365
US_GA_13177,2020-01-06,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,4.12,7.66,14.43,7.36,,7.95,11.78,8.24,4.71,8.24,7.66,4.42,,8.24,22.67,6.48,5.89,,35.04,5.01,6.77,8.62963,1.660494,19.290123,0.0,3.460317,68.581595
US_GA_13177,2020-01-07,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,7.98,6.8,9.46,7.09,4.73,6.8,14.48,7.98,,10.05,4.73,,,6.5,27.18,4.73,5.91,5.32,42.84,7.39,5.32,11.302469,4.851852,18.302469,0.0,5.920635,69.17626
US_GA_13177,2020-01-08,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,4.95,11.07,6.12,9.61,6.41,,14.85,8.45,,9.61,6.41,,8.45,10.19,38.15,,8.45,8.45,36.69,15.43,6.7,8.401235,-0.358025,17.611111,0.0,-0.761905,51.865828
US_GA_13177,2020-01-09,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,,9.41,10.88,7.64,5.59,,14.41,11.47,4.12,8.53,6.47,,5.0,7.06,39.4,7.35,9.41,6.76,35.29,10.88,,8.444444,-0.098765,20.938272,0.0,2.920635,67.226084
US_GA_13177,2020-01-10,ChIJf1nu6Vdm8ogRqfMtu6VBxFg,Q491508,geoId/13177,US,United States of America,GA,Georgia,13177,Lee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29410,14790,14620,3934,4559,3399,4197,4300,3717,3134,1523,647,1073766,31.78,-84.14,938,77.75,,,,,5.06,6.55,6.84,7.14,5.36,,11.6,5.65,,7.14,5.65,4.46,4.76,8.03,30.65,5.95,5.95,8.33,43.74,7.74,,17.296296,12.376543,24.62963,0.0,12.579365,73.354471
