location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42093,2020-01-01,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,5.57,5.57,8.7,13.57,7.65,,21.57,,34.79,,1.988889,-1.25,7.377778,0.254,,-4.411111,62.921073
US_PA_42093,2020-01-02,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,5.68,5.95,5.14,10.82,11.63,5.14,26.78,5.14,44.1,4.87,0.233333,-5.616667,8.322222,0.0,,-4.611111,70.190889
US_PA_42093,2020-01-03,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,5.31,,4.52,14.08,10.1,6.91,27.63,7.17,36.13,6.11,5.861111,3.927778,7.394444,0.931333,,3.027778,82.337397
US_PA_42093,2020-01-04,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,,9.0,6.0,14.62,10.5,5.62,23.62,6.0,38.63,6.75,7.511111,4.622222,10.716667,6.462889,,6.061111,90.626428
US_PA_42093,2020-01-05,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,7.85,10.71,8.21,12.13,7.5,8.21,17.13,,29.26,6.42,2.933333,0.638889,9.477778,2.413,,-4.388889,58.862648
US_PA_42093,2020-01-06,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,,12.57,7.22,14.18,12.04,9.63,24.87,8.29,34.23,4.81,2.911111,-0.672222,8.45,0.34925,,-4.166667,60.095795
US_PA_42093,2020-01-07,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,5.04,6.05,9.84,13.37,7.57,9.08,24.47,4.54,30.02,6.31,1.122222,-2.4,7.938889,0.22225,64.77,-4.688889,65.437591
US_PA_42093,2020-01-08,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,6.59,10.99,,12.91,9.89,9.06,23.07,6.04,34.06,,-1.5,-6.266667,3.5,4.73075,44.026667,-4.911111,77.660123
US_PA_42093,2020-01-09,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,,8.57,7.79,8.31,8.31,5.46,26.24,3.9,27.8,8.05,-4.466667,-10.105556,1.316667,0.536222,46.566667,-12.222222,54.855142
US_PA_42093,2020-01-10,ChIJgTHtyUJwz4kRXELxvBdMJSc,Q495687,geoId/42093,US,United States of America,PA,Pennsylvania,42093,Montour County,US,USA,2,,,,,,,18270,8819,9451,2050,2006,2074,2371,2019,2639,2393,1488,1230,417445,41.03,-76.66,343,79.375,,,,4.46,9.19,6.56,9.71,9.71,5.51,21.52,7.35,27.56,,0.572222,-8.705556,7.816667,0.0,40.64,-4.594444,68.468785
