location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01005,2020-01-01,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,11.28,9.59,21.44,9.59,26.52,9.59,38.36,,6.907407,0.222222,16.055556,0.0,-0.5625,58.984236
US_AL_01005,2020-01-02,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,14.54,12.53,19.05,9.53,22.56,9.03,36.6,,12.919753,6.135802,20.814815,3.683,5.8125,66.236484
US_AL_01005,2020-01-03,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,9.04,12.56,12.06,20.1,,38.69,,21.746914,16.604938,25.234568,3.429,20.039683,89.438542
US_AL_01005,2020-01-04,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,11.47,,15.29,,18.57,9.28,46.42,,15.055556,11.111111,16.861111,23.9268,10.922222,75.810765
US_AL_01005,2020-01-05,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,8.56,15.98,,25.69,,32.54,9.13,6.953704,-0.027778,15.0,0.338667,-0.788889,57.436588
US_AL_01005,2020-01-06,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,,16.27,8.13,25.36,9.09,43.07,8.13,9.08642,1.049383,19.141975,0.0,4.777778,73.555822
US_AL_01005,2020-01-07,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,9.55,,16.23,14.32,26.25,,33.41,7.64,11.45679,5.895062,17.432099,0.0,5.166667,65.580288
US_AL_01005,2020-01-08,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,6.87,7.33,18.32,9.62,29.3,,30.68,10.07,7.623457,-1.055556,17.45679,0.0,-1.597222,52.385308
US_AL_01005,2020-01-09,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,8.68,17.37,17.37,,19.3,,37.15,7.72,7.938272,0.253086,19.432099,0.0,1.625,65.572111
US_AL_01005,2020-01-10,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,9.89,9.45,18.89,,24.29,,37.78,,18.080247,13.950617,23.271605,0.0,12.951389,71.85731
US_AL_01005,2020-01-11,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,,14.5,11.0,19.0,13.5,41.99,11.5,20.625,17.743056,23.861111,20.211143,17.777778,83.601703
US_AL_01005,2020-01-12,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,14.98,11.65,10.54,,23.86,8.88,42.73,8.88,16.388889,11.777778,21.263889,19.957143,15.198413,91.914309
US_AL_01005,2020-01-13,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,11.83,17.09,8.76,22.35,7.45,38.12,,19.631944,17.083333,22.472222,1.632857,18.992063,95.075216
US_AL_01005,2020-01-14,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,11.73,11.73,,17.38,,46.05,,19.048611,15.416667,23.125,11.030857,17.952381,93.595379
US_AL_01005,2020-01-15,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,16.13,11.65,,21.95,8.96,40.77,8.06,17.298611,13.895833,23.215278,9.434286,16.166667,93.068626
US_AL_01005,2020-01-16,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,,9.95,7.35,24.65,7.78,41.51,6.92,19.388889,16.201389,23.25,0.108857,16.809524,84.998404
US_AL_01005,2020-01-17,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,8.97,7.18,10.77,13.01,18.84,6.73,37.69,6.73,14.861111,10.375,20.743056,0.03175,-0.095238,35.997621
US_AL_01005,2020-01-18,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,11.27,12.88,13.96,10.74,24.16,8.59,43.48,,13.166667,9.034722,19.430556,0.108857,7.079365,66.473672
US_AL_01005,2020-01-19,ChIJtUJfgR1tjYgRAjFO7yq2nuI,Q109437,geoId/01005,US,United States of America,AL,Alabama,01005,Barbour County,US,USA,2,,,,,,,25157,13230,11927,2811,2940,3332,3254,3101,3345,3178,2164,1032,1850797,31.865833,-85.396111,2292,73.971429,,,,,,10.85,13.56,8.68,25.49,,27.66,,13.430556,7.236111,18.166667,4.753429,8.428571,71.229976
