location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28107,2020-01-01,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,6.15,8.88,7.51,,,15.71,,,18.1,5.46,5.81,32.11,6.83,,5.538889,0.25,12.216667,0.0,,-0.95679,62.39113
US_MS_28107,2020-01-02,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,7.02,9.77,7.02,8.24,6.41,15.57,7.63,10.99,23.51,6.11,7.33,39.09,5.19,4.28,10.222222,7.25,13.227778,1.989667,,6.82716,79.199344
US_MS_28107,2020-01-03,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.73,8.83,,,4.42,15.14,9.78,8.2,28.39,4.73,5.36,29.97,6.62,,13.872222,11.166667,15.755556,30.226,,13.530864,97.63974
US_MS_28107,2020-01-04,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,9.38,9.73,5.91,7.3,,11.47,5.91,10.43,26.76,5.21,5.56,39.27,5.21,,8.666667,3.844444,14.511111,3.3655,,4.555556,74.954288
US_MS_28107,2020-01-05,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,10.04,8.31,7.96,,6.23,18.0,5.54,8.65,20.77,7.27,7.62,32.88,6.23,5.19,5.694444,-0.188889,16.583333,0.0,,1.314815,72.096899
US_MS_28107,2020-01-06,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.52,7.47,5.85,,7.47,9.42,10.39,9.75,27.61,4.55,5.85,29.56,6.17,,8.822222,2.627778,16.633333,0.0,,5.407407,77.825092
US_MS_28107,2020-01-07,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,10.68,5.18,6.41,5.18,18.0,7.32,4.88,26.23,4.58,,28.98,5.49,,8.305556,2.466667,14.172222,0.0,,1.740741,62.998222
US_MS_28107,2020-01-08,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,7.17,7.46,6.31,5.74,7.46,9.18,7.46,7.46,24.11,4.59,6.03,31.28,10.33,5.17,6.8,-0.088889,16.716667,0.0,,-1.12963,56.08678
US_MS_28107,2020-01-09,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.02,8.61,6.31,10.61,5.45,16.06,12.05,8.32,22.09,6.88,,34.14,13.2,6.6,10.905556,4.233333,18.216667,0.0,,2.253086,55.076844
US_MS_28107,2020-01-10,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.46,6.01,4.1,,3.82,9.56,7.65,11.2,17.75,3.82,,30.04,5.46,,16.711111,14.661111,19.388889,0.677333,,13.024691,78.596996
US_MS_28107,2020-01-11,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.97,10.18,,,,8.77,6.32,,19.65,,,23.86,6.32,,16.494444,8.855556,22.0,18.753667,,15.432099,93.209558
US_MS_28107,2020-01-12,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,10.05,10.74,,,5.89,7.28,,6.24,24.25,5.2,6.93,32.91,9.35,5.2,5.296296,2.969136,8.358025,35.983333,,3.284722,87.003271
US_MS_28107,2020-01-13,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,8.09,8.09,5.02,,,10.88,10.04,6.13,23.7,6.13,6.69,37.37,,6.69,6.005556,1.75,12.755556,0.084667,,4.654321,89.445828
US_MS_28107,2020-01-14,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.92,7.33,8.46,,,8.46,9.87,12.12,21.14,5.64,6.48,36.92,6.48,,13.683333,9.944444,17.638889,7.656286,,12.777778,94.210247
US_MS_28107,2020-01-15,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.4,9.07,4.95,6.05,,7.42,10.72,8.25,27.22,4.95,7.15,31.07,4.12,5.5,17.577778,14.461111,20.961111,4.717143,,16.9375,96.196068
US_MS_28107,2020-01-16,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,6.92,8.65,5.77,,,11.83,11.54,4.04,21.05,5.19,,29.42,4.62,,13.138889,7.311111,20.061111,8.763,,10.537037,84.201261
US_MS_28107,2020-01-17,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,7.29,5.83,4.96,,9.33,9.91,8.75,28.28,,4.67,23.91,6.71,4.67,7.888889,4.744444,13.45,0.145143,,0.246914,58.452732
US_MS_28107,2020-01-18,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,7.18,8.21,,,,14.37,12.66,6.84,23.94,6.5,7.53,28.39,8.55,,14.494444,9.827778,17.688889,3.513667,,10.018519,74.529668
US_MS_28107,2020-01-19,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,8.72,,6.97,,10.11,5.58,7.67,20.57,6.28,,36.27,,9.41,5.138889,0.594444,13.744444,4.0386,,-5.203704,47.161289
US_MS_28107,2020-01-20,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.8,8.64,5.76,7.36,,15.37,6.72,9.6,18.25,8.64,9.28,34.57,11.2,,-1.038889,-4.105556,4.388889,0.0,,-7.302469,61.79788
US_MS_28107,2020-01-21,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,6.06,10.11,6.06,5.2,,17.04,6.64,10.39,21.37,6.06,6.64,35.8,6.35,6.06,-1.616667,-4.194444,3.3,0.0,,-7.092593,65.891748
US_MS_28107,2020-01-22,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,8.76,4.11,6.02,4.11,16.15,7.12,7.94,27.37,4.93,9.3,33.39,7.39,5.47,0.288889,-3.3,6.372222,0.0,,-5.851852,62.849466
US_MS_28107,2020-01-23,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.86,10.81,5.41,,5.41,14.86,14.86,10.0,35.4,5.95,5.41,30.27,8.65,5.67,4.294444,1.194444,6.444444,1.439333,,0.888889,78.651117
US_MS_28107,2020-01-24,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.84,6.42,5.84,6.42,,23.36,11.68,7.59,31.82,,7.3,29.2,8.47,7.01,5.538889,3.1,7.094444,10.287,,3.938272,89.334355
US_MS_28107,2020-01-25,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,7.0,7.0,5.25,,6.65,14.71,9.46,8.76,29.77,,9.46,39.92,,5.25,5.144444,2.244444,9.45,0.1778,,0.580247,71.915558
US_MS_28107,2020-01-26,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,8.27,10.11,7.35,6.43,4.9,23.58,10.72,5.82,29.7,4.29,,33.69,7.66,,7.083333,3.666667,10.816667,0.254,,5.222222,86.861141
US_MS_28107,2020-01-27,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.99,12.2,9.43,5.82,5.54,14.97,11.92,10.26,27.44,,5.27,29.94,,6.65,10.011111,6.844444,14.677778,0.47625,,7.561728,84.70631
US_MS_28107,2020-01-28,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,11.22,7.85,6.45,,14.86,11.5,7.57,50.47,,5.05,28.6,31.96,,7.227778,1.344444,14.544444,0.0254,,4.54321,81.994323
US_MS_28107,2020-01-29,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,8.08,8.35,5.12,3.77,19.4,6.74,6.74,41.22,,7.0,26.94,21.82,4.58,8.894444,5.594444,13.372222,0.471714,,6.320988,84.184546
US_MS_28107,2020-01-30,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.44,9.17,5.28,5.28,5.0,27.78,5.28,9.44,17.78,,6.39,26.66,4.72,11.11,6.116667,4.35,9.366667,0.1524,,4.691358,90.941414
US_MS_28107,2020-01-31,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,7.29,3.93,,5.33,23.84,9.26,7.29,29.73,,,29.17,5.05,5.33,6.666667,4.605556,8.655556,0.889,,5.845679,93.650935
US_MS_28107,2020-02-01,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,10.27,7.18,,8.21,19.84,9.24,7.87,25.32,5.13,6.5,31.14,,5.82,7.716667,5.261111,11.527778,0.9652,,4.604938,80.644331
US_MS_28107,2020-02-02,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,7.41,5.73,,6.74,20.21,,9.77,24.59,5.05,9.09,28.96,,,10.783333,3.755556,20.955556,0.0,,2.728395,56.658143
US_MS_28107,2020-02-03,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.8,8.01,,4.42,3.87,17.96,9.12,10.5,26.8,,6.91,33.44,4.7,3.87,14.555556,8.861111,20.627778,0.0,,7.41358,62.727616
US_MS_28107,2020-02-04,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.4,8.37,4.86,3.78,4.59,13.23,10.26,7.29,23.5,7.83,7.56,34.03,,,16.827778,13.905556,19.372222,0.465667,,14.160494,84.457758
US_MS_28107,2020-02-05,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,4.76,10.31,3.7,,,14.01,9.78,6.87,25.38,3.7,5.82,30.13,,,11.072222,6.9,17.638889,19.304,,10.598765,97.068516
US_MS_28107,2020-02-06,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.78,6.57,8.94,4.73,4.47,17.09,7.1,9.46,19.98,9.2,5.52,26.55,,6.05,4.288889,2.644444,8.05,13.244286,,3.32716,93.114847
US_MS_28107,2020-02-07,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,6.22,7.07,8.77,,4.24,15.27,8.77,6.5,24.03,,7.07,26.86,4.24,7.35,2.666667,-0.011111,7.85,3.937,,-1.5,73.562077
US_MS_28107,2020-02-08,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.61,6.31,5.96,5.25,8.41,19.97,9.81,8.06,19.27,5.61,,33.63,,,5.983333,0.25,12.622222,0.0762,,0.12963,64.9281
US_MS_28107,2020-02-09,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,7.41,5.05,,,16.83,11.44,8.08,23.23,5.05,6.39,34.33,,,10.333333,2.827778,20.427778,0.0,,3.734568,62.31602
US_MS_28107,2020-02-10,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.22,7.57,8.35,,3.65,15.13,3.91,6.52,26.09,6.0,5.48,26.35,6.78,,14.583333,10.316667,17.811111,8.974667,,12.975309,89.695048
US_MS_28107,2020-02-11,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,8.59,9.39,5.37,7.51,5.1,13.69,7.25,8.86,23.35,6.44,5.91,35.43,8.59,7.78,7.322222,4.561111,12.9,42.841333,,6.407407,93.716895
US_MS_28107,2020-02-12,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,7.25,9.84,6.99,,4.4,14.24,7.77,9.06,25.12,3.88,5.18,26.42,6.22,3.63,7.283333,5.172222,13.638889,7.493,,6.524691,94.431938
US_MS_28107,2020-02-13,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,5.84,10.1,4.78,4.52,3.98,16.47,8.77,10.1,25.24,6.11,5.84,27.63,3.72,,6.727778,4.472222,10.333333,22.787429,,4.62963,86.19036
US_MS_28107,2020-02-14,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,,,,,,,8.62,4.45,4.45,5.84,10.85,7.79,5.56,24.75,,5.84,30.04,3.89,4.73,0.516667,-3.983333,6.227778,0.4572,,-5.067901,65.855731
