location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45071,2020-01-11,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,6.03,9.2,,8.25,8.88,7.93,,,12.69,9.52,4.76,7.93,,,6.03,,4.76,6.98,27.91,8.56,6.66,,4.44,6.03,34.25,4.44,9.2,6.98,4.44,5.71,16.816667,12.316667,21.766667,0.3175,,15.537037,92.096806
US_SC_45071,2020-01-12,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,5.7,8.23,4.43,9.18,8.23,5.07,6.65,4.43,11.08,5.38,5.38,11.08,4.43,6.33,4.43,,,8.23,23.74,,6.96,,,7.6,50.97,,6.01,7.28,5.7,4.43,18.188889,14.211111,21.716667,6.1976,,15.734568,85.672638
US_SC_45071,2020-01-13,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,5.68,6.82,,5.97,7.11,6.82,8.24,7.96,15.35,3.98,4.55,12.79,4.55,4.83,7.39,,7.96,5.4,25.58,5.12,7.96,5.4,6.54,5.12,47.47,,5.4,5.97,4.83,5.4,17.2,15.866667,19.05,21.2852,,16.592593,96.203735
US_SC_45071,2020-01-14,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,4.75,8.01,,5.05,10.69,6.23,6.53,5.05,12.76,12.76,,10.09,,4.75,,4.16,7.12,8.01,24.34,6.53,10.39,4.16,6.23,4.45,47.49,,9.5,7.12,5.94,,17.583333,15.927778,19.522222,12.8016,,16.765432,95.21958
US_SC_45071,2020-01-15,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,7.45,,10.88,8.59,7.73,7.45,4.01,14.6,11.17,5.44,15.18,5.15,,4.58,6.01,6.87,14.6,28.35,9.45,9.16,5.15,6.87,7.45,48.11,8.59,8.3,5.15,6.3,,17.005556,13.777778,22.611111,0.03175,,14.777778,87.230436
US_SC_45071,2020-01-16,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,4.4,9.38,,10.55,5.28,6.74,7.04,4.69,16.12,10.26,,9.38,5.57,7.91,6.74,5.57,4.69,13.48,27.26,10.55,12.31,,5.28,6.45,43.38,4.4,10.26,5.86,4.4,7.04,18.033333,13.822222,21.466667,1.651,,11.222222,64.994312
US_SC_45071,2020-01-17,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,5.09,9.29,5.09,10.49,6.29,5.69,5.69,,12.29,11.39,,8.99,5.09,6.29,5.69,5.69,,10.79,23.67,7.49,6.59,6.29,4.49,5.69,39.25,,4.79,,5.99,7.79,8.283333,4.344444,14.483333,0.0,,-6.604938,34.674084
US_SC_45071,2020-01-18,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,6.98,4.76,7.3,5.08,7.94,,4.44,17.78,13.02,,14.6,,,4.76,4.76,,7.62,25.71,,7.3,,6.98,,43.49,,4.76,5.71,11.11,5.4,5.844444,2.466667,11.555556,0.0,,-1.666667,59.657313
US_SC_45071,2020-01-19,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,6.02,9.51,,8.24,8.55,5.7,6.97,,16.48,10.46,5.07,10.46,,6.02,6.34,7.61,6.97,7.92,23.13,5.7,9.19,5.7,6.97,4.44,44.99,5.07,7.92,7.92,5.7,7.61,9.666667,3.866667,13.427778,2.3368,,4.530864,71.098054
US_SC_45071,2020-01-20,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,5.94,5.35,,13.67,6.24,8.32,7.13,7.43,16.05,13.37,4.75,11.29,4.46,6.24,5.94,4.16,4.75,14.56,23.78,8.62,9.51,4.16,,4.46,46.06,6.24,10.11,10.7,,5.05,2.322222,-2.133333,9.1,0.254,,-7.037037,50.902227
