location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42131,2020-01-01,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,8.34,9.1,9.85,,,16.67,13.26,5.68,,,9.85,26.53,6.82,8.72,12.88,39.79,6.82,5.3,-0.092593,-2.240741,4.740741,0.479778,,-5.305556,67.816904
US_PA_42131,2020-01-02,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,6.96,10.8,6.62,8.01,8.36,13.23,10.45,9.75,5.92,,6.96,96.81,5.22,6.96,,47.71,9.05,27.51,-0.205556,-6.383333,7.433333,0.0508,,-5.493827,67.24952
US_PA_42131,2020-01-03,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,5.57,6.61,10.44,5.57,8.7,,23.66,13.92,8.0,,,7.66,56.02,7.31,5.57,4.87,44.19,10.79,16.7,4.977778,1.144444,7.233333,0.366889,,1.395062,77.37789
US_PA_42131,2020-01-04,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,12.84,7.93,10.57,8.69,,8.31,22.28,14.35,10.2,11.71,6.8,7.55,33.23,,5.29,,47.96,8.69,8.69,5.266667,1.638889,8.094444,5.983111,,4.54321,93.652727
US_PA_42131,2020-01-05,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,8.87,10.79,11.57,6.94,6.55,9.25,18.5,10.02,7.33,6.55,,8.48,26.99,10.02,5.78,7.33,47.03,7.71,11.57,0.344444,-0.933333,6.283333,4.007556,,-4.722222,68.75541
US_PA_42131,2020-01-06,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,5.24,8.04,10.84,8.74,5.94,10.14,21.32,14.33,5.59,6.99,,8.39,25.86,7.69,11.19,5.94,47.54,7.34,9.79,0.344444,-2.533333,4.477778,1.27,50.8,-4.154321,71.595973
US_PA_42131,2020-01-07,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,6.29,14.32,,,5.24,22.7,12.57,11.52,,,10.13,27.93,6.98,9.78,8.73,44.7,9.08,8.73,-0.394444,-4.266667,4.377778,0.8382,37.253333,-5.537037,67.109665
US_PA_42131,2020-01-08,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,6.64,9.59,10.7,11.8,8.12,,15.86,9.96,15.12,5.9,,10.33,32.46,7.38,8.12,8.12,39.84,10.33,6.27,-2.283333,-6.311111,1.561111,1.552222,40.64,-5.790123,76.498391
US_PA_42131,2020-01-09,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,8.44,9.84,10.9,,5.27,18.98,7.74,10.55,5.62,,7.74,33.05,6.68,5.27,,35.16,8.44,5.27,-6.611111,-11.65,0.0,0.790222,64.77,-13.222222,58.928151
US_PA_42131,2020-01-10,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,6.71,5.3,6.36,4.95,6.01,4.95,16.26,8.84,12.37,6.71,7.78,4.95,22.97,8.84,,6.01,41.35,7.07,,-0.177778,-10.0,5.527778,0.338667,50.8,-5.67284,66.453038
US_PA_42131,2020-01-11,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,6.81,6.41,14.41,8.81,,6.0,18.42,14.01,7.61,,7.21,,25.62,9.61,7.61,,48.44,9.21,9.61,10.044444,-0.738889,16.711111,0.479778,40.64,7.141975,82.0238
US_PA_42131,2020-01-12,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,9.19,13.19,11.99,7.2,11.99,11.19,10.79,9.59,8.0,,6.4,25.58,,6.79,,46.37,8.39,6.4,13.261111,1.922222,18.022222,7.0866,,7.728395,68.639212
US_PA_42131,2020-01-13,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,10.45,11.53,10.45,6.85,6.13,15.49,6.49,13.33,5.41,7.21,10.09,27.75,8.29,5.76,6.49,39.28,6.85,7.57,1.45,-1.788889,6.4,3.5814,,-1.907407,78.349835
US_PA_42131,2020-01-14,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,5.72,9.65,6.08,,6.79,18.23,10.73,9.3,,6.44,8.94,28.6,9.65,8.22,10.73,35.4,12.16,6.08,1.788889,-2.488889,6.344444,0.0,,-0.395062,86.072197
US_PA_42131,2020-01-15,ChIJGbuKoyxaxYkRI_PJrM3FqZg,Q495677,geoId/42131,US,United States of America,PA,Pennsylvania,42131,Wyoming County,US,USA,2,,,,,,,27396,13777,13619,2793,3295,3204,2936,3287,4144,3958,2583,1196,417773,41.52,-76.02,405,79.385714,,,,,,7.2,7.92,7.92,,5.76,16.55,11.15,8.28,,,7.2,29.14,6.84,7.2,7.55,37.78,10.07,8.28,4.105556,-1.972222,7.5,0.2794,,0.209877,75.615002
