location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01001,2020-01-01,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,3.97,5.96,3.05,7.81,5.3,3.71,,2.25,5.56,3.05,2.25,1.85,11.39,3.71,6.22,4.11,3.31,2.12,7.02,2.91,2.91,4.77,3.31,4.11,3.18,4.24,2.78,5.17,14.83,4.11,2.65,5.83,4.63,,3.18,2.12,4.77,34.04,2.25,4.11,,3.58,3.44,3.97,2.12,2.25,1.85,,5.694444,-0.755556,14.261111,0.0,-1.175926,60.201333
US_AL_01001,2020-01-02,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.68,3.75,6.69,3.75,7.49,5.22,4.42,2.14,2.94,5.62,4.95,2.41,3.75,10.57,,7.76,2.54,5.35,3.35,7.09,4.15,3.35,3.35,3.35,2.94,3.61,3.08,2.81,9.9,19.27,3.88,3.21,7.63,3.35,3.08,2.81,2.94,5.62,35.72,5.22,6.02,2.27,4.01,4.82,4.01,,2.68,2.01,2.68,11.027778,5.483333,18.011111,1.411111,7.444444,78.646561
US_AL_01001,2020-01-03,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,1.99,3.98,7.3,3.05,6.11,5.97,3.72,1.86,2.65,5.71,3.32,,3.05,12.88,,8.1,2.65,3.85,,6.11,5.44,2.52,2.79,2.26,3.98,2.79,2.79,3.45,8.36,20.18,5.71,2.26,6.37,4.78,3.72,3.85,,5.31,31.33,3.05,5.84,,3.45,3.45,5.84,,2.39,3.85,2.26,18.288889,13.555556,21.7,28.843111,17.083333,91.58695
US_AL_01001,2020-01-04,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.0,3.21,9.48,2.67,6.81,5.88,4.67,,2.14,2.4,4.81,2.27,3.07,10.02,2.54,6.14,2.67,3.34,2.14,6.14,3.87,2.54,5.08,3.47,2.0,,5.34,,3.74,16.03,5.61,2.4,6.28,2.4,3.74,3.07,,4.94,31.52,2.94,5.34,2.54,6.14,3.74,3.74,2.14,3.74,2.4,2.4,13.816667,9.322222,17.055556,12.417778,9.425926,73.917501
US_AL_01001,2020-01-05,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.32,4.91,4.78,1.91,8.87,5.6,2.73,2.59,,3.82,4.09,3.55,2.05,13.79,4.5,10.1,3.82,2.73,,5.46,4.64,1.91,4.78,4.37,3.55,4.09,4.09,3.28,5.19,19.93,4.91,2.46,4.37,2.18,2.05,4.09,1.91,4.09,34.13,3.96,4.37,2.46,4.09,2.87,4.91,3.28,2.59,4.09,2.46,5.961111,-1.4,14.605556,0.1524,-1.444444,58.129738
US_AL_01001,2020-01-06,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,3.79,6.62,,10.28,7.3,5.54,1.89,3.11,5.54,2.84,2.84,3.25,9.87,2.7,7.57,3.38,4.19,,5.68,2.3,,4.6,3.11,2.98,4.06,3.65,2.98,7.57,21.77,5.14,2.03,6.9,3.52,3.25,3.79,,6.49,37.72,3.79,5.0,2.43,5.81,2.7,4.46,4.46,2.7,2.57,2.57,7.827778,0.916667,18.655556,0.0,3.416667,73.749495
US_AL_01001,2020-01-07,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,1.88,3.89,7.91,2.28,6.57,7.51,4.7,1.88,2.95,4.7,3.89,2.82,3.89,11.54,4.43,7.38,3.62,2.95,,5.5,4.83,2.55,4.96,2.55,4.56,3.62,4.96,3.49,7.11,19.05,5.23,4.02,6.3,2.28,4.7,4.56,2.28,6.3,38.63,3.76,6.3,,4.02,4.43,4.56,2.42,3.49,2.82,,11.916667,7.766667,15.844444,0.0508,4.101852,58.499641
US_AL_01001,2020-01-08,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,2.6,6.58,,10.14,5.48,4.52,,3.7,4.38,4.25,2.74,2.47,12.6,,6.44,2.74,3.29,1.92,5.89,2.88,2.47,3.83,2.88,5.62,4.11,4.25,3.01,8.9,25.2,4.25,,6.3,2.88,3.7,3.29,2.19,5.48,33.83,3.83,11.37,2.88,6.3,4.52,4.66,3.29,2.6,3.42,3.29,7.044444,-1.322222,17.544444,0.0,-2.555556,49.957307
US_AL_01001,2020-01-09,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.03,4.33,4.19,3.38,7.3,6.49,4.19,2.16,2.16,4.46,4.06,2.43,3.25,11.09,2.98,6.49,2.43,3.79,2.43,5.0,4.6,2.16,5.68,,3.65,3.11,2.43,,7.84,27.99,4.6,2.84,5.68,2.3,3.25,3.52,2.57,5.0,41.78,4.06,12.85,1.89,3.79,2.7,5.14,2.43,,3.38,2.03,7.855556,-0.105556,19.144444,0.0,0.925926,60.773347
US_AL_01001,2020-01-10,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.77,5.42,4.36,3.3,7.13,7.0,4.23,,,3.7,2.64,3.96,,9.38,3.7,3.57,1.98,2.77,2.38,7.4,2.38,,3.43,2.51,5.02,2.38,4.23,4.75,7.79,18.75,4.62,,5.28,1.98,3.43,4.36,,4.49,35.13,3.96,6.21,1.85,4.09,4.36,2.9,3.04,2.77,2.11,1.85,17.6,14.422222,23.166667,0.0,11.194444,65.446489
US_AL_01001,2020-01-11,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.13,3.76,7.64,3.13,5.51,5.63,4.38,,2.38,5.88,4.01,2.38,,11.02,4.01,5.01,3.38,2.5,2.25,6.13,3.5,,4.76,2.63,3.38,2.88,2.25,2.63,5.76,16.65,5.01,2.38,4.01,3.63,3.0,2.75,2.13,4.88,32.8,3.5,7.01,,4.76,2.5,2.88,,2.75,4.13,2.25,20.561111,17.405556,23.522222,4.092222,16.990741,79.492023
US_AL_01001,2020-01-12,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.53,4.66,6.92,2.0,5.06,7.06,4.0,,2.66,5.06,2.66,2.66,,12.12,4.0,5.19,3.06,4.0,,5.46,4.93,2.53,2.0,4.13,3.33,5.99,3.33,2.8,7.19,17.31,5.06,3.46,5.33,2.26,3.2,3.6,2.8,5.59,32.76,4.26,6.53,,5.59,3.2,4.66,2.26,2.93,3.73,2.13,14.2,8.177778,19.566667,16.1544,11.777778,83.538708
US_AL_01001,2020-01-13,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,3.56,7.23,2.57,7.11,7.11,4.29,2.08,1.96,6.13,3.43,3.68,2.94,10.3,1.84,6.62,4.54,5.03,1.72,7.48,3.19,1.84,4.41,3.31,4.04,3.56,3.92,2.45,6.99,18.51,4.17,3.19,4.17,1.72,4.04,4.04,,5.88,39.84,2.94,6.25,2.57,5.39,3.68,4.66,,3.68,3.56,,16.672222,13.483333,19.627778,9.962444,15.472222,91.360111
US_AL_01001,2020-01-14,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,4.26,6.26,1.75,8.26,7.38,4.26,,3.13,4.88,2.25,2.88,,12.14,,6.51,2.63,4.76,1.75,8.64,3.25,3.13,4.13,2.88,3.88,3.0,3.75,3.13,8.14,21.53,5.38,,5.51,1.75,4.13,4.63,,5.13,43.81,2.5,6.26,5.38,5.01,4.51,3.5,2.88,,3.38,,18.805556,16.588889,21.277778,34.177111,17.925926,94.238115
US_AL_01001,2020-01-15,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.72,3.24,6.61,2.46,7.65,6.61,4.41,,2.46,4.67,3.37,3.37,1.81,10.63,,5.83,2.72,4.41,,9.07,2.98,3.37,5.45,3.11,3.37,3.89,3.63,2.46,8.69,17.76,3.63,3.11,4.93,3.5,4.15,5.58,2.07,5.32,40.71,2.2,3.37,2.2,4.67,4.8,4.28,,2.59,3.24,,16.955556,12.694444,21.344444,24.214667,15.814815,91.542274
US_AL_01001,2020-01-16,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,4.23,5.69,3.31,9.26,8.6,4.76,,4.37,4.76,1.85,2.91,1.85,11.25,,5.16,2.78,3.31,2.65,8.47,4.1,3.57,3.97,3.71,3.71,4.37,3.71,2.65,9.39,22.23,4.63,2.51,6.35,2.12,3.84,4.76,,7.28,41.15,2.78,6.75,2.51,4.37,3.44,4.37,1.99,3.18,3.31,,18.211111,15.1,20.75,0.508,13.25,73.32261
US_AL_01001,2020-01-17,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.24,4.62,7.39,3.3,8.31,7.92,5.67,2.64,4.35,3.96,4.88,2.77,,9.1,3.03,5.54,2.51,5.01,,7.52,3.3,,3.3,4.49,4.09,2.77,3.56,2.64,6.6,18.86,3.3,1.85,3.69,2.24,3.3,2.64,4.09,4.75,42.08,2.9,4.62,2.24,3.83,5.14,4.35,2.11,2.64,3.43,,14.177778,9.627778,20.833333,0.282222,-2.435185,31.963765
US_AL_01001,2020-01-18,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,4.35,4.63,,6.8,5.71,4.9,1.91,2.45,5.17,2.31,2.72,2.45,8.16,3.13,6.8,,2.99,3.13,6.26,3.67,3.4,3.13,3.27,2.58,3.81,3.95,2.58,5.71,18.78,5.58,,5.44,2.45,3.95,4.08,2.04,3.67,32.79,2.58,5.99,,3.27,3.13,3.67,2.99,1.91,3.54,,13.277778,10.327778,17.544444,0.0,4.842593,56.612429
