location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39175,2020-01-01,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,8.78,7.11,7.52,,18.81,,8.78,27.17,7.11,6.27,35.11,6.69,,0.005556,-2.35,4.6,0.592667,,-3.472222,77.638686
US_OH_39175,2020-01-02,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,6.69,10.78,8.55,,17.47,,9.66,28.61,,7.8,39.02,12.63,,4.35,-0.966667,9.388889,0.0,,-1.216667,67.299613
US_OH_39175,2020-01-03,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,11.04,11.04,4.98,,17.8,7.83,6.76,30.97,7.48,6.76,35.25,,6.05,7.294444,4.161111,8.788889,2.003778,,6.12963,92.168706
US_OH_39175,2020-01-04,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,9.6,10.44,8.77,,17.54,,,25.89,7.1,7.1,41.75,,10.44,3.038889,0.022222,7.333333,2.38125,,1.765432,90.759859
US_OH_39175,2020-01-05,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,10.66,7.67,,,16.62,11.51,,28.56,8.53,8.1,33.68,,8.1,0.155556,-1.477778,4.222222,0.225778,,-3.67284,75.156267
US_OH_39175,2020-01-06,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,,9.44,7.08,7.75,17.53,8.77,4.72,22.59,8.09,,38.77,5.73,5.06,2.555556,-1.388889,5.066667,0.0,,-2.094444,71.746984
US_OH_39175,2020-01-07,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,5.93,8.9,6.59,,12.52,8.24,11.21,20.76,9.56,6.92,38.89,7.58,4.94,0.905556,-3.422222,6.127778,0.0,,-4.727778,66.289557
US_OH_39175,2020-01-08,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,6.0,9.0,4.67,5.67,9.0,8.66,4.67,28.66,7.66,4.67,31.99,12.0,,-1.172222,-5.566667,4.238889,0.0,,-7.077778,64.324146
US_OH_39175,2020-01-09,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,6.76,5.41,6.76,5.07,14.87,6.42,6.42,30.07,6.08,5.07,29.06,8.45,5.41,-1.583333,-7.255556,8.294444,0.0254,,-7.988889,61.823661
US_OH_39175,2020-01-10,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,4.58,7.53,7.2,,7.86,6.87,7.2,22.59,,6.87,29.13,5.57,,8.533333,6.1,11.088889,6.7945,,4.377778,75.64153
US_OH_39175,2020-01-11,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,,8.38,7.54,,7.54,,,25.14,,10.06,38.13,10.47,,12.755556,6.516667,17.55,10.25525,,10.092593,84.040997
US_OH_39175,2020-01-12,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,8.56,12.85,,,14.13,9.42,9.85,29.11,,10.7,45.39,9.42,8.56,2.866667,-0.338889,9.822222,11.3665,,0.679012,86.009341
US_OH_39175,2020-01-13,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,5.75,10.16,,4.74,12.19,7.11,10.16,26.41,5.42,5.42,37.92,5.75,6.09,3.016667,0.577778,4.661111,0.620889,,0.677778,84.798578
US_OH_39175,2020-01-14,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,,10.39,,5.2,14.89,9.7,8.66,21.82,4.85,5.54,35.32,7.62,7.62,2.75,-0.605556,7.205556,0.0,,0.648148,85.946146
US_OH_39175,2020-01-15,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,7.92,9.98,,,12.05,6.54,5.51,25.81,5.51,6.88,38.89,8.26,6.54,2.744444,-0.683333,7.5,0.0,,1.67284,92.467309
US_OH_39175,2020-01-16,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,,8.77,8.77,6.07,8.77,7.76,7.76,26.99,4.72,10.8,34.07,,,1.911111,-3.233333,7.055556,0.2032,,-1.638889,77.34999
US_OH_39175,2020-01-17,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,7.96,6.92,5.54,,18.34,7.96,10.38,23.19,5.19,5.54,32.19,5.19,,-4.305556,-7.033333,0.572222,0.0,,-9.083333,69.65676
US_OH_39175,2020-01-18,ChIJLSjq3DFEOYgRUmCEnLRKoHg,Q403319,geoId/39175,US,United States of America,OH,Ohio,39175,Wyandot County,US,USA,2,,,,,,,22063,10968,11095,2671,2844,2440,2605,2666,3142,2843,1725,1127,911296,40.85,-83.3,1056,80.733333,,,,,,7.65,,7.22,,8.5,,,24.64,,,36.97,8.5,,0.261111,-4.977778,6.066667,6.0325,,-2.616667,81.261392
