location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AR_05057,2020-01-01,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,,15.36,13.44,20.48,12.16,38.4,,4.277778,-0.265432,11.111111,0.0,-1.395062,67.1364
US_AR_05057,2020-01-02,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,,14.98,,28.8,,28.23,9.79,10.611111,8.592593,13.993827,1.0795,6.648148,76.63301
US_AR_05057,2020-01-03,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,10.46,19.17,8.71,23.82,,48.22,12.2,13.790123,11.395062,17.179012,9.62025,11.876543,88.249142
US_AR_05057,2020-01-04,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,11.42,19.04,,24.12,,40.62,,7.740741,1.617284,13.580247,0.22225,-0.104167,58.417653
US_AR_05057,2020-01-05,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,10.65,18.17,,25.69,9.4,31.96,,6.790123,-1.0,20.333333,0.0,0.487654,64.642272
US_AR_05057,2020-01-06,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,10.08,13.61,,28.22,8.06,38.3,,8.697531,1.512346,17.425926,0.0,3.154321,68.446566
US_AR_05057,2020-01-07,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,,12.78,10.41,25.56,9.46,33.6,,8.092593,0.487654,16.444444,0.0,-1.04321,52.798648
US_AR_05057,2020-01-08,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,11.11,16.0,10.22,29.79,7.56,30.68,15.56,6.320988,-1.845679,18.191358,0.0,-2.0,55.980056
US_AR_05057,2020-01-09,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,,9.95,9.95,20.33,7.35,32.0,11.24,12.055556,8.094444,17.588889,0.0,5.9,66.669473
US_AR_05057,2020-01-10,ChIJsRNK65CBM4YRCGzUaS34WMU,Q61355,geoId/05057,US,United States of America,AR,Arkansas,05057,Hempstead County,US,USA,2,,,,,,,21876,10509,11367,3205,2956,2495,2398,2465,3030,2619,1739,969,1826822,33.7353,-93.66844,106,1920,76.72,,,,,10.28,17.27,11.1,19.33,,20.15,,18.35,16.45,21.594444,1.93675,15.728395,83.741256
