location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51001,2020-01-11,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,7.13,10.7,9.91,7.53,6.34,11.89,12.29,7.53,10.7,6.34,,,5.95,,19.82,5.95,7.13,6.74,7.53,39.24,7.53,,14.631944,10.722222,19.173611,0.0,,11.083333,73.49933
US_VA_51001,2020-01-12,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,5.85,14.81,7.79,,9.74,16.37,10.52,,,,5.46,6.24,7.01,28.06,8.57,8.96,,8.57,35.47,5.46,,17.611111,11.902778,20.625,0.362857,,13.013889,71.320173
US_VA_51001,2020-01-13,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,4.22,6.03,11.15,11.75,8.14,4.82,16.57,8.14,5.73,9.34,4.22,,,9.95,20.49,6.03,7.53,,6.63,40.38,9.95,7.53,11.444444,8.868056,16.743056,0.254,,8.5,81.504279
US_VA_51001,2020-01-14,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,7.15,11.62,8.94,7.15,,11.62,8.34,7.15,8.94,10.73,,,5.07,18.77,8.05,6.85,4.47,,42.32,6.85,5.66,9.888889,8.611111,12.645833,2.54,,8.722222,91.819769
US_VA_51001,2020-01-15,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,4.79,5.38,10.17,5.08,5.38,7.48,16.45,11.07,5.38,8.97,7.18,,4.19,8.97,23.63,4.19,5.08,,,41.88,,7.78,9.041667,6.958333,11.9375,5.969,,7.763889,89.194425
US_VA_51001,2020-01-16,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,8.97,6.19,8.97,5.88,6.81,5.57,11.45,9.9,7.12,10.83,5.88,,,7.43,22.9,7.74,4.95,,4.95,36.51,4.95,11.14,11.298611,7.354167,14.833333,0.0,,4.180556,61.53632
US_VA_51001,2020-01-17,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,4.4,7.24,9.12,5.98,5.35,4.4,13.53,8.81,,9.75,4.72,5.35,6.61,5.66,18.56,4.72,7.87,,6.61,37.12,5.03,,3.034722,-0.076389,8.375,0.0,,-8.583333,42.468211
US_VA_51001,2020-01-18,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,10.1,10.1,8.97,6.73,5.61,12.34,8.6,,7.11,,,,11.22,19.45,5.98,7.11,,,40.76,7.48,7.11,0.638889,-3.180556,6.597222,0.036286,,-6.375,60.764034
US_VA_51001,2020-01-19,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,5.21,5.58,8.93,5.21,5.58,6.33,14.51,10.04,6.33,11.9,7.44,,5.58,9.3,23.44,6.7,,,,45.02,6.33,,7.645833,1.284722,10.3125,3.592286,,2.486111,69.947832
US_VA_51001,2020-01-20,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,8.25,11.63,9.0,,,14.26,11.63,5.25,18.01,,7.5,,7.88,26.64,8.63,9.38,,9.38,34.14,9.0,,-0.416667,-2.715278,3.555556,0.0635,,-10.041667,48.44462
US_VA_51001,2020-01-21,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,7.14,7.77,5.59,7.77,,18.33,9.94,,5.9,,4.66,6.52,7.14,23.92,7.14,4.35,6.21,5.59,43.8,6.21,6.83,-1.715278,-4.645833,1.784722,0.0,,-11.680556,46.373672
US_VA_51001,2020-01-22,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,8.41,6.54,9.03,7.16,6.54,16.51,4.98,,9.34,,4.67,7.79,9.34,25.85,4.67,7.79,8.72,,39.24,6.85,5.92,-0.5,-3.888889,4.277778,0.0,,-7.569444,58.698049
US_VA_51001,2020-01-23,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,6.51,,8.68,6.15,5.42,6.15,19.53,9.4,5.79,7.59,6.15,,,9.04,31.83,7.23,7.59,5.79,9.04,35.8,7.59,7.96,2.090278,-2.354167,7.298611,0.0,,-2.722222,74.731026
