location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48497,2020-01-11,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.9,6.49,7.69,2.56,13.16,3.25,5.3,3.93,2.73,2.39,5.13,3.59,,4.1,,3.93,13.16,3.76,8.89,4.1,,4.79,,9.91,3.59,2.56,3.08,5.64,4.96,,3.25,,4.96,2.56,6.83,23.75,6.32,2.39,6.83,3.59,3.76,3.42,3.25,,2.9,37.59,2.56,,2.39,,8.89,2.39,,6.15,5.81,3.25,3.08,,2.56,3.25,4.522222,-1.45,16.975309,33.5788,,1.455556,80.692638
US_TX_48497,2020-01-12,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,3.41,4.43,10.06,4.09,13.13,2.73,7.84,6.31,2.39,3.41,6.65,4.43,3.24,,,,16.71,2.39,9.89,4.78,4.43,3.24,5.29,7.67,2.73,2.9,3.24,7.16,7.16,2.39,5.12,5.8,5.12,3.41,8.7,27.29,5.8,2.73,8.36,3.75,4.78,3.58,,2.56,5.63,41.61,2.56,2.39,,4.6,9.21,2.39,,5.97,2.56,4.78,3.92,,3.58,2.39,4.394444,-0.583333,14.65,2.4892,,0.477778,76.144171
US_TX_48497,2020-01-13,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,1.82,5.08,7.3,4.95,10.81,,8.6,5.08,,2.74,7.04,5.73,2.21,3.39,,2.21,14.33,3.39,8.34,3.78,2.61,4.69,1.95,9.77,3.0,4.17,,4.43,4.82,,5.21,5.86,6.25,3.78,10.29,23.84,7.56,4.82,8.47,2.48,5.21,5.21,3.13,,6.51,42.61,,,2.74,2.35,6.91,4.04,3.39,4.17,4.04,5.21,,2.74,,,9.622222,4.15,16.761111,0.0,,7.005556,84.306999
US_TX_48497,2020-01-14,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.17,4.47,8.27,2.03,10.85,2.17,7.46,7.32,2.85,2.17,5.02,3.93,,3.12,2.98,2.58,13.56,4.34,9.22,2.85,3.39,3.53,3.12,10.44,4.88,3.39,3.66,6.64,4.61,,3.8,5.02,4.88,2.31,11.26,25.36,8.14,4.34,6.37,4.07,4.61,5.97,2.85,3.39,4.88,38.65,2.17,2.17,2.58,2.85,6.64,2.71,4.47,3.66,3.93,4.34,2.58,3.53,3.53,,15.833333,12.627778,22.522222,0.0,,13.072222,83.932566
US_TX_48497,2020-01-15,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.54,4.94,8.81,3.2,8.94,2.54,8.28,5.47,,4.94,5.74,5.61,2.0,2.94,,2.94,12.01,4.14,7.34,2.27,2.27,5.34,,8.68,4.67,4.41,2.67,5.74,5.21,2.8,4.54,2.8,3.07,3.2,7.08,28.17,5.61,4.27,6.41,2.67,6.01,4.0,2.54,2.67,8.41,37.11,,,3.47,2.0,7.21,3.87,2.8,4.8,4.94,,2.4,2.27,3.47,1.87,19.105556,13.677778,25.422222,0.0,,16.261111,83.762085
US_TX_48497,2020-01-16,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,,4.33,7.08,3.02,12.98,1.97,7.08,7.21,3.28,3.8,5.38,4.2,3.41,4.72,2.1,3.54,14.16,4.59,8.39,2.49,2.75,5.25,,6.29,5.64,3.15,3.15,6.03,5.25,2.62,4.46,4.33,4.2,3.28,8.92,28.72,5.9,1.84,5.77,3.28,3.8,4.85,1.97,2.36,5.9,38.56,1.97,,2.49,3.28,6.69,2.1,2.1,6.69,4.2,4.72,2.62,2.88,2.75,,10.616667,5.766667,19.644444,1.3716,,7.177778,79.319303
US_TX_48497,2020-01-17,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.0,2.8,6.4,4.27,9.07,3.6,7.07,7.2,2.0,4.8,4.13,3.47,2.53,3.33,,2.27,14.13,4.0,9.6,2.53,4.93,3.47,,11.47,4.0,3.47,1.87,4.93,6.4,3.47,3.33,4.0,4.13,2.8,7.47,25.87,7.47,,5.07,2.8,4.8,2.4,2.4,,7.07,36.0,2.13,2.8,,3.73,8.67,,2.8,4.53,8.13,3.6,,2.93,3.2,,8.394444,5.905556,11.494444,32.4612,,7.655556,95.263968
US_TX_48497,2020-01-18,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,,3.67,7.68,4.54,13.79,2.44,5.41,5.76,2.97,3.84,6.98,4.54,2.62,3.32,,,18.5,3.84,10.12,4.01,2.97,3.49,2.44,8.73,5.06,,5.59,3.67,6.11,,4.19,4.54,4.54,4.01,6.81,21.47,4.71,5.06,5.76,5.24,3.14,5.24,2.97,,6.63,39.8,,,3.14,4.71,4.71,,3.67,5.94,5.06,6.63,,2.62,,,11.916667,8.45,16.166667,2.794,,7.4,74.010245
US_TX_48497,2020-01-19,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.73,5.28,9.03,3.07,10.57,2.39,6.48,5.97,,3.41,7.5,4.94,,4.94,,2.73,17.21,3.58,9.89,3.24,,3.58,3.24,7.5,2.9,2.9,3.07,4.09,4.94,,4.09,4.26,3.75,,6.14,28.12,5.28,5.62,7.16,3.75,4.6,3.92,2.73,2.73,6.82,39.88,,,2.56,4.77,7.33,,3.41,8.86,4.6,5.11,,4.43,3.58,,5.205556,-1.266667,13.833333,0.0508,,-5.244444,47.006064
US_TX_48497,2020-01-20,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.35,3.92,7.68,3.29,11.28,,7.52,7.52,,3.6,6.11,4.23,2.82,4.23,2.51,3.6,19.43,3.29,9.87,3.76,2.82,2.35,2.82,12.06,3.45,2.82,4.07,5.48,6.89,,5.64,6.27,3.6,2.51,9.09,29.3,5.64,4.54,8.62,4.23,5.33,4.86,,3.45,7.99,45.75,2.66,2.19,2.51,4.54,8.46,2.66,3.6,7.05,5.95,6.11,3.76,5.01,3.29,,7.266667,0.033333,15.338889,0.0,,-3.072222,48.435869
US_TX_48497,2020-01-21,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,,5.93,9.56,5.39,13.33,2.83,11.18,6.73,,3.64,4.98,3.37,2.29,2.02,,2.42,22.76,3.5,8.35,2.83,3.5,4.04,1.89,8.89,3.5,,3.37,5.25,7.0,,5.12,4.45,8.62,2.96,8.22,33.94,7.0,2.96,8.48,2.15,4.98,8.75,3.1,2.69,7.54,42.56,,,,2.69,8.08,2.15,2.96,6.33,4.31,5.93,3.23,5.66,2.83,2.56,6.222222,0.266667,12.988889,0.0,,-1.233333,59.303495
US_TX_48497,2020-01-22,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.07,4.8,10.24,3.89,9.59,3.63,9.46,6.09,,5.05,6.48,4.28,,3.63,3.24,2.2,20.61,4.02,8.94,4.28,3.37,5.96,2.2,11.28,5.57,3.24,2.46,5.32,4.93,2.07,4.15,5.7,8.43,3.11,8.94,33.44,6.61,4.02,5.7,2.85,5.7,8.69,2.85,1.81,6.35,43.42,2.85,1.81,2.2,2.07,6.61,2.07,4.28,6.48,5.05,4.54,1.81,1.94,3.24,2.85,6.1,4.027778,10.211111,5.7658,,3.605556,84.167035
US_TX_48497,2020-01-23,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,3.56,5.15,7.26,2.9,10.43,5.02,8.98,7.92,2.25,3.17,7.66,5.15,2.77,3.83,,3.3,21.79,4.36,8.98,1.98,3.04,4.62,2.38,10.17,5.28,2.11,3.3,7.26,8.71,,4.09,5.02,5.41,2.77,10.56,29.71,8.19,4.75,4.36,5.02,3.96,5.81,,2.25,4.75,41.33,,3.04,2.25,5.81,6.21,3.04,4.62,7.26,4.49,3.43,,2.25,2.11,3.3,8.877778,6.216667,15.333333,3.0734,,6.111111,82.91677
US_TX_48497,2020-01-24,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,,4.95,6.46,3.3,10.31,2.75,10.45,6.46,,3.85,5.36,4.67,,2.75,,3.85,33.54,2.34,9.07,3.57,3.99,4.81,3.02,10.03,4.54,2.47,2.47,4.4,7.56,,4.81,2.2,4.54,3.3,12.92,34.77,5.5,2.75,7.42,2.89,6.05,7.01,,2.75,11.13,37.66,,2.75,3.02,4.95,7.15,,2.89,5.08,4.4,3.16,2.89,2.34,2.2,1.92,8.094444,2.205556,15.227778,0.254,,0.233333,57.896683
US_TX_48497,2020-01-25,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,2.99,4.04,8.61,3.52,13.71,2.46,9.32,6.68,,,5.27,3.52,,4.22,,3.34,29.36,3.16,10.2,2.81,,4.75,,8.61,2.81,,3.69,6.86,6.5,2.99,2.64,5.8,4.57,2.99,11.6,38.68,6.15,3.69,4.22,,3.52,3.69,4.75,,6.86,38.32,3.52,,3.34,3.87,8.79,2.81,2.81,5.45,5.1,6.68,3.69,2.81,4.04,2.46,9.511111,2.844444,19.122222,0.0,,2.155556,60.352979
US_TX_48497,2020-01-26,ChIJg1dT-MxrUoYRicYDKngOm7Q,Q111316,geoId/48497,US,United States of America,TX,Texas,48497,Wise County,US,USA,2,,,,,,,65848,33003,32845,8685,9270,7613,8302,8312,9727,7449,4498,1992,1836982,33.22,-97.65,2391,78.42,,,,,,,,3.74,9.43,4.88,11.87,,6.67,4.71,,2.28,8.78,5.69,2.76,3.41,,3.09,27.96,5.37,10.24,3.58,2.44,5.69,,7.15,4.07,4.07,3.9,4.71,5.69,2.93,3.9,5.2,5.2,2.44,6.83,36.42,5.53,3.58,5.69,2.6,4.71,4.39,,2.28,4.88,44.71,,,3.25,4.71,8.13,3.25,2.76,8.45,3.58,3.74,3.41,4.23,3.9,,13.938889,8.461111,20.044444,0.0,,9.633333,75.621762
