location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05015,2020-01-11,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,7.63,15.26,,7.15,,18.11,7.15,9.53,,8.58,9.53,22.41,,10.01,,39.57,15.26,8.1,2.25,-3.966667,13.633333,58.377667,,1.808642,95.572189
US_AR_05015,2020-01-12,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,8.3,7.81,12.2,9.76,,16.6,11.23,8.3,,,11.71,24.89,7.32,,,45.88,7.32,11.23,-1.433333,-4.683333,5.027778,5.3848,,-3.15,88.463202
US_AR_05015,2020-01-13,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,11.52,11.13,8.45,6.53,,15.36,10.75,9.6,5.38,6.91,,19.96,5.76,9.6,8.45,35.7,10.75,7.68,2.927778,-1.933333,11.327778,2.413,,0.394444,83.926319
US_AR_05015,2020-01-14,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,8.35,5.69,16.32,8.35,7.21,14.8,9.49,7.97,6.83,,6.07,25.05,,,13.28,47.82,5.31,5.69,7.183333,2.733333,12.916667,0.0,,5.583333,89.858105
US_AR_05015,2020-01-15,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,5.67,12.84,10.2,,,16.24,10.57,9.44,,5.67,5.67,29.08,6.42,5.67,6.04,39.27,,5.29,12.1,6.922222,18.705556,0.0,,10.166667,88.100498
US_AR_05015,2020-01-16,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,5.59,10.8,10.8,6.33,7.45,12.67,8.57,10.43,7.45,,13.41,23.85,5.59,6.71,7.08,35.4,6.33,,4.466667,-1.255556,12.877778,0.0,,0.2,73.981536
US_AR_05015,2020-01-17,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,12.95,7.35,5.6,5.25,12.6,7.0,9.8,,,14.0,19.25,7.35,6.3,5.25,34.99,10.85,,2.288889,0.022222,5.172222,3.737429,,-1.927778,73.846955
US_AR_05015,2020-01-18,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,11.61,17.42,8.22,7.74,,14.51,,12.58,,,11.13,24.67,9.19,8.71,8.71,38.7,,9.68,7.394444,1.838889,12.283333,14.187714,,3.794444,78.029098
US_AR_05015,2020-01-19,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,16.22,10.2,6.95,6.49,,12.05,,10.2,,,11.12,17.15,8.34,8.34,,44.49,,7.88,-0.188889,-4.094444,4.05,1.4986,,-9.338889,50.51665
US_AR_05015,2020-01-20,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,5.87,11.35,19.17,5.48,7.04,15.26,6.65,12.13,11.74,,9.78,34.44,9.39,6.26,5.87,39.13,8.61,5.48,-3.494444,-8.427778,2.955556,0.0,,-10.677778,57.662055
