location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19139,2020-01-01,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,3.03,4.65,11.32,6.07,7.89,5.87,3.24,,3.03,5.26,3.44,,,17.39,3.64,11.12,3.44,4.45,,5.66,5.26,3.64,,5.26,2.83,3.64,7.08,3.44,5.87,24.47,7.68,3.64,8.7,4.45,4.65,7.28,,7.08,36.81,3.64,6.88,,3.84,,5.06,4.65,3.24,6.07,2.83,-0.822222,-6.983333,8.388889,0.0254,,-4.333333,77.350339
US_IA_19139,2020-01-02,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,3.88,4.07,8.34,3.68,10.66,5.43,5.82,,,6.2,4.85,3.68,,20.35,,13.76,3.29,4.46,,8.92,6.2,,4.07,4.85,4.46,3.88,4.65,4.46,7.95,31.6,8.34,4.07,7.17,3.1,,,3.68,4.85,45.55,3.88,6.59,,6.01,4.07,6.01,,5.04,2.91,3.1,5.633333,1.822222,10.038889,0.0,,0.588889,70.298918
US_IA_19139,2020-01-03,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,3.09,7.34,6.95,3.86,9.85,7.14,3.67,,5.21,5.99,3.86,2.7,3.09,16.61,4.25,12.16,2.7,2.9,,8.3,3.09,3.09,5.41,5.21,5.21,5.6,3.09,3.09,7.53,29.54,5.6,4.63,7.92,,3.48,4.25,,5.41,32.25,4.05,7.92,,6.18,5.21,5.21,3.67,2.7,4.63,3.28,1.533333,-0.272222,5.866667,0.0,,-0.788889,84.757001
US_IA_19139,2020-01-04,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,3.73,6.64,10.37,,9.96,8.09,4.36,,3.53,5.81,3.73,5.39,,14.31,4.77,7.47,3.94,3.94,,7.47,4.56,,4.36,2.9,3.94,3.94,3.94,,5.6,26.55,5.81,3.53,7.47,3.11,7.47,4.15,,6.22,44.18,4.36,5.39,,5.6,2.9,3.32,2.9,5.19,,,-0.738889,-3.233333,0.955556,1.947333,,-2.144444,90.335799
US_IA_19139,2020-01-05,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,,3.68,5.93,5.11,9.82,5.52,5.52,,2.86,8.18,4.29,5.32,,15.95,,10.02,3.07,4.7,,7.77,3.68,,6.34,5.11,4.09,3.27,7.36,4.29,5.11,25.77,6.54,4.91,5.73,5.11,2.86,3.48,,7.77,40.29,2.86,6.34,,5.11,3.48,4.09,,,3.89,3.48,0.366667,-5.411111,7.6,0.2286,50.8,-3.155556,77.482794
US_IA_19139,2020-01-06,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,3.41,3.59,8.8,5.57,10.78,6.47,4.31,,,3.77,4.13,3.41,3.59,18.69,4.13,5.93,4.49,4.31,3.41,6.29,3.77,2.69,5.39,5.93,,4.31,4.67,2.88,6.29,27.13,3.41,2.88,6.83,,,3.41,2.69,5.93,35.22,4.31,5.57,4.49,4.85,3.77,,2.52,3.23,5.21,2.52,-0.616667,-5.861111,4.577778,0.0,50.8,-4.744444,73.834813
US_IA_19139,2020-01-07,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,,4.79,8.52,3.73,8.87,9.58,4.26,,4.61,5.68,3.02,4.26,3.19,17.03,4.97,11.0,3.9,4.44,,8.16,4.79,4.97,4.44,4.08,2.66,4.44,6.74,3.19,6.57,28.39,6.39,4.97,7.63,3.02,5.5,5.68,,5.5,33.36,3.9,4.26,2.66,5.86,5.15,3.9,3.02,5.15,3.02,3.9,-0.261111,-3.638889,3.383333,0.0,,-4.372222,73.964894
US_IA_19139,2020-01-08,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,3.59,3.95,8.62,4.31,7.18,8.62,4.67,,3.41,4.13,,5.21,,17.05,2.87,9.15,2.69,6.28,,9.87,6.46,,5.74,7.0,5.38,4.49,5.03,3.23,6.28,31.05,4.85,,6.64,2.87,5.74,,3.05,5.38,35.53,4.67,13.28,3.23,5.38,5.74,3.41,2.87,5.38,4.67,3.05,-5.305556,-10.266667,1.3,0.0,,-12.044444,59.410274
US_IA_19139,2020-01-09,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,,3.82,7.46,2.73,7.1,6.73,4.18,3.28,5.82,4.91,3.82,4.0,2.91,11.83,5.64,8.55,,4.37,3.28,9.1,3.82,,6.55,4.37,4.37,3.28,2.91,2.55,5.28,28.21,6.92,4.18,6.92,2.55,3.82,4.37,,6.37,37.49,4.91,14.19,3.09,4.18,4.18,,4.37,4.73,4.0,3.09,3.766667,-5.35,14.805556,0.0,,-2.661111,63.025426
US_IA_19139,2020-01-10,ChIJu9rUGNDw44cRGzo8MSTSxpE,Q491390,geoId/19139,US,United States of America,IA,Iowa,19139,Muscatine County,US,USA,2,,,,,,,42872,21382,21490,5773,5975,5368,5274,5051,5772,5112,2891,1656,1791861,41.481111,-91.119722,199,1163,80.15,,,,,,4.06,6.88,4.06,10.23,8.64,3.18,,3.71,3.71,2.82,3.0,3.0,13.59,4.76,8.29,2.82,3.35,,6.53,4.23,,,5.12,4.23,3.71,3.18,3.53,6.7,20.82,4.59,3.18,6.53,3.71,3.18,5.29,,4.41,33.52,4.23,6.0,2.47,2.65,5.47,3.53,2.82,3.71,2.65,,2.666667,-1.65,11.816667,0.0,,-0.038889,82.656944
