location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45069,2020-01-01,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,,11.77,12.95,17.66,30.61,10.01,43.56,14.13,7.641975,1.54321,14.37037,0.028222,-0.401235,56.949845
US_SC_45069,2020-01-02,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,12.33,,17.69,9.65,38.59,9.65,46.63,15.54,6.975309,2.432099,12.962963,0.508,2.530864,73.665077
US_SC_45069,2020-01-03,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,11.12,,10.56,,39.48,10.01,37.81,9.45,14.746914,6.055556,24.154321,2.6924,12.160494,84.846564
US_SC_45069,2020-01-04,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,14.4,10.94,9.79,,20.73,15.55,55.29,10.37,17.444444,12.117284,21.981481,17.6784,14.919753,85.257881
US_SC_45069,2020-01-05,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,12.36,,15.88,,31.77,10.0,51.77,11.77,8.104938,1.919753,17.067901,1.806222,-1.567901,50.686139
US_SC_45069,2020-01-06,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,7.53,17.57,15.06,9.54,31.12,14.06,42.17,7.53,7.0,0.246914,16.259259,0.0,0.17284,62.05068
US_SC_45069,2020-01-07,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,,11.98,15.63,8.34,31.26,13.55,42.72,11.46,7.438272,1.203704,16.0,0.254,3.716049,77.500982
US_SC_45069,2020-01-08,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,12.85,,9.77,13.88,21.08,12.85,47.81,9.77,6.148148,-1.351852,16.580247,0.09525,-1.302469,59.381544
US_SC_45069,2020-01-09,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,,11.22,12.24,11.73,28.04,10.2,42.32,13.77,6.382716,-0.851852,15.32716,0.028222,-2.246914,54.742087
US_SC_45069,2020-01-10,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,11.55,,9.98,7.88,29.41,12.08,49.89,,10.592593,3.962963,18.37037,0.0,5.438272,70.637899
US_SC_45069,2020-01-11,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,,11.15,15.85,,22.89,11.15,42.85,,17.993056,10.041667,23.6875,0.635,15.284722,84.321785
US_SC_45069,2020-01-12,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,10.39,15.59,13.86,12.7,22.52,13.86,50.82,,19.617284,16.635802,22.679012,10.033,17.895062,89.879391
US_SC_45069,2020-01-13,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,9.56,,9.12,10.43,21.72,12.16,30.84,10.86,18.759259,17.555556,21.08642,16.3195,18.141975,96.298754
US_SC_45069,2020-01-14,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,8.31,7.79,16.1,11.95,29.09,12.98,49.34,,19.339506,17.450617,21.802469,19.177,18.018519,92.168367
US_SC_45069,2020-01-15,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,,,8.12,11.37,31.41,,38.99,,17.209877,13.691358,22.45679,1.227667,15.314815,88.721022
US_SC_45069,2020-01-16,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,,9.85,15.27,,29.55,7.39,39.9,,17.932099,13.518519,21.882716,0.0635,11.296296,65.341715
US_SC_45069,2020-01-17,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,9.3,8.32,14.2,14.69,25.45,12.24,41.12,,7.839506,3.679012,12.530864,0.0,-6.783951,35.366545
US_SC_45069,2020-01-18,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,13.28,10.26,15.09,10.26,22.93,,46.47,,6.259259,2.030864,12.851852,0.0,-1.969136,55.999138
US_SC_45069,2020-01-19,ChIJ8Wf9tac9VYgR4mtmZwskh4Q,Q512816,geoId/45069,US,United States of America,SC,South Carolina,45069,Marlboro County,US,USA,2,,,,,,,26691,13953,12738,2925,3022,3629,3599,3385,3784,3281,2128,938,2532516,34.6,-79.68,1257,73.728571,,,,,12.73,13.31,13.31,,31.82,,49.76,,12.925926,6.561728,15.969136,1.2192,8.635802,75.313905
