location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_KY_21207,2020-01-01,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,12.87,27.42,,24.06,10.07,47.57,8.39,4.611111,-0.265432,9.685185,0.0,-2.631944,59.826318
US_KY_21207,2020-01-02,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,10.8,14.86,,33.31,,36.46,10.8,6.061728,1.358025,9.962963,2.624667,-0.736111,62.986119
US_KY_21207,2020-01-03,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,8.23,20.57,14.17,27.88,,40.68,,10.395833,7.888889,12.472222,7.874,9.97619,97.916597
US_KY_21207,2020-01-04,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,10.71,17.46,9.58,35.49,10.14,41.13,,6.901235,1.45679,11.987654,7.069667,5.541667,90.235646
US_KY_21207,2020-01-05,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,16.57,14.29,,33.72,10.29,44.01,12.0,2.820988,-1.135802,9.907407,0.762,-1.736111,72.306158
US_KY_21207,2020-01-06,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,14.75,11.42,15.71,32.84,8.09,29.03,,4.067901,-2.351852,9.530864,0.0,-2.194444,64.265378
US_KY_21207,2020-01-07,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,9.53,11.43,8.1,37.63,,30.01,,4.006173,-1.561728,9.475309,0.9144,-2.368056,64.320651
US_KY_21207,2020-01-08,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,7.09,13.24,11.82,24.12,7.09,39.72,14.66,4.794444,0.811111,9.95,0.0254,-4.981481,50.370386
US_KY_21207,2020-01-09,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,10.59,13.48,13.48,35.62,,43.32,12.03,5.233333,-1.238889,15.361111,0.0,-3.635802,54.529325
US_KY_21207,2020-01-10,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,10.01,16.21,8.1,29.08,7.15,30.03,,14.494444,12.15,17.977778,0.0,5.160494,53.948014
US_KY_21207,2020-01-11,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,9.91,,,16.51,,34.13,,17.094444,13.716667,22.261111,0.217714,12.351852,73.576181
US_KY_21207,2020-01-12,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,14.17,18.3,8.86,22.43,11.22,30.7,,7.844444,3.722222,17.605556,17.852571,5.882716,86.138035
US_KY_21207,2020-01-13,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,8.45,23.95,12.68,29.12,7.51,44.15,,4.961111,0.488889,11.138889,0.0254,3.524691,90.634309
US_KY_21207,2020-01-14,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,8.13,17.21,11.0,25.34,,36.34,7.17,10.327778,5.5,13.477778,3.302,9.018519,91.418311
US_KY_21207,2020-01-15,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,11.93,22.03,7.34,21.57,,29.37,,11.894444,6.427778,18.888889,1.016,10.975309,94.932764
US_KY_21207,2020-01-16,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,8.44,16.88,9.38,23.91,,40.32,,8.161111,2.877778,15.572222,0.85725,3.598765,72.498422
US_KY_21207,2020-01-17,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,,15.2,8.94,20.57,10.28,31.3,,-0.194444,-3.388889,5.233333,0.0,-6.314815,63.572605
US_KY_21207,2020-01-18,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,9.41,17.25,10.98,16.73,8.37,50.72,7.84,7.377778,0.555556,10.961111,0.943429,0.308642,61.360915
US_KY_21207,2020-01-19,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,14.49,16.72,11.7,22.29,,45.14,8.92,0.272222,-5.038889,10.433333,2.003778,-5.148148,66.460979
US_KY_21207,2020-01-20,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,13.94,18.76,13.94,34.84,12.87,37.52,11.26,-6.838889,-8.544444,-3.766667,0.0,-11.179012,71.01331
US_KY_21207,2020-01-21,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,17.91,23.34,8.14,37.45,,53.18,9.77,-3.987654,-6.796296,-0.123457,0.042333,-9.833333,63.484557
US_KY_21207,2020-01-22,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,9.6,21.6,10.56,33.12,9.6,35.04,7.2,-3.561728,-9.623457,4.969136,0.0,-9.326389,64.994025
US_KY_21207,2020-01-23,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,10.59,17.81,12.04,32.26,8.18,35.62,11.55,3.228395,-1.222222,8.604938,0.719667,-5.319444,54.448046
US_KY_21207,2020-01-24,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,,20.36,9.0,32.67,,39.78,,6.746914,2.932099,10.179012,6.138333,5.340278,90.719931
US_KY_21207,2020-01-25,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,10.43,28.0,8.23,33.49,,38.43,10.43,2.993827,1.191358,6.617284,4.021667,0.958333,86.009292
US_KY_21207,2020-01-26,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,8.74,29.5,,40.97,10.38,48.07,,2.462963,0.166667,5.993827,0.036286,-1.097222,77.325659
US_KY_21207,2020-01-27,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,13.44,30.12,7.42,41.25,7.88,36.61,8.34,5.907407,2.549383,9.907407,0.471714,2.75,80.613423
US_KY_21207,2020-01-28,ChIJ-eSwTJv3Z4gRmFaK3lw9ir8,Q373348,geoId/21207,US,United States of America,KY,Kentucky,21207,Russell County,US,USA,2,,,,,,,17723,8732,8991,2260,2073,1952,1877,2252,2553,2421,1512,823,1846583,36.99,-85.06,732,74.3,,,,11.76,22.17,14.93,31.67,8.14,41.17,8.6,1.216049,-1.524691,5.987654,0.225778,-1.069444,84.231527
