location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_OK_40099,2020-01-13,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,12.4,15.66,28.05,5.522222,1.644444,11.911111,0.0,4.411111,92.624338
US_OK_40099,2020-01-14,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,22.25,31.78,13.316667,10.877778,18.033333,0.0,11.161111,86.8463
US_OK_40099,2020-01-15,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,15.43,19.29,28.93,15.422222,11.088889,20.811111,0.0,12.95,85.321077
US_OK_40099,2020-01-16,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,22.16,28.5,7.027778,2.633333,14.688889,2.7432,2.794444,74.509661
US_OK_40099,2020-01-17,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,22.76,27.82,5.383333,3.172222,8.805556,24.849667,4.844444,96.380639
US_OK_40099,2020-01-18,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,22.48,32.55,9.433333,5.616667,12.705556,7.239,4.277778,70.659455
US_OK_40099,2020-01-19,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,20.2,36.51,3.422222,-2.861111,11.166667,0.0254,-5.283333,53.110872
US_OK_40099,2020-01-20,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,25.51,42.02,3.361111,-3.233333,12.422222,0.0,-4.511111,56.493376
US_OK_40099,2020-01-21,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,32.1,30.82,2.166667,-2.361111,8.472222,0.0,-3.155556,67.954233
US_OK_40099,2020-01-22,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,12.71,32.08,36.92,3.061111,1.488889,4.95,5.418667,1.461111,89.29467
US_OK_40099,2020-01-23,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,24.93,49.23,5.672222,3.022222,12.233333,3.429,3.222222,84.384092
US_OK_40099,2020-01-24,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,21.83,30.82,5.677778,1.1,12.033333,0.635,-0.105556,66.448688
US_OK_40099,2020-01-25,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,24.09,34.53,6.233333,-0.255556,17.05,0.0,0.388889,66.381025
US_OK_40099,2020-01-26,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,11.25,33.0,42.0,11.394444,5.855556,16.683333,1.342571,6.894444,74.048798
US_OK_40099,2020-01-27,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,9.58,35.78,38.98,8.061111,1.75,16.0,0.0,5.455556,84.178371
US_OK_40099,2020-01-28,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,15.73,35.7,33.28,8.972222,5.716667,12.722222,4.572,8.011111,93.781538
US_OK_40099,2020-01-29,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,30.88,40.56,3.461111,1.738889,7.65,4.783667,2.072222,90.710623
US_OK_40099,2020-01-30,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,9.02,39.69,26.46,3.505556,2.1,4.977778,0.0254,0.6,81.37386
US_OK_40099,2020-01-31,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,28.82,39.07,5.3,1.961111,11.883333,0.0,1.055556,74.199439
US_OK_40099,2020-02-01,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,13.66,30.54,51.43,6.177778,-2.316667,18.227778,0.0,-1.983333,56.002265
US_OK_40099,2020-02-02,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,29.75,29.75,12.422222,3.794444,25.861111,0.0,-0.705556,40.63968
US_OK_40099,2020-02-03,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,23.8,31.32,16.255556,10.027778,21.75,0.0,3.416667,42.581109
US_OK_40099,2020-02-04,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,9.16,25.65,28.71,7.427778,2.344444,16.711111,3.2512,5.444444,87.339349
US_OK_40099,2020-02-05,ChIJ83dxZ6gns4cRWKOHYNw7pQw,Q489477,geoId/40099,US,United States of America,OK,Oklahoma,40099,Murray County,US,USA,2,,,,,,,13918,6998,6920,1688,1852,1491,1629,1674,1876,1840,1214,654,1822228,34.49,-97.07,1101,76.9,,,,,,14.54,28.35,0.422222,-0.888889,2.594444,6.307667,-0.883333,91.034376
