location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13065,2020-01-01,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,49.09,8.611111,2.006173,16.5,0.0,0.179012,55.732246
US_GA_13065,2020-01-02,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,44.49,12.91358,4.259259,22.925926,0.0,5.567901,61.140001
US_GA_13065,2020-01-03,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,,21.271605,17.098765,26.462963,0.0,17.0,76.850009
US_GA_13065,2020-01-04,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,51.98,19.820988,15.240741,24.882716,9.779,15.950617,78.484672
US_GA_13065,2020-01-05,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,,9.104938,2.62963,15.876543,0.903111,-1.450617,47.92283
US_GA_13065,2020-01-06,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,41.59,8.919753,1.864198,19.845679,0.0,2.654321,64.958042
US_GA_13065,2020-01-07,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,,10.975309,3.604938,19.401235,0.0,5.728395,70.176825
US_GA_13065,2020-01-08,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,,8.864198,0.098765,18.469136,0.0,-1.333333,49.152171
US_GA_13065,2020-01-09,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,36.46,9.04321,0.154321,22.135802,0.0,3.240741,67.158351
US_GA_13065,2020-01-10,ChIJgQU0OeS974gRvxLkH4IK0-E,Q486167,geoId/13065,US,United States of America,GA,Georgia,13065,Clinch County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643,3251,3392,951,925,860,778,817,829,789,491,203,1059835,30.92,-82.7,2135,73.0,,,31.92,17.814815,12.907407,25.197531,0.0,12.654321,71.859689
