location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_LA_22043,2020-01-13,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,32.01,38.11,10.138889,6.311111,15.338889,1.919111,,8.55,89.878602
US_LA_22043,2020-01-14,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,21.62,47.25,18.044444,14.377778,21.272222,14.9225,,17.483333,96.537832
US_LA_22043,2020-01-15,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,35.96,44.73,20.644444,18.661111,23.411111,26.726444,,19.383333,92.524612
US_LA_22043,2020-01-16,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,34.15,41.64,17.3,13.194444,20.677778,0.127,,16.394444,94.429051
US_LA_22043,2020-01-17,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,15.07,44.31,44.31,13.3,10.583333,18.827778,3.20675,,9.75,79.094688
US_LA_22043,2020-01-18,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,28.98,38.65,18.022222,14.75,21.744444,3.20675,,16.3,89.704238
US_LA_22043,2020-01-19,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,16.25,27.72,34.41,9.744444,3.311111,16.466667,4.430889,,-1.005556,47.167217
US_LA_22043,2020-01-20,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,20.15,47.02,5.122222,0.633333,11.427778,0.0,,-2.794444,56.767218
US_LA_22043,2020-01-21,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,12.72,34.78,33.93,2.827778,-1.511111,9.727778,0.0,,-2.994444,65.749821
US_LA_22043,2020-01-22,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,15.9,29.42,40.56,2.722222,0.188889,5.683333,2.69875,,-1.166667,75.668306
US_LA_22043,2020-01-23,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,29.03,36.67,9.605556,5.594444,13.577778,19.90725,,8.605556,93.510203
US_LA_22043,2020-01-24,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,31.19,36.24,8.366667,1.877778,15.366667,2.3622,,3.727778,72.817574
US_LA_22043,2020-01-25,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,41.55,49.46,6.45,-0.061111,15.977778,0.0,,1.605556,71.77215
US_LA_22043,2020-01-26,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,13.22,34.37,44.06,10.697531,8.925926,12.932099,5.842,,7.882716,82.805933
US_LA_22043,2020-01-27,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,46.99,37.27,11.382716,10.098765,14.111111,5.700889,,9.67284,89.290408
US_LA_22043,2020-01-28,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,12.68,48.36,38.05,7.901235,3.888889,11.888889,0.0,,6.981481,93.93324
US_LA_22043,2020-01-29,ChIJRbLMIJEHMIYRMmbDHHRCbR4,Q504450,geoId/22043,US,United States of America,LA,Louisiana,22043,Grant Parish,US,USA,2,,,,,,,22296,12546,9750,2603,2547,3154,3712,2829,2889,2404,1473,685,1838149,31.59,-92.56,1721,74.34,,,,45.4,42.88,10.283951,8.185185,12.234568,5.715,,9.018519,91.932039
