location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48213,2020-01-11,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.0,4.85,9.55,4.71,13.12,4.14,7.84,5.28,3.14,2.42,,6.28,4.71,2.28,3.71,3.0,,2.71,,15.97,5.13,9.55,3.71,2.85,3.42,2.71,11.12,5.28,3.56,2.57,4.71,4.99,5.13,3.99,3.71,3.85,,3.56,,3.42,10.13,2.42,25.24,4.28,3.71,7.27,3.28,3.28,3.28,2.42,,5.56,45.78,2.42,,3.28,2.71,2.42,,4.42,7.27,,,2.57,3.56,5.28,4.28,6.56,2.14,,2.14,,8.961111,1.522222,21.45,21.420667,6.790123,87.282664
US_TX_48213,2020-01-12,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.6,5.07,8.11,3.47,10.13,,6.51,6.37,2.46,3.04,2.17,7.96,5.64,2.32,3.76,,2.6,2.17,,14.76,4.2,8.39,2.32,2.32,4.92,3.62,9.99,6.37,2.32,2.46,3.91,4.05,6.37,2.17,3.91,4.34,2.6,5.21,2.75,,9.55,2.03,25.18,5.5,3.76,9.55,4.05,3.47,4.34,2.46,4.92,5.07,45.73,,3.18,2.6,,4.63,3.18,4.49,10.28,2.03,2.17,2.32,2.75,5.79,5.93,5.79,4.92,2.32,2.89,2.46,2.305556,-1.727778,11.633333,0.536222,-0.037037,84.588482
US_TX_48213,2020-01-13,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,4.23,4.23,8.22,4.11,11.6,3.14,7.37,5.08,1.93,4.83,2.78,5.32,4.59,1.93,2.18,2.3,1.93,3.75,,14.99,3.99,9.19,3.75,,4.47,3.26,12.09,4.11,2.18,3.02,3.5,5.92,5.32,,3.99,4.96,1.93,6.65,2.9,3.99,10.76,4.59,25.38,6.41,3.75,5.92,3.26,4.11,5.56,2.18,2.9,6.65,43.27,,,2.78,,2.78,2.42,3.02,5.8,1.69,2.18,3.02,2.78,4.11,6.41,4.96,3.75,4.11,3.87,3.02,9.005556,3.788889,17.438889,0.2794,5.481481,79.513608
US_TX_48213,2020-01-14,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.5,5.18,5.54,3.74,12.05,2.41,8.2,7.11,1.69,2.77,,4.34,5.3,1.81,2.05,,,2.89,,12.18,4.7,7.84,2.29,2.89,4.22,,10.25,3.25,1.69,4.58,3.86,4.1,5.79,2.17,6.39,4.46,,5.3,3.25,4.1,11.57,3.74,21.58,4.34,3.01,6.99,4.34,4.82,4.58,3.74,1.69,7.59,41.83,,,,,3.01,1.93,4.94,7.11,,2.29,2.53,3.62,4.82,4.46,4.94,2.65,2.17,3.5,,15.372222,13.505556,19.266667,0.254,13.617284,89.59941
US_TX_48213,2020-01-15,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.12,5.76,7.08,4.08,12.97,3.12,9.13,6.6,2.16,5.04,2.76,3.72,3.72,2.04,3.96,,,3.72,,13.09,2.16,7.68,4.8,3.6,6.0,1.8,9.97,2.88,1.68,4.8,2.04,6.96,4.68,4.08,5.4,5.52,2.16,6.36,1.8,4.08,10.69,2.64,26.78,5.16,4.44,6.96,4.08,5.16,5.04,4.08,3.0,8.53,42.15,,2.64,2.52,2.04,2.64,2.64,4.08,6.6,1.92,3.12,2.28,3.12,6.0,5.88,6.24,3.12,3.72,3.36,2.76,20.144444,17.066667,24.827778,0.084667,18.530864,90.904236
US_TX_48213,2020-01-16,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.29,5.42,7.7,4.45,10.47,3.01,8.18,7.1,,4.81,1.69,6.26,4.93,2.53,3.13,1.69,,2.65,,13.48,4.93,10.35,4.33,3.37,4.21,,9.51,3.73,,3.37,3.73,3.85,5.17,1.93,4.93,3.37,2.29,5.05,3.97,2.53,10.71,,28.28,6.86,4.33,7.7,3.73,5.17,4.93,1.69,1.8,5.66,43.68,2.17,2.53,1.93,,2.65,,6.14,7.82,1.93,1.93,,,5.66,4.45,7.1,3.01,3.25,2.53,,16.422222,11.461111,21.777778,1.1176,14.820988,91.627183
US_TX_48213,2020-01-17,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.73,4.8,8.44,4.67,10.78,2.73,7.53,6.75,2.34,3.9,,7.53,3.38,,2.34,1.82,,3.38,,12.86,2.21,7.27,3.12,3.25,5.97,1.95,10.13,3.38,,2.08,5.06,4.42,4.8,2.86,4.54,5.58,,3.64,3.64,4.29,7.92,2.08,25.71,5.06,4.03,7.27,3.25,3.51,4.54,,,6.88,41.94,2.08,,2.47,,1.82,2.86,3.9,8.05,,2.86,1.95,2.73,6.75,4.16,5.71,2.86,2.08,3.38,,12.038889,10.338889,16.233333,6.132286,10.185185,89.388162
US_TX_48213,2020-01-18,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.06,4.8,9.75,3.49,11.78,3.64,8.29,5.96,2.04,2.47,,5.82,4.22,2.33,2.62,,2.18,2.18,,14.26,4.51,7.71,3.78,2.76,4.22,2.33,9.02,5.09,,3.2,4.95,3.93,6.4,3.06,5.38,4.66,,4.66,,3.93,7.56,3.78,28.95,4.8,2.62,8.44,3.06,4.66,6.69,3.64,2.76,5.24,43.2,,2.33,,,2.18,,5.53,7.13,3.35,,2.47,3.35,6.11,4.51,4.36,2.04,4.95,3.2,2.33,16.755556,12.033333,18.366667,1.4732,13.228395,80.501909
US_TX_48213,2020-01-19,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,,6.08,6.93,5.51,13.44,,6.65,4.53,1.98,3.25,,6.79,4.53,,1.98,,2.69,3.25,,16.97,3.11,6.93,2.97,1.98,4.81,3.39,10.89,4.95,2.26,2.69,4.24,5.66,5.94,2.69,5.51,5.51,2.4,6.65,,3.39,8.77,,25.03,7.78,2.54,5.09,2.4,3.96,5.23,3.11,1.98,4.53,44.69,,3.54,,2.12,2.97,2.4,4.95,7.07,,2.12,1.98,2.26,5.23,5.09,5.37,4.38,4.1,2.4,3.11,7.327778,1.677778,12.844444,1.1938,-4.506173,43.297123
US_TX_48213,2020-01-20,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.55,6.24,9.92,5.39,14.88,2.13,7.09,7.51,2.83,3.26,3.54,5.24,3.4,2.27,4.82,1.98,,2.69,,17.57,4.54,9.35,2.98,4.68,6.8,2.13,12.19,4.39,1.98,2.69,3.97,7.65,4.39,2.55,6.38,6.95,2.55,7.09,2.41,3.26,10.35,2.83,29.76,8.22,3.4,9.5,4.54,6.38,5.67,3.83,4.11,5.39,48.61,,2.27,,3.69,2.55,2.69,5.67,7.09,2.55,2.69,2.27,3.12,7.23,7.23,4.39,3.26,5.1,4.96,3.4,6.622222,1.055556,13.527778,0.1016,-3.666667,48.134651
