location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01013,2020-01-01,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,,10.8,20.13,20.13,6.611111,0.227778,15.544444,0.0,-0.740741,58.821326
US_AL_01013,2020-01-02,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,9.14,11.42,22.38,30.15,12.977778,6.694444,20.938889,3.668889,9.0,75.168362
US_AL_01013,2020-01-03,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,7.3,7.3,15.52,27.84,20.072222,14.888889,23.288889,19.191111,18.388889,88.785479
US_AL_01013,2020-01-04,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,7.46,7.46,20.41,35.83,14.622222,10.461111,17.088889,20.856222,9.648148,70.976311
US_AL_01013,2020-01-05,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,13.33,14.87,10.26,27.18,6.794444,-0.5,15.155556,0.254,-0.953704,56.097953
US_AL_01013,2020-01-06,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,,7.14,19.03,26.17,8.483333,1.15,19.377778,0.0,3.759259,71.569583
US_AL_01013,2020-01-07,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,,17.63,28.71,29.72,12.222222,7.811111,16.788889,0.0,4.435185,57.74294
US_AL_01013,2020-01-08,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,,9.68,35.83,33.41,7.572222,-0.738889,18.027778,0.0,-2.574074,48.456927
US_AL_01013,2020-01-09,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,14.63,11.6,28.24,34.3,8.711111,0.355556,19.716667,0.0,1.537037,60.591782
US_AL_01013,2020-01-10,ChIJvwuytCw6jogR94Yjx8idafg,Q108871,geoId/01013,US,United States of America,AL,Alabama,01013,Butler County,US,USA,2,,,,,,,19888,9289,10599,2422,2523,2337,2397,2286,2564,2667,1649,1043,1848762,31.749444,-86.682222,109,2012,73.3875,,,,,,8.21,23.17,28.48,18.1,14.244444,23.505556,0.0,11.87963,65.268434
