location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21193,2020-01-11,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,,10.55,10.05,13.06,8.54,15.57,28.64,11.55,44.71,11.05,17.518519,13.592593,23.376543,3.6576,,11.055556,66.167986
US_KY_21193,2020-01-12,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,11.78,13.83,,13.31,8.71,12.8,44.04,7.68,46.6,10.24,11.216049,6.574074,17.067901,10.595429,,7.08642,75.89532
US_KY_21193,2020-01-13,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,7.69,11.03,9.02,14.71,12.03,14.71,32.09,6.68,38.77,10.03,7.691358,3.814815,13.925926,0.0,,5.351852,85.461294
US_KY_21193,2020-01-14,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,,14.44,9.07,14.78,11.76,12.76,35.61,7.39,39.97,7.05,12.074074,8.049383,14.611111,4.1148,,11.376543,95.528059
US_KY_21193,2020-01-15,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,4.67,13.33,9.0,14.33,14.33,11.33,35.32,5.0,42.32,7.33,12.493827,8.691358,17.271605,0.870857,,11.975309,96.666156
US_KY_21193,2020-01-16,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,6.17,16.78,7.19,19.86,13.02,15.07,41.44,6.51,43.84,7.54,10.358025,4.351852,17.024691,0.635,,4.54321,67.300988
US_KY_21193,2020-01-17,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,9.35,13.51,8.66,12.82,12.82,16.28,36.72,10.39,38.45,7.28,0.351852,-3.530864,5.919753,0.0,,-7.555556,55.515571
US_KY_21193,2020-01-18,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,11.56,11.08,13.97,19.27,10.12,12.04,35.65,9.63,49.62,15.41,6.506173,0.191358,9.925926,1.1684,,-2.777778,51.877664
US_KY_21193,2020-01-19,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,20.12,12.38,12.38,17.54,15.48,11.35,34.57,8.77,48.49,10.32,1.95679,-3.901235,9.839506,3.175,,-3.055556,69.474602
US_KY_21193,2020-01-20,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,6.62,16.77,7.95,18.1,18.1,12.8,37.08,11.48,60.91,7.06,-6.228395,-8.04321,-3.969136,0.0,,-11.006173,69.081316
US_KY_21193,2020-01-21,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,12.25,12.64,13.04,22.13,16.2,13.83,38.33,11.86,50.58,5.93,-5.074074,-7.530864,-1.055556,0.0,,-10.524691,66.067124
US_KY_21193,2020-01-22,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,13.23,21.69,10.66,23.16,13.23,13.23,39.7,7.72,50.36,8.09,-3.469136,-9.666667,5.919753,0.0,,-9.716049,62.112455
US_KY_21193,2020-01-23,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,7.86,19.1,8.61,20.59,18.72,10.11,26.21,6.74,47.93,8.99,3.765432,-2.407407,10.814815,0.0,,-7.203704,45.897192
US_KY_21193,2020-01-24,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,9.23,12.03,8.42,26.48,10.83,12.44,39.71,6.82,37.31,8.02,8.12963,2.598765,11.12963,4.826,,4.358025,77.55298
US_KY_21193,2020-01-25,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,11.71,16.29,9.16,24.44,13.75,12.22,37.68,9.67,47.86,8.65,3.58642,1.191358,8.975309,7.4676,,1.635802,87.145134
US_KY_21193,2020-01-26,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,7.18,16.74,12.44,27.75,11.0,12.92,48.32,9.57,39.23,9.57,2.469136,0.41358,6.388889,0.084667,,-2.049383,72.173977
US_KY_21193,2020-01-27,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,12.49,11.02,13.59,23.51,13.22,11.75,46.65,5.51,50.32,,4.401235,1.648148,7.895062,0.8636,,2.265432,86.1634
US_KY_21193,2020-01-28,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,8.69,11.23,7.61,23.18,13.4,7.61,47.81,10.14,43.82,14.12,2.561728,-0.240741,7.197531,0.508,,-0.438272,80.70404
US_KY_21193,2020-01-29,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,5.94,10.23,8.25,26.73,13.86,10.56,42.58,6.6,37.3,14.19,2.438272,0.308642,5.919753,0.0,,-0.802469,79.360183
US_KY_21193,2020-01-30,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,5.8,17.73,10.32,30.63,16.44,14.51,39.33,9.35,34.5,5.48,2.981481,0.864198,6.938272,0.127,,1.049383,87.309198
US_KY_21193,2020-01-31,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,5.91,14.78,7.88,22.34,15.77,10.51,33.51,8.54,38.43,4.93,5.95679,2.345679,9.537037,0.0,,3.191358,82.628814
US_KY_21193,2020-02-01,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,10.29,14.7,10.29,26.46,13.23,14.21,45.08,7.35,46.55,8.33,5.012346,2.679012,8.320988,0.6604,,3.95679,93.006793
US_KY_21193,2020-02-02,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,8.2,15.9,,25.13,15.9,11.28,34.36,9.23,55.89,9.23,6.506173,0.425926,16.87037,0.8128,,0.530864,65.761298
US_KY_21193,2020-02-03,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,7.85,12.43,7.52,20.6,16.68,8.83,38.59,6.21,39.57,8.18,10.95679,4.407407,18.845679,0.0,,1.401235,53.447905
US_KY_21193,2020-02-04,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,9.34,14.82,6.44,20.29,13.53,9.02,33.18,9.34,37.36,9.66,13.740741,9.444444,18.716049,3.4036,,8.055556,68.98838
US_KY_21193,2020-02-05,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,12.3,16.4,9.43,24.6,15.99,18.45,34.03,7.38,62.33,9.84,10.753086,7.080247,16.660494,18.4912,,10.401235,97.717633
US_KY_21193,2020-02-06,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,9.34,12.73,10.61,16.55,12.73,14.43,30.56,7.64,49.66,7.64,11.54321,5.839506,14.148148,29.21,,11.296296,98.393084
US_KY_21193,2020-02-07,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,8.96,11.21,14.79,20.17,15.24,13.89,44.82,,45.72,11.21,1.166667,-2.209877,7.666667,8.6868,30.48,-0.037037,91.741211
US_KY_21193,2020-02-08,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,12.38,7.92,8.42,25.75,10.9,8.42,39.13,8.42,46.06,9.9,-0.314815,-3.555556,4.12963,1.0668,30.48,-3.222222,80.79066
US_KY_21193,2020-02-09,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,15.81,18.53,10.36,21.26,13.08,10.9,39.79,9.81,51.78,10.9,2.771605,-3.049383,10.67284,0.127,,-0.771605,77.785304
