location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13243,2020-01-01,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,7.475309,0.950617,16.17284,0.0,-0.666667,55.923779
US_GA_13243,2020-01-02,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,53.88,12.617284,4.41358,21.253086,1.487714,6.777778,68.696298
US_GA_13243,2020-01-03,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,22.123457,16.216049,26.783951,2.648857,19.214286,84.770937
US_GA_13243,2020-01-04,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,16.512346,12.401235,21.697531,28.629429,12.103175,76.35866
US_GA_13243,2020-01-05,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,7.765432,0.716049,15.901235,1.27,-1.071429,54.114995
US_GA_13243,2020-01-06,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,8.537037,0.820988,19.407407,0.0,3.412698,68.950566
US_GA_13243,2020-01-07,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,44.82,11.506173,3.833333,18.697531,0.0,5.007937,63.851591
US_GA_13243,2020-01-08,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,48.37,8.030864,-0.814815,17.895062,0.0,-1.388889,51.28548
US_GA_13243,2020-01-09,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,8.382716,-0.722222,20.481481,0.0,2.119048,64.062979
US_GA_13243,2020-01-10,ChIJ3_o4qkS68ogRX-W1fSrAEzg,Q498307,geoId/13243,US,United States of America,GA,Georgia,13243,Randolph County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6969,3188,3781,805,854,804,712,642,997,1007,686,462,1028133,31.76,-84.76,1116,75.15,,,,17.216049,12.345679,24.154321,0.0,12.150794,71.804382
