location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13213,2020-01-11,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,3.95,8.46,,11.85,4.8,3.95,7.62,6.77,16.64,6.21,,12.41,,5.64,4.23,4.51,4.51,5.64,9.03,31.03,7.62,9.87,,4.8,5.36,44.57,5.36,8.46,7.33,4.23,6.49,18.166667,14.583333,21.672222,0.381,,14.685185,80.043375
US_GA_13213,2020-01-12,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,5.27,9.37,7.03,12.59,5.86,7.32,9.96,4.1,17.57,11.71,,9.96,7.03,8.2,7.62,6.15,,4.69,7.03,24.02,7.32,7.62,4.39,4.39,5.27,51.25,,4.98,5.27,4.39,,12.487654,5.438272,19.283951,16.086667,,9.0625,78.801351
US_GA_13213,2020-01-13,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,7.3,7.3,8.76,9.49,9.0,5.35,6.08,5.35,12.65,9.25,3.65,12.9,4.87,3.65,6.08,4.14,,5.84,9.25,28.23,5.11,7.06,7.54,3.65,5.35,41.61,4.14,5.35,7.06,4.14,4.38,12.355556,8.083333,17.283333,0.15875,,10.660494,88.346864
US_GA_13213,2020-01-14,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,4.86,6.48,9.95,9.71,11.56,7.17,7.4,4.86,16.65,8.56,9.02,8.56,4.39,5.55,6.25,5.78,4.39,4.39,12.49,27.29,5.55,7.4,,5.78,6.25,35.39,3.93,6.48,5.55,6.94,3.47,15.861111,13.027778,17.516667,9.144,,14.907407,94.305776
US_GA_13213,2020-01-15,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,,9.64,5.88,10.11,10.58,4.0,4.47,,13.63,8.93,4.23,11.52,,7.05,5.64,,,3.76,7.99,32.2,4.7,7.29,5.88,,8.7,36.2,,6.82,6.58,6.11,,15.066667,11.783333,19.311111,13.643429,,13.868056,92.739491
US_GA_13213,2020-01-16,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,4.13,7.29,,13.36,4.86,4.37,6.32,5.34,10.45,5.59,,11.66,5.34,6.32,3.65,,,5.1,7.29,28.91,5.1,5.34,7.78,4.37,6.8,42.52,4.86,6.07,,5.34,5.59,14.8,10.038889,18.427778,6.458857,,9.753086,71.338105
US_GA_13213,2020-01-17,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,6.09,8.28,,11.94,8.04,3.41,3.65,4.87,11.69,9.26,3.41,10.23,4.87,6.82,4.87,6.33,4.14,3.41,7.55,22.65,5.85,7.06,4.38,,,28.99,6.33,7.55,4.63,5.12,4.87,6.933333,2.961111,13.661111,2.4384,,-3.808642,46.685505
US_GA_13213,2020-01-18,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,6.72,9.36,4.09,12.28,8.77,5.26,5.26,,15.5,5.85,4.39,10.53,6.72,5.85,4.97,,6.14,4.09,8.48,26.9,6.72,8.19,5.55,6.14,7.89,47.07,5.55,7.02,6.43,4.09,8.48,7.083333,4.35,10.694444,5.037667,,-1.277778,56.017299
US_GA_13213,2020-01-19,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,5.56,11.11,4.97,6.73,6.14,7.31,7.31,5.85,10.53,5.85,,8.48,,5.85,4.39,5.85,7.02,7.31,8.19,22.22,4.97,8.19,,6.73,7.6,45.33,,6.43,5.85,5.26,,6.338889,1.483333,10.483333,6.096,,0.08642,64.169158
US_GA_13213,2020-01-20,ChIJc0shFb7fX4gRe7WArmQeifg,Q493074,geoId/13213,US,United States of America,GA,Georgia,13213,Murray County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39803,19534,20269,5213,5649,5101,4869,5359,5592,4239,2704,1077,534697,34.78,-84.75,892,74.6625,,,,,6.59,8.99,,12.88,4.19,7.19,5.69,4.19,17.07,9.88,,10.48,6.89,,4.49,,,6.59,11.68,24.86,5.09,6.89,,,6.59,41.04,,6.59,8.09,7.49,4.49,-1.85,-5.377778,4.644444,0.0,,-8.895062,58.223791
