location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39051,2020-01-11,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,2.8,6.13,,8.76,8.93,3.85,2.63,3.5,2.63,,13.84,,7.88,,3.33,5.96,5.08,,3.85,,4.03,4.38,,4.38,22.59,4.03,,6.3,,,4.55,2.98,29.25,4.2,7.53,4.73,2.98,3.33,2.45,,10.016667,2.455556,14.916667,9.595556,,8.177778,88.467139
US_OH_39051,2020-01-12,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.83,8.71,,6.45,5.92,4.18,,5.92,5.57,3.31,14.63,,7.66,,4.01,8.19,2.44,2.79,4.01,3.31,,3.83,2.44,2.61,21.07,8.88,,4.88,,3.83,4.01,2.79,33.62,4.01,7.14,6.79,4.18,5.22,,,-0.5,-3.444444,2.5,22.606,,-3.044444,82.989531
US_OH_39051,2020-01-13,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.56,6.7,,9.13,6.84,5.28,2.85,7.13,2.42,2.85,12.26,2.42,7.84,2.0,4.56,6.99,4.56,5.56,3.28,3.14,3.0,3.85,,4.56,21.82,5.85,,7.13,3.14,,4.28,5.28,35.08,3.0,3.42,3.14,3.99,3.14,,2.0,0.994444,-2.733333,3.316667,0.733778,,-1.266667,84.939616
US_OH_39051,2020-01-14,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.0,5.58,,8.01,6.58,3.43,4.87,6.01,3.72,,11.88,2.29,8.3,3.0,3.15,7.44,2.72,5.44,3.72,2.43,,3.72,,6.58,20.03,4.29,2.0,6.3,3.15,3.43,3.0,3.72,31.34,2.43,5.44,4.01,4.01,2.43,2.43,3.29,2.272222,-0.955556,5.338889,0.0508,,-0.427778,82.450838
US_OH_39051,2020-01-15,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.36,4.79,2.33,9.15,7.41,,3.2,5.52,3.63,3.92,14.82,2.03,6.97,,4.5,8.28,2.62,6.25,5.81,2.62,3.2,3.78,3.2,4.21,19.04,4.21,2.33,5.52,2.76,3.78,2.18,4.5,30.22,3.2,6.54,4.79,3.2,3.78,,3.2,1.816667,-1.977778,5.027778,0.056444,,0.022222,87.945996
US_OH_39051,2020-01-16,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,2.53,4.17,,5.51,5.96,3.88,2.53,2.53,4.77,5.66,8.79,2.83,6.71,2.68,6.41,10.13,4.17,4.17,3.88,2.38,3.58,5.22,,5.37,18.33,3.73,2.53,5.07,3.43,5.37,4.62,3.13,27.57,2.98,6.26,3.58,5.22,3.88,2.53,2.38,0.772222,-4.272222,4.061111,0.326571,,-3.394444,73.780933
US_OH_39051,2020-01-17,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.18,4.34,,5.12,3.88,5.58,,3.56,3.88,,11.01,3.56,6.36,,2.33,6.98,4.18,4.03,3.41,3.1,3.72,2.79,,2.94,18.91,3.1,2.33,4.96,,,2.79,3.88,28.21,2.79,4.5,3.25,3.56,3.25,3.72,2.94,-5.083333,-8.094444,0.838889,0.0,,-10.444444,66.181262
US_OH_39051,2020-01-18,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.02,5.86,,6.92,3.37,3.91,,4.97,2.49,,13.85,4.79,6.92,,,5.15,3.73,3.55,3.91,3.91,3.02,,4.44,4.44,17.04,3.73,,4.97,,,,,29.65,3.2,7.99,2.49,3.37,3.2,2.66,2.84,-0.25,-6.766667,4.633333,6.688667,,-2.572222,84.402809
US_OH_39051,2020-01-19,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,5.58,6.98,,5.76,7.5,3.84,,3.66,2.62,,13.08,2.44,8.89,3.31,4.71,4.71,3.84,4.71,5.06,2.44,,2.96,,5.23,20.58,4.54,,4.01,,2.79,2.96,5.76,28.6,3.84,5.58,4.88,2.62,,3.49,,-7.438889,-11.311111,3.288889,2.709333,149.86,-11.333333,73.75075
US_OH_39051,2020-01-20,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.18,5.85,,8.86,9.53,3.68,,6.52,4.01,2.68,14.72,2.84,6.86,2.84,4.68,7.36,2.51,6.69,2.84,4.35,3.68,4.68,3.18,6.86,21.41,5.69,2.51,5.69,3.68,4.18,3.68,3.35,32.78,4.85,6.19,4.85,,3.35,3.01,3.18,-8.438889,-11.833333,-3.705556,0.0,50.8,-12.55,72.330062
