location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51630,2020-01-11,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,5.76,5.15,4.24,10.45,6.06,4.85,,3.94,,4.85,3.48,,3.33,13.79,3.64,6.97,2.42,3.64,,6.06,5.0,2.27,,3.64,5.0,2.27,3.33,6.21,3.03,4.39,5.45,20.6,6.36,2.58,7.12,2.42,3.03,4.7,2.88,3.03,35.15,,5.45,6.82,2.27,2.58,4.54,3.79,4.7,2.42,3.64,2.88,2.88,14.488889,8.072222,21.077778,0.036286,,10.827778,78.824798
US_VA_51630,2020-01-12,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,4.05,3.15,11.4,2.55,8.1,5.7,4.8,,3.75,5.85,5.7,,,,11.85,3.15,7.8,2.1,4.5,2.25,5.7,4.5,,,3.3,6.6,,3.0,5.25,3.75,2.85,5.25,22.05,6.0,3.15,6.0,3.0,4.65,2.85,2.25,3.15,34.8,3.45,4.8,5.85,2.7,3.0,5.1,2.55,6.45,2.4,2.1,4.8,3.15,18.677778,9.577778,21.338889,11.232444,,11.794444,64.391227
US_VA_51630,2020-01-13,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.32,3.59,6.02,3.94,9.73,6.95,4.86,3.13,3.13,5.33,4.05,2.9,2.9,3.47,12.04,3.01,7.76,2.2,4.4,2.08,9.73,2.32,2.32,2.9,3.71,2.9,1.97,4.17,4.29,3.71,3.01,7.88,24.43,6.25,3.01,7.64,3.36,5.1,4.75,3.59,5.33,33.82,,4.4,4.63,3.24,3.01,4.17,,4.86,1.74,2.32,3.01,,8.938889,5.438889,14.255556,0.4318,,4.677778,74.747516
US_VA_51630,2020-01-14,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.88,4.73,6.92,4.15,9.0,8.31,4.85,2.08,3.35,5.54,5.54,3.46,2.65,2.77,12.69,2.31,7.62,2.77,4.27,1.73,8.77,4.38,2.19,,5.08,4.27,2.88,4.27,4.96,5.42,3.92,8.08,23.65,7.04,3.58,5.19,2.88,3.0,6.12,2.54,4.62,34.38,2.19,4.73,6.0,2.08,2.31,5.31,3.92,5.42,3.69,2.19,2.77,,6.755556,3.361111,10.372222,4.656667,,5.911111,94.423282
US_VA_51630,2020-01-15,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.9,2.9,8.35,2.09,13.44,7.19,6.26,2.78,4.52,6.03,3.83,2.55,,3.71,11.01,3.25,7.07,2.32,4.64,2.2,8.23,4.4,1.97,3.36,6.61,3.59,2.09,2.67,3.94,5.21,2.43,8.69,20.86,3.59,4.06,5.79,1.97,5.56,4.64,1.97,4.98,36.62,,4.17,5.68,2.43,2.67,3.83,3.59,2.9,1.97,1.62,2.55,1.85,8.5,4.883333,11.716667,1.2446,,7.54321,93.336224
US_VA_51630,2020-01-16,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.34,5.39,7.97,3.63,9.61,7.74,5.16,,3.28,4.46,2.93,,1.76,4.81,12.89,2.93,7.27,2.58,6.1,2.81,6.45,4.1,3.99,1.99,3.99,3.4,4.57,3.63,4.81,4.22,2.7,7.85,20.87,7.03,2.34,6.33,2.34,5.04,3.63,2.46,5.98,32.24,2.46,4.22,4.81,3.28,3.05,4.46,3.28,3.99,3.52,,2.23,1.76,10.622222,6.177778,14.077778,0.0762,,2.616667,57.875403
US_VA_51630,2020-01-17,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,3.87,8.83,4.6,12.22,7.74,4.23,1.94,2.78,4.35,6.29,2.42,,3.02,10.64,2.9,6.89,1.94,5.56,4.11,7.01,4.6,3.87,2.78,3.51,2.54,2.9,2.78,6.41,5.68,2.3,8.47,20.32,4.72,3.39,5.44,3.15,4.47,7.14,,3.51,31.2,3.51,4.11,6.29,2.9,3.75,5.32,3.63,3.75,2.42,3.51,1.94,2.54,1.783333,-1.805556,8.966667,0.0,,-9.972222,41.53856
US_VA_51630,2020-01-18,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.27,3.55,7.38,6.67,8.8,4.97,4.69,,2.41,4.54,3.55,2.84,,2.13,10.37,2.84,5.54,3.55,6.39,2.56,6.53,6.25,,3.55,4.54,3.12,,3.69,5.11,4.12,2.7,5.96,21.16,5.54,3.12,6.39,2.27,3.69,4.12,,3.83,31.67,2.84,3.55,4.12,2.13,,5.82,2.84,2.41,2.98,2.98,,2.7,-1.377778,-4.683333,2.544444,1.143,,-5.844444,72.066717
US_VA_51630,2020-01-19,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.03,5.36,8.12,4.06,7.39,6.23,3.91,,3.62,4.35,4.06,2.61,2.61,2.03,10.0,3.48,5.8,2.75,3.77,2.03,5.51,5.07,2.61,2.61,3.62,4.64,3.19,2.9,7.25,3.77,,5.8,18.85,5.22,2.03,6.09,,2.61,3.19,2.32,5.22,30.3,4.06,4.2,7.1,2.9,3.33,4.2,2.61,,2.03,3.48,4.06,2.17,5.094444,-1.677778,9.027778,2.54,,-0.209877,68.773998
US_VA_51630,2020-01-20,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.08,4.42,10.55,3.19,10.55,6.38,4.66,1.72,3.68,6.01,5.76,2.94,,2.33,12.88,3.8,5.03,2.58,4.17,3.07,7.97,4.05,2.08,1.72,3.8,3.92,,3.07,3.92,2.45,3.68,7.48,20.11,5.4,2.33,6.5,3.92,5.76,3.19,2.21,4.54,39.12,4.54,4.91,6.62,,2.82,4.54,3.43,5.15,2.33,2.58,2.33,3.68,-1.644444,-5.316667,4.35,0.0,,-11.876543,45.827705
US_VA_51630,2020-01-21,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.91,4.89,7.69,4.19,11.42,8.85,3.26,3.15,4.31,4.31,4.89,3.38,,2.91,17.24,1.98,7.8,2.68,4.66,3.03,7.22,4.66,3.15,3.73,5.47,5.47,1.86,3.96,4.78,5.47,3.15,6.64,25.4,6.87,3.84,5.47,3.03,3.73,6.06,2.68,5.59,37.63,3.5,3.96,6.52,2.45,2.8,5.59,2.56,4.19,3.61,3.26,3.38,2.56,-2.316667,-6.294444,2.466667,0.0,,-11.25,50.536328
US_VA_51630,2020-01-22,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,1.59,3.64,7.4,5.01,10.36,10.24,5.8,2.5,4.21,5.69,3.53,2.28,1.93,1.93,14.22,2.62,10.81,2.05,5.69,2.28,8.76,2.73,3.07,2.62,5.23,2.96,2.5,4.32,4.55,6.26,2.73,7.74,24.01,7.51,3.41,5.8,3.19,3.98,5.92,,5.69,35.73,3.07,5.35,4.89,1.59,4.67,6.94,5.01,5.12,,3.19,2.73,3.87,-2.222222,-8.555556,4.65,0.0,,-9.561111,57.356001
