location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47073,2020-01-01,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,4.92,8.21,5.29,11.12,7.47,5.83,4.56,6.93,5.65,,3.46,30.08,4.92,18.78,4.38,3.28,9.85,6.2,4.01,4.74,8.57,4.74,3.28,6.2,3.1,5.65,31.91,5.11,3.46,5.83,3.28,3.65,3.83,6.56,37.2,3.46,4.38,4.38,5.11,2.73,5.11,,4.611111,0.512346,9.006173,0.0,,-3.076389,56.783137
US_TN_47073,2020-01-02,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,5.66,7.12,4.02,11.68,8.03,4.2,2.92,9.86,5.66,3.29,5.48,35.78,2.74,18.98,3.83,4.2,9.68,8.21,5.11,5.66,8.4,5.29,6.21,4.02,3.47,11.32,37.42,8.03,4.56,9.31,5.48,4.02,5.66,6.02,41.98,4.02,6.75,6.57,3.29,5.11,3.47,3.29,3.222222,-1.08642,7.364198,1.705429,,-1.055556,73.066754
US_TN_47073,2020-01-03,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,4.48,11.11,5.38,11.47,7.53,6.27,,5.38,2.69,,3.76,27.24,3.94,15.95,2.51,4.48,9.68,3.94,4.48,5.55,6.09,5.38,4.84,4.3,3.76,9.32,29.75,6.09,3.94,7.35,,4.48,4.48,6.63,41.75,4.12,8.6,3.76,5.38,5.55,4.3,,8.925926,5.907407,11.888889,14.006286,,8.698413,97.796832
US_TN_47073,2020-01-04,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,5.57,8.08,4.49,11.14,6.83,6.65,2.52,6.83,3.41,,4.49,25.33,2.52,13.83,5.39,6.11,7.18,4.13,3.95,4.13,4.85,5.57,5.93,3.95,,8.44,28.92,7.18,4.49,7.9,2.87,3.41,4.31,7.0,40.59,3.41,7.54,6.83,3.59,5.93,4.13,,9.518519,2.061728,12.512346,5.334,,7.638889,88.36692
US_TN_47073,2020-01-05,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,4.44,10.73,3.52,12.21,7.4,4.99,2.77,5.73,4.62,,,32.19,4.99,18.13,,4.44,10.91,6.47,2.96,7.21,6.29,4.44,5.73,4.62,3.15,3.88,30.15,7.03,3.15,7.21,3.7,4.25,6.1,5.92,42.73,3.33,7.58,4.62,4.62,7.4,5.36,6.29,2.567901,0.351852,7.716049,2.104571,,-2.743056,67.887809
US_TN_47073,2020-01-06,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,4.74,7.11,4.57,9.99,8.13,6.6,3.89,7.28,4.23,4.74,2.88,29.46,3.39,13.71,4.4,5.93,10.5,4.91,,6.43,6.43,4.4,2.71,7.45,3.89,8.97,30.31,8.63,4.74,11.17,2.88,5.08,4.74,7.62,38.77,4.74,7.79,7.96,4.57,3.05,3.39,4.4,2.709877,-2.740741,10.444444,0.0,,-3.291667,64.852631
US_TN_47073,2020-01-07,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,7.09,5.74,3.54,13.33,8.77,5.57,4.72,5.91,4.22,4.39,3.04,27.34,3.88,15.69,3.04,3.21,10.46,6.92,2.53,6.58,5.23,3.88,5.06,6.92,4.72,10.97,30.2,6.92,4.56,8.27,3.21,4.05,6.08,5.4,43.03,4.89,6.75,7.09,6.92,7.42,4.72,3.71,3.660494,-0.641975,8.728395,1.959429,,-1.513889,69.159707
US_TN_47073,2020-01-08,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,5.63,7.88,,16.32,12.01,9.0,2.81,6.38,5.25,,4.88,23.82,4.31,14.26,3.94,7.69,12.57,4.69,,6.94,5.63,5.63,,4.13,3.19,8.82,43.52,7.13,3.75,10.13,3.94,,5.63,8.63,49.71,6.0,14.44,6.57,5.25,7.32,4.13,3.56,4.296296,-1.487654,11.04321,1.608667,,-4.180556,53.944763
US_TN_47073,2020-01-09,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,6.61,11.25,4.29,11.25,7.86,5.0,,8.39,6.96,4.11,3.75,22.5,4.46,11.07,4.46,5.36,11.43,6.07,3.04,3.39,5.71,3.21,3.57,5.89,3.21,10.71,37.32,6.61,3.57,8.75,4.29,5.36,6.25,7.5,43.93,5.0,13.21,6.61,4.64,6.43,4.82,,3.969136,-3.141975,14.111111,0.0,,-2.826389,61.18975
US_TN_47073,2020-01-10,ChIJLwSnjGYAW4gRhZ6YFbz74nc,Q502400,geoId/47073,US,United States of America,TN,Tennessee,47073,Hawkins County,US,USA,2,,,,,,,56620,27809,28811,5799,6791,6309,6017,7596,8452,7844,5367,2445,1847626,36.44,-82.95,1294,74.191667,,,,,4.52,9.21,,10.48,4.16,7.59,,5.96,4.34,4.7,3.79,19.88,3.43,10.12,3.07,3.25,12.47,3.07,2.71,7.77,5.78,7.41,3.98,4.88,7.23,7.23,31.62,5.6,4.34,9.58,4.16,5.42,6.87,4.7,44.63,4.52,9.04,6.87,6.5,6.32,3.07,,11.320988,6.962963,16.320988,0.0,,3.041667,56.341768
