location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TN_47133,2020-01-01,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,10.88,29.2,8.59,32.63,11.45,35.49,,4.138889,-1.736111,9.354167,0.0,-3.666667,55.753772
US_TN_47133,2020-01-02,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,9.62,28.87,11.76,30.47,8.02,49.19,,5.375,-0.347222,8.972222,2.624667,-0.5,66.452361
US_TN_47133,2020-01-03,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,9.17,18.88,,22.12,,43.7,,9.5,6.507937,12.261905,29.8704,9.046296,97.404604
US_TN_47133,2020-01-04,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,11.62,24.82,10.03,35.91,9.51,36.97,,7.652778,1.423611,12.0,11.049,5.785714,87.82496
US_TN_47133,2020-01-05,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,10.67,23.59,,38.75,,42.68,8.43,3.104167,-0.625,10.041667,1.27,-2.230159,67.32945
US_TN_47133,2020-01-06,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,22.67,20.4,12.47,35.14,,51.58,,4.041667,-3.0625,11.013889,0.0,-2.626984,61.856931
US_TN_47133,2020-01-07,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,15.9,14.8,9.87,29.6,,51.52,,5.298611,-0.069444,9.715278,2.9972,-1.5,62.357592
US_TN_47133,2020-01-08,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,14.58,19.98,12.96,32.94,22.14,39.42,9.18,5.694444,0.3,11.522222,0.6858,-4.37037,48.732187
US_TN_47133,2020-01-09,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,8.57,20.89,9.64,32.15,,45.54,9.11,4.994444,-1.938889,14.738889,0.0,-2.783951,57.401584
US_TN_47133,2020-01-10,ChIJr131lh5vZ4gRcm81EY1uQdc,Q494751,geoId/47133,US,United States of America,TN,Tennessee,47133,Overton County,US,USA,2,,,,,,,21998,10883,11115,2447,2740,2565,2310,2845,3095,3015,2040,941,1848194,36.34,-85.29,1126,73.528571,,,,,16.27,15.77,,23.39,,32.55,,13.705556,11.294444,17.077778,0.0,5.438272,57.125187
