location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MO_29155,2020-01-28,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,15.88,21.99,40.32,34.21,3.030864,0.691358,8.5,0.0,1.617284,90.500456
US_MO_29155,2020-01-29,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,,31.51,42.23,36.55,3.185185,2.201389,4.319444,1.524,2.141975,92.966836
US_MO_29155,2020-01-30,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,,36.73,33.06,38.57,3.611111,2.493827,5.401235,0.719667,2.135802,90.209791
US_MO_29155,2020-01-31,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,10.79,35.06,34.38,41.12,5.5,4.0,7.598765,0.4064,4.265432,91.882125
US_MO_29155,2020-02-01,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,15.94,15.14,34.27,25.5,7.520833,4.847222,12.0625,0.254,3.708333,77.079324
US_MO_29155,2020-02-02,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,18.9,17.26,29.59,40.27,9.819444,4.048611,19.201389,0.0,2.131944,59.033279
US_MO_29155,2020-02-03,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,,24.8,35.53,45.58,14.197531,10.265432,19.351852,0.0,6.901235,61.648864
US_MO_29155,2020-02-04,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,13.73,19.7,34.62,42.98,15.228395,9.04321,17.783951,3.9624,13.098765,87.202416
US_MO_29155,2020-02-05,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,13.79,21.67,34.81,49.91,5.432099,3.506173,8.555556,15.0368,4.549383,94.120035
US_MO_29155,2020-02-06,ChIJsTiJHm2VeIgRvL22cyrUaBw,Q497602,geoId/29155,US,United States of America,MO,Missouri,29155,Pemiscot County,US,USA,2,,,,,,,16783,7920,8863,2482,2335,2030,1893,1950,2221,1971,1181,720,1180532,36.21,-89.78,1327,72.85,,,,,9.25,19.73,28.36,36.38,2.135802,0.814815,3.58642,6.604,0.62963,89.920036
