location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01047,2020-01-01,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,4.63,8.1,,5.5,,4.34,12.15,8.1,,5.21,4.63,4.63,,8.97,,24.59,6.94,6.94,4.92,,27.78,,,4.34,,5.222222,-1.227778,14.144444,0.0,-0.8,62.19593
US_AL_01047,2020-01-02,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,5.09,7.13,7.64,4.84,5.09,4.33,9.93,6.88,,7.13,4.33,6.62,,4.33,8.4,22.41,4.33,5.6,3.82,5.6,38.96,4.58,7.13,7.89,5.09,11.522222,6.616667,18.75,1.23825,7.988889,78.20431
US_AL_01047,2020-01-03,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,,9.14,10.96,4.44,6.26,,15.4,5.22,,7.57,,,,6.79,4.18,23.49,4.7,7.83,,3.92,40.72,,4.18,,,18.161111,14.327778,21.755556,30.2895,17.577778,91.082115
US_AL_01047,2020-01-04,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,4.54,11.65,8.81,5.4,,5.11,11.65,6.25,,,,,,5.4,4.54,20.17,4.54,8.81,3.98,,28.12,,4.54,4.26,6.53,13.644444,9.544444,16.305556,14.31925,9.311111,72.886866
US_AL_01047,2020-01-05,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,6.43,8.19,9.36,4.97,4.68,5.26,13.74,7.31,6.14,9.07,,7.02,,5.85,4.68,22.52,,6.43,5.26,,36.55,,6.14,5.26,5.26,5.944444,-1.466667,14.516667,0.084667,-1.0,59.467888
US_AL_01047,2020-01-06,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,,4.42,9.11,9.11,,,10.93,6.51,,7.81,5.46,5.21,,4.68,7.03,22.9,3.64,9.63,3.64,6.51,39.04,7.81,5.21,4.68,5.72,8.027778,1.211111,19.116667,0.0,3.844444,73.629556
US_AL_01047,2020-01-07,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,3.55,6.08,8.87,7.09,5.07,,14.69,7.09,5.32,7.09,3.55,4.05,3.55,4.05,9.88,23.31,4.05,10.64,4.56,6.08,34.2,,4.81,3.8,4.81,12.15,8.466667,15.738889,0.0,4.233333,57.349928
US_AL_01047,2020-01-08,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,3.87,8.22,9.91,7.01,3.38,4.35,11.36,8.22,,12.33,,3.87,,5.56,7.98,27.8,5.08,7.98,5.32,4.35,31.91,5.32,9.67,,5.08,6.666667,-2.038889,17.588889,0.0,-2.411111,50.655085
US_AL_01047,2020-01-09,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,3.93,9.58,7.86,5.65,,4.17,11.3,6.63,,9.58,,4.17,4.91,6.63,8.6,23.33,5.65,8.11,6.39,5.89,32.91,4.91,5.89,4.42,,7.833333,-0.15,19.511111,0.0,1.177778,61.298229
US_AL_01047,2020-01-10,ChIJ9xTUS0kIj4gR5H8RrvN7U5A,Q488847,geoId/01047,US,United States of America,AL,Alabama,01047,Dallas County,US,USA,2,,,,,,,39238,18120,21118,5069,5481,4894,4415,4268,5490,5064,2993,1564,1848771,32.324722,-87.105278,2573,72.473333,,,,,5.02,5.77,6.03,3.77,4.77,,9.29,5.77,,9.54,,,,5.27,6.53,19.08,5.77,6.53,5.77,3.52,29.12,3.52,5.27,,4.52,17.788889,14.65,23.616667,0.0,11.311111,64.662366
