location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13183,2020-01-01,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,9.53,18.01,21.71,37.6,9.716049,4.024691,16.932099,0.0,,0.635802,53.433778
US_GA_13183,2020-01-02,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,12.06,18.08,25.76,39.46,11.475309,5.024691,19.981481,0.0,,5.228395,65.677767
US_GA_13183,2020-01-03,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,,15.78,26.66,36.45,19.907407,11.641975,26.092593,0.0,,15.820988,77.554176
US_GA_13183,2020-01-04,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,,11.23,17.65,35.83,19.882716,15.907407,24.351852,2.455333,,15.876543,77.771236
US_GA_13183,2020-01-05,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,,8.51,21.28,46.29,9.691358,3.320988,18.82716,5.644444,,-0.765432,48.159217
US_GA_13183,2020-01-06,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,,11.29,30.48,31.61,9.574074,3.111111,19.790123,0.0,,2.82716,63.011059
US_GA_13183,2020-01-07,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,11.72,21.21,29.02,35.16,11.876543,4.623457,20.246914,0.0,,6.246914,68.504295
US_GA_13183,2020-01-08,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,12.32,9.52,30.24,46.48,9.888889,1.234568,19.425926,0.0,,-0.987654,46.975508
US_GA_13183,2020-01-09,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,13.66,17.08,41.56,45.55,9.679012,1.148148,21.950617,0.0,,4.481481,70.28399
US_GA_13183,2020-01-10,ChIJqzNEOQLp-ogR3rluIr1WxAk,Q493033,geoId/13183,US,United States of America,GA,Georgia,13183,Long County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,9480,9300,2971,2732,2743,3011,2452,2242,1627,649,353,1073861,31.76,-81.75,1045,76.45,,,10.38,14.2,33.32,28.4,17.302469,13.253086,23.5,0.0,,12.993827,75.917687
