location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48277,2020-01-01,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,7.75,9.16,5.87,10.81,7.05,6.81,,6.11,7.75,4.93,25.37,3.29,12.69,,3.52,11.98,7.28,4.23,4.46,6.11,,5.4,4.93,8.46,26.08,8.22,3.76,6.58,4.7,,6.34,6.11,48.16,,6.11,7.75,8.93,5.4,4.23,,5.530864,1.259259,11.358025,0.0,-2.018519,58.657765
US_TX_48277,2020-01-02,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,8.08,5.59,5.59,13.46,10.77,8.49,,6.63,7.46,4.76,22.16,3.73,15.74,5.18,4.97,9.53,5.38,4.56,5.8,7.46,4.14,5.8,4.97,10.77,26.3,7.46,,7.46,,5.59,4.56,5.59,47.64,4.56,8.49,6.01,3.52,4.97,4.76,3.52,12.012346,9.820988,15.685185,0.0,7.462963,73.766811
US_TX_48277,2020-01-03,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,3.17,10.34,3.59,9.5,7.6,7.6,3.17,4.43,3.38,5.49,22.58,3.38,13.29,,4.22,9.07,3.59,7.39,4.85,5.91,4.43,4.64,3.59,10.76,29.54,7.17,5.06,7.81,4.01,4.43,4.43,5.7,42.2,3.59,4.85,4.85,5.91,8.65,4.85,4.01,11.432099,8.117284,15.055556,0.169333,8.41358,81.878799
US_TX_48277,2020-01-04,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.86,9.26,5.09,9.26,7.64,4.63,4.17,6.25,,,22.92,4.4,9.72,3.7,3.24,8.8,3.94,5.32,7.64,6.94,5.32,3.94,4.17,8.8,30.09,5.55,,6.25,5.32,4.17,6.94,5.09,37.5,6.94,8.56,4.4,7.18,5.55,3.24,,7.080247,0.962963,14.185185,0.0,-0.759259,57.65152
US_TX_48277,2020-01-05,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.59,10.23,3.18,10.23,8.41,6.82,,5.23,3.86,,20.0,4.32,12.27,5.0,4.09,13.86,4.54,4.54,5.23,4.54,5.45,4.54,,11.36,30.0,6.14,,8.41,3.64,3.18,7.5,4.32,41.36,3.18,8.18,5.45,7.73,5.91,3.86,,8.87037,2.012346,19.808642,0.0,-0.345679,52.67416
US_TX_48277,2020-01-06,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,8.42,10.06,3.29,16.22,8.62,5.95,4.11,5.34,5.13,6.16,19.09,,13.14,4.72,3.7,11.5,,5.54,7.6,4.72,4.52,6.57,3.29,9.24,31.21,10.06,5.75,9.44,3.9,3.08,7.39,5.75,47.22,6.57,9.03,7.39,6.37,4.31,4.72,3.08,8.611111,1.203704,17.759259,0.0,1.074074,59.287113
US_TX_48277,2020-01-07,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.28,7.17,3.21,14.15,12.27,6.79,4.34,9.62,4.72,4.72,20.19,5.28,11.32,4.34,2.83,15.1,3.58,9.44,4.72,4.53,4.15,6.23,4.34,12.27,34.72,6.98,,10.57,3.96,4.72,6.61,5.09,46.61,4.91,7.36,6.79,7.55,5.85,4.53,3.21,8.648148,0.191358,17.32716,0.0,-2.709877,45.008946
US_TX_48277,2020-01-08,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.55,6.74,4.91,14.56,9.46,6.37,3.28,4.55,5.46,4.91,21.3,3.09,15.11,2.55,5.1,8.01,5.28,6.55,6.37,4.37,4.37,4.55,3.82,13.29,41.68,8.55,5.28,7.28,,3.82,3.09,3.46,46.96,6.01,18.38,8.01,5.1,4.73,3.09,3.82,7.691358,-0.345679,18.04321,0.0,-3.777778,44.555104
US_TX_48277,2020-01-09,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.02,9.21,4.43,12.57,6.02,7.08,6.02,5.84,5.13,2.66,16.64,4.78,12.04,3.01,4.07,10.98,4.43,4.43,4.43,3.9,6.37,3.36,4.78,12.22,35.76,6.37,4.43,9.56,2.83,5.31,4.96,4.78,43.2,4.43,14.69,4.96,4.07,4.78,4.96,4.6,13.95679,11.08642,18.561728,0.290286,8.32716,68.935633
US_TX_48277,2020-01-10,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.93,9.33,3.34,9.68,5.46,6.16,3.69,5.81,3.17,4.22,12.49,,8.97,,2.81,9.33,3.69,4.05,4.22,4.22,2.64,5.28,4.58,8.09,25.52,5.81,2.99,6.86,,5.63,5.1,6.16,36.95,2.64,8.97,4.58,4.4,3.52,,3.34,18.962963,16.444444,21.691358,0.5588,16.635802,86.611862
