location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_WA_53031,2020-01-01,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,5.58,8.06,11.79,13.65,8.99,7.75,8.06,,18.3,,13.65,,4.65,9.93,,,6.2,,4.65,,7.13,27.29,8.99,7.44,,5.27,5.89,45.28,4.65,8.06,,4.65,5.27,9.938889,7.522222,11.644444,26.528889,7.777778,86.298009
US_WA_53031,2020-01-02,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,,7.64,10.57,11.75,11.75,9.4,8.52,,15.57,5.58,11.16,,5.58,7.93,6.17,6.46,7.93,7.64,,6.17,5.87,23.79,9.99,7.34,4.7,4.41,8.81,44.35,5.29,,4.99,5.29,4.99,6.433333,4.622222,9.811111,3.612444,2.648148,76.52786
US_WA_53031,2020-01-03,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,,8.14,9.05,8.74,6.33,6.63,6.94,,14.47,6.94,7.24,,,9.65,4.22,6.63,,4.22,,5.13,7.54,31.36,8.74,9.05,4.22,4.83,7.84,41.31,6.03,,8.14,,5.73,7.372222,4.238889,11.6,6.293556,5.231481,87.74465
US_WA_53031,2020-01-04,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,9.58,6.07,9.58,12.78,7.35,10.54,6.39,,17.25,4.47,5.11,,,7.99,,,,4.47,,,6.71,28.43,8.95,6.39,4.47,,4.79,48.24,4.79,13.42,7.35,4.47,,7.433333,4.494444,11.672222,11.768667,3.796296,78.189115
US_WA_53031,2020-01-05,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,,6.72,8.32,11.85,10.24,9.6,8.32,,16.33,4.8,6.08,,8.32,8.0,,6.4,,7.04,4.8,5.76,8.32,28.17,9.6,4.8,5.44,,7.04,49.94,,,5.76,,6.72,5.655556,3.555556,7.822222,3.612444,2.925926,82.906193
US_WA_53031,2020-01-06,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,4.68,6.73,8.19,10.23,6.14,7.6,7.02,7.31,11.11,,9.06,4.09,4.39,12.28,5.56,5.85,,4.68,9.36,8.19,8.48,25.44,7.89,7.02,4.09,8.19,6.73,45.91,8.19,6.14,5.56,4.68,6.14,5.616667,3.6,7.9,8.636,3.814815,88.11956
US_WA_53031,2020-01-07,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,4.06,7.83,6.38,9.86,8.12,6.38,5.51,4.64,15.66,4.64,9.86,4.35,6.67,11.89,6.09,5.22,4.93,6.38,,5.22,10.73,26.97,9.86,5.51,,4.35,5.22,44.66,,5.22,8.12,4.35,6.09,8.427778,5.638889,10.677778,11.542889,7.111111,94.852086
US_WA_53031,2020-01-08,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,4.43,7.09,5.32,10.93,9.46,5.32,5.62,,13.3,,10.05,,7.98,9.16,4.43,6.5,5.62,4.14,5.62,4.43,7.98,31.91,7.39,4.73,6.5,4.14,7.98,45.21,,13.3,5.91,6.5,4.73,6.45,4.45,10.177778,3.499556,2.351852,75.322324
US_WA_53031,2020-01-09,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,4.74,4.14,9.47,10.06,12.13,12.43,5.92,,18.94,,9.77,,6.51,12.73,,5.62,,4.74,5.03,,8.29,29.6,6.51,6.81,6.81,,5.03,42.32,5.03,16.28,4.74,5.92,6.21,3.527778,1.466667,6.205556,0.8636,-0.027778,76.79271
US_WA_53031,2020-01-10,ChIJf6m50wc5jlQR4GaY1qTrc34,Q384737,geoId/53031,US,United States of America,WA,Washington,53031,Jefferson County,US,USA,2,,,,,,,,,,,,,,,,,,,,31210,15304,15906,1976,2247,2360,2680,2816,4406,7442,5180,2103,1153701,47.84,-123.58,5655,81.371429,,,,,,,4.54,4.82,9.93,13.05,10.5,4.54,4.82,,11.63,,,4.54,,10.5,,6.81,8.51,6.53,4.54,,8.8,17.02,,7.09,,,5.11,43.41,4.54,7.95,5.11,,,4.305556,2.572222,7.172222,1.608667,1.796296,82.486626
