location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CO_08051,2020-01-01,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,,9.8,4.54,3.83,5.5,15.3,8.37,,3.35,,12.44,4.07,5.26,4.07,27.5,,3.35,-8.338889,-14.338889,-3.2,0.108857,-15.512346,58.887593
US_CO_08051,2020-01-02,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,,5.01,4.51,4.51,3.51,15.28,10.77,,,4.76,19.54,4.01,4.76,4.51,26.55,6.51,5.01,-7.344444,-12.605556,-2.922222,3.01625,-11.302469,74.157552
US_CO_08051,2020-01-03,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,4.05,6.83,5.32,,5.82,14.17,4.81,,,4.3,17.21,4.56,,5.06,26.07,4.56,6.07,-9.296296,-14.462963,-2.358025,0.423333,-14.923611,66.115126
US_CO_08051,2020-01-04,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,5.4,5.68,6.25,,6.25,9.09,8.24,,,,17.04,,,,28.69,5.11,7.67,-6.011111,-12.061111,2.772222,0.0,-11.518519,67.273448
US_CO_08051,2020-01-05,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,7.3,6.14,5.26,,4.67,17.24,7.3,,,4.38,16.07,,6.14,,27.76,,,-5.533333,-12.461111,2.038889,0.0,-13.141975,58.851809
US_CO_08051,2020-01-06,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,7.41,7.69,,,4.39,13.18,6.59,4.67,,,15.65,3.84,,,24.98,,,-7.272222,-13.355556,-0.538889,0.072571,-13.981481,62.094151
US_CO_08051,2020-01-07,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,5.86,8.09,4.74,5.3,5.3,11.43,7.81,8.09,,,15.61,,5.58,,30.11,5.3,5.3,-6.922222,-12.272222,0.588889,0.028222,-15.012346,55.905496
US_CO_08051,2020-01-08,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,4.76,6.16,7.0,5.88,,13.71,5.6,,,,22.95,,5.04,,26.3,10.07,,-6.455556,-12.161111,0.833333,0.0,-14.493827,54.93562
US_CO_08051,2020-01-09,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,7.57,10.1,,4.49,4.49,11.22,4.77,,,,17.39,,6.73,,26.36,5.61,5.33,-6.488889,-10.966667,-0.572222,0.03175,-12.87037,63.50418
US_CO_08051,2020-01-10,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,4.2,7.28,5.32,4.2,5.6,12.32,6.72,,3.92,,18.75,,,,25.19,4.48,5.32,-8.533333,-13.105556,-4.488889,0.41275,-12.876543,72.160484
US_CO_08051,2020-01-11,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,4.61,,,,4.03,9.79,,5.76,,,14.96,4.32,,,20.15,,,-11.377778,-17.538889,-4.15,0.108857,-17.358025,63.298253
US_CO_08051,2020-01-12,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,4.92,6.56,4.38,,,11.21,7.93,,8.2,,19.69,4.38,,4.1,23.52,,6.56,-9.927778,-15.888889,-4.922222,0.254,-14.925926,68.880168
US_CO_08051,2020-01-13,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,5.86,7.82,5.38,,3.91,11.97,5.62,,,4.15,15.88,5.13,,,29.57,4.64,3.91,-7.616667,-10.466667,-3.522222,0.399143,-12.376543,70.861015
US_CO_08051,2020-01-14,ChIJobWkQaxrQIcRyBHlBMbqZRM,Q127979,geoId/08051,US,United States of America,CO,Colorado,08051,Gunnison County,US,USA,2,,,,,,,16863,9124,7739,1511,2207,3502,2351,2113,1971,1939,933,336,416905,38.67,-107.01,8443,80.666667,,,,,6.23,6.48,4.99,4.24,6.48,12.22,3.99,,3.74,,13.96,4.49,3.49,6.73,22.19,5.49,,-6.433333,-12.716667,1.7,0.508,-14.561728,56.168034
