location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21043,2020-01-01,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,10.9,9.64,8.8,19.7,10.06,,28.92,7.54,37.72,,4.3125,1.784722,9.006944,0.0,,-1.701389,65.105133
US_KY_21043,2020-01-02,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,12.41,,6.62,27.71,,13.23,31.84,10.34,40.94,9.51,5.111111,0.770833,11.333333,0.084667,,-1.319444,63.969583
US_KY_21043,2020-01-03,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,10.6,13.05,8.97,19.98,9.38,8.97,38.74,9.38,43.22,6.52,10.625,6.770833,12.145833,11.260667,,10.368056,98.330185
US_KY_21043,2020-01-04,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,7.83,6.18,7.83,17.73,9.89,7.83,28.45,9.07,35.45,,8.1875,1.805556,12.361111,9.736667,,7.395833,94.797434
US_KY_21043,2020-01-05,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,14.18,10.31,10.74,21.91,9.02,,32.65,,36.94,,2.333333,0.263889,9.715278,1.608667,,-2.118056,72.523022
US_KY_21043,2020-01-06,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,6.68,12.02,6.01,12.69,7.35,7.68,22.37,7.68,33.72,,4.090278,-0.347222,8.472222,0.0,,-2.236111,63.771885
US_KY_21043,2020-01-07,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,10.99,,7.33,13.65,6.99,11.99,26.64,6.66,31.31,5.33,2.159722,-2.173611,8.847222,0.8255,,-2.847222,69.661312
US_KY_21043,2020-01-08,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,7.58,14.12,9.98,17.21,10.67,7.23,33.74,7.23,31.33,9.3,3.965278,-1.131944,8.055556,0.28575,,-5.715278,49.364722
US_KY_21043,2020-01-09,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,6.52,14.06,8.23,10.63,9.95,8.92,31.21,5.49,40.13,7.55,3.826389,-2.548611,14.958333,0.0,,-6.520833,47.626662
US_KY_21043,2020-01-10,ChIJQyHopBQvRIgRgSInOmz7s9Y,Q486095,geoId/21043,US,United States of America,KY,Kentucky,21043,Carter County,US,USA,2,,,,,,,27214,13475,13739,3423,3411,3395,2980,3490,3709,3434,2286,1086,1846509,38.33,-83.05,1067,75.285714,,,,,6.63,10.1,5.37,11.99,6.63,6.94,19.25,4.42,30.3,4.42,12.888889,7.215278,18.534722,0.0,,2.979167,51.33378
