location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18031,2020-01-01,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,5.9,5.57,8.2,7.87,,6.56,17.38,11.47,7.21,6.88,,6.56,15.41,,7.87,8.52,35.08,,8.2,3.105556,0.3,8.272222,0.0,,-3.055556,64.10918
US_IN_18031,2020-01-02,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,6.03,4.31,8.04,4.88,4.88,4.6,15.8,9.77,7.18,6.61,,8.04,27.58,4.31,4.02,,37.93,,6.9,6.272222,0.155556,10.911111,0.0,,-0.905556,60.219527
US_IN_18031,2020-01-03,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,4.76,5.6,10.36,5.88,6.44,8.12,8.68,5.6,6.16,4.2,,5.6,20.44,4.76,8.12,5.88,31.92,6.16,5.32,8.994444,5.766667,11.116667,14.605,,8.194444,94.772465
US_IN_18031,2020-01-04,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,9.83,5.84,6.14,5.53,,15.36,5.53,6.14,4.3,6.76,4.61,22.73,,,,30.41,,6.14,4.233333,1.127778,9.233333,4.8895,,2.405556,87.973217
US_IN_18031,2020-01-05,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,6.64,9.8,6.01,5.69,5.38,14.54,8.85,9.17,,,,19.92,5.69,7.59,,38.89,6.64,,1.838889,-2.816667,8.35,0.5842,,-3.166667,69.533729
US_IN_18031,2020-01-06,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,4.78,4.51,7.7,10.61,,4.51,15.12,7.43,12.47,6.9,4.51,7.17,20.96,6.1,4.51,5.04,34.76,6.63,4.51,3.033333,-3.238889,8.272222,0.0,,-3.55,62.10144
US_IN_18031,2020-01-07,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,4.52,6.03,10.05,9.3,6.03,5.28,11.05,7.04,10.05,6.28,5.28,5.03,23.87,4.52,7.04,5.28,36.18,6.78,,1.877778,-3.666667,8.683333,0.0,,-4.677778,62.01332
US_IN_18031,2020-01-08,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,4.87,8.2,5.38,,5.89,10.25,4.61,8.71,4.1,4.1,8.46,21.01,7.94,,5.12,28.7,9.74,7.17,1.172222,-3.416667,7.183333,0.0,,-7.472222,52.859056
US_IN_18031,2020-01-09,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,6.75,6.5,3.5,5.0,6.0,12.01,8.25,9.0,3.75,5.0,6.5,25.76,4.0,4.0,4.5,30.26,6.75,5.25,2.594444,-4.105556,13.622222,0.0,,-6.45,51.62707
US_IN_18031,2020-01-10,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,5.14,5.62,3.91,4.89,5.38,10.76,5.87,5.62,4.89,,8.07,19.08,6.6,3.91,4.89,35.22,5.38,5.87,11.316667,7.855556,14.177778,14.929556,,6.755556,73.91743
US_IN_18031,2020-01-11,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,7.5,4.2,10.81,5.7,,4.5,15.31,7.8,6.3,,,4.2,22.51,,5.7,5.7,27.91,5.1,,14.361111,7.955556,18.333333,19.431,,12.127778,86.53016
US_IN_18031,2020-01-12,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,,9.2,5.21,7.36,6.13,6.44,,7.36,4.91,,5.52,17.48,5.21,5.52,,30.98,5.21,,4.088889,1.861111,11.144444,26.19375,,1.661111,84.297652
US_IN_18031,2020-01-13,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,3.7,4.94,8.14,7.9,3.46,4.44,15.05,6.66,12.09,5.68,4.94,7.4,27.15,4.69,4.69,6.66,34.06,7.16,3.46,4.694444,1.877778,7.011111,0.2032,,1.394444,79.260624
US_IN_18031,2020-01-14,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,4.61,6.06,8.49,5.09,4.37,9.46,6.06,7.76,4.37,5.58,8.0,17.7,6.79,,5.33,32.98,,,4.211111,0.5,8.883333,0.0,,2.272222,87.312052
US_IN_18031,2020-01-15,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,5.92,4.19,6.66,6.66,4.93,4.93,10.36,5.92,9.37,3.45,,7.15,22.93,4.19,4.44,,27.62,6.17,,3.933333,-1.205556,11.283333,0.0254,,3.148148,93.850852
US_IN_18031,2020-01-16,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,5.79,4.28,8.55,5.54,4.53,4.03,12.58,6.04,19.87,,4.03,7.55,22.64,5.28,6.79,5.28,32.7,5.79,4.53,3.011111,-2.044444,10.983333,0.0254,,-1.605556,71.967711
US_IN_18031,2020-01-17,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,3.84,4.36,6.15,5.38,6.15,3.59,9.48,7.17,5.38,5.38,4.61,8.2,21.01,7.43,4.87,,30.49,5.12,,-2.988889,-5.577778,4.3,0.0,,-8.533333,65.726199
US_IN_18031,2020-01-18,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,,5.25,7.72,7.1,,,11.43,6.79,7.1,5.25,5.25,6.18,17.29,,8.65,4.94,27.17,,,2.988889,-3.5,9.477778,10.06475,,-0.427778,78.393174
US_IN_18031,2020-01-19,ChIJK1w7VRD5aogRxSWQ7CO4WBk,Q1124916,geoId/18031,US,United States of America,IN,Indiana,18031,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26620,13240,13380,3486,3668,3269,3133,3198,3813,3142,1812,1099,1325550,39.3,-85.5,967,79.316667,,,,,,7.35,6.73,,6.12,6.43,4.59,13.16,7.65,5.51,4.9,,7.65,20.2,4.9,7.35,,32.75,10.1,4.9,-6.961111,-10.855556,3.672222,10.385778,,-11.45,70.464275
