location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_UT_49041,2020-01-01,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,,,8.94,8.0,18.35,,39.06,8.0,-4.616667,-10.005556,2.033333,0.3302,-7.697531,77.595689
US_UT_49041,2020-01-02,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,11.35,,9.61,14.85,8.73,23.14,6.55,37.55,,-2.205556,-8.538889,3.366667,1.411111,-5.549383,77.899363
US_UT_49041,2020-01-03,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,10.04,7.53,15.05,7.11,16.31,,29.69,,-3.066667,-8.011111,3.761111,0.0,-7.271605,74.013315
US_UT_49041,2020-01-04,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,,,17.34,,16.43,,33.32,,-2.266667,-8.083333,5.083333,0.0,-5.858025,73.689853
US_UT_49041,2020-01-05,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,9.1,,16.84,8.19,21.85,7.28,30.5,,-2.938889,-8.944444,4.427778,0.0,-6.697531,73.346335
US_UT_49041,2020-01-06,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.68,,,11.78,,18.85,,36.13,,-3.683333,-10.161111,4.233333,0.0,-7.753086,74.133122
US_UT_49041,2020-01-07,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,9.34,6.83,6.11,12.21,,17.6,,24.07,,-4.177778,-9.6,3.95,0.0,-8.765432,68.815068
US_UT_49041,2020-01-08,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,5.84,8.04,8.77,9.86,,18.27,7.31,27.77,9.13,-1.35,-6.427778,3.927778,0.2032,-7.932099,60.054138
US_UT_49041,2020-01-09,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,7.57,9.29,12.39,12.05,21.34,,28.57,6.2,-2.916667,-8.177778,3.483333,0.0254,-7.518519,70.688631
US_UT_49041,2020-01-10,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,8.39,,,8.74,7.35,21.34,,27.98,5.6,-4.822222,-10.094444,1.294444,0.225778,-10.098765,67.213248
