location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13027,2020-01-01,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,16.86,25.73,59.44,8.183333,1.766667,16.244444,0.0,0.642857,59.249907
US_GA_13027,2020-01-02,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,20.24,29.92,58.07,13.933333,7.105556,23.355556,0.0,6.706349,61.862856
US_GA_13027,2020-01-03,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,13.16,,28.07,59.65,21.983333,19.266667,25.733333,0.689429,19.611111,85.033425
US_GA_13027,2020-01-04,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,17.06,26.04,35.92,18.672222,14.222222,23.9,22.134286,15.642857,80.553932
US_GA_13027,2020-01-05,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,14.44,29.78,42.42,8.877778,2.166667,15.233333,1.524,-0.666667,51.482911
US_GA_13027,2020-01-06,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,,31.56,54.35,8.533333,1.505556,19.327778,0.0,2.746032,67.334697
US_GA_13027,2020-01-07,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,15.87,24.52,28.85,11.505556,4.711111,18.933333,0.0,5.928571,70.243264
US_GA_13027,2020-01-08,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,14.99,14.99,19.27,49.24,8.616667,0.166667,18.333333,0.0,-0.912698,51.816238
US_GA_13027,2020-01-09,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,13.94,14.63,24.39,37.62,9.133333,0.638889,21.416667,0.0,2.595238,64.299783
US_GA_13027,2020-01-10,ChIJjwS9eW9_7ogRPiYWVjcGobk,Q488175,geoId/13027,US,United States of America,GA,Georgia,13027,Brooks County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15617,7644,7973,1918,1826,1825,1784,1808,2374,2084,1411,587,1027982,30.728889,-83.715,1289,74.64,,,,,,19.08,23.53,17.577778,12.916667,24.638889,0.0,12.801587,72.579588
