location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13033,2020-01-01,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,9.89,8.79,8.24,,9.34,16.49,,,23.63,,10.44,41.22,,12.64,9.005556,4.166667,15.194444,0.0,-1.208333,49.199575
US_GA_13033,2020-01-02,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,,14.94,,7.23,10.12,20.73,8.68,9.64,33.74,13.98,13.5,51.1,,8.2,8.088889,4.327778,13.883333,0.6096,3.770833,73.934218
US_GA_13033,2020-01-03,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,9.4,11.75,7.05,,7.52,18.8,7.52,11.28,30.55,,9.87,53.1,,,17.622222,9.583333,26.1,2.975429,14.027778,78.332693
US_GA_13033,2020-01-04,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,,,,,,15.53,7.76,,23.81,,7.76,37.78,,7.76,17.2,12.75,23.494444,17.9324,13.833333,80.078187
US_GA_13033,2020-01-05,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,11.58,7.9,,,,18.43,,8.95,24.22,,10.0,43.7,,,7.738889,1.85,15.344444,1.905,-1.076389,53.625037
US_GA_13033,2020-01-06,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,9.31,11.09,8.87,9.31,,16.41,15.08,12.42,17.74,,12.86,40.36,,,8.733333,2.394444,18.072222,0.0,1.701389,61.745952
US_GA_13033,2020-01-07,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,4.98,11.04,,5.34,,15.66,8.9,7.12,17.8,7.48,4.98,33.11,8.9,6.76,10.427778,4.677778,18.105556,0.0,4.986111,68.985426
US_GA_13033,2020-01-08,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,7.03,9.71,7.37,4.69,,12.06,10.38,10.05,21.1,,6.7,25.46,10.38,8.04,8.211111,-0.338889,16.844444,0.0508,-2.041667,50.110695
US_GA_13033,2020-01-09,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,5.44,7.48,6.46,5.1,5.78,12.24,11.56,8.16,22.43,5.78,5.1,33.99,9.86,,8.972222,1.133333,19.394444,0.0,1.5625,60.644827
US_GA_13033,2020-01-10,ChIJ_QPB62jl-YgRyIDJ3AlDmtI,Q211360,geoId/13033,US,United States of America,GA,Georgia,13033,Burke County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545,10768,11777,3215,3202,2849,2586,2608,3169,2790,1449,677,416911,33.06,-82.0,2163,73.84,,,,,,4.79,8.63,,4.47,,10.86,12.14,8.95,20.77,5.43,5.11,30.67,4.79,,15.033333,10.411111,21.166667,0.508,9.9375,70.565274
